Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,File Name,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted For N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted For P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted For K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,Estimated Annual Milk Production (L),Estimated Total Wastewater Generated (L),Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,USDA N Estimate (lbs),UCCE N Estimate (lbs),Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Wastewater to Reported Milk Ratio,Wastewater to Estimated Milk Ratio,Year,Region,Template,Consultant,Latitude,Longitude,Street Address,City,County,Zip,CADDID,PlaceID,FacilityName
Western Sky Dairy,18501 Old River Road Bakersfield Kern 93311,4796.0,639.0,882.0,875.0,0.0,0.0,,156378.07,82.0,1386105.7,1980151.0,332155.43,956289.92,0.0,75115560.21,350901.52,0.0,470202.59,3009039.11,73960.42,18551.78,56682.99,0.0,350901.52,350901.52,318693168.89,470202.59,2686.9,1.21,3860.94,459.93,0.0,Kern_2023_generic_r5.csv,37.194544,38.31038032,75999174.719308,7192.0,424861.94,1737007.22,0.0,318711720.67,332155.43,0.0,526885.5800000001,1426492.51,0.0,2686.9,3009039.11,0.0,284343192.7745361,3.7413984273476215,75999174.719308,78279149.96088725,3.7413984273476215,0.0,0.0,0.0,0.0,1845343.1170731708,0.0,0.0,-24.88628877872588,,,,,2023,R5,generic_r5,Self-completed (R5),35.191,-119.1137,18501 Old River Road,Bakersfield,Kern,933110,10921.0,272238.0,Western Sky Dairy
Petrissans Dairy,5111 Bear Mountain BLVD Bakersfield Kern 93313,1000.0,90.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18335112.0,53950.1,12056.91,108328.61,532462.65,0.0,0.0,0.0,0.0,408329.0,408329.0,0.0,0.0,532463.0,0.0,0.0,0.0,0.0,Kern_2023_generic_r5.csv,0.0,0.0,0.0,1090.0,408329.0,53950.1,0.0,0.0,12056.91,0.0,0.0,108328.61,0.0,532463.0,532462.65,0.0,69405916.31592001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330945.8,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),35.2076,-119.0579,5111 Bear Mountain Boulevard,Bakersfield,Kern,933130,10708.0,248143.0,Petrissans Dairy
Peterson Dairy,30999 Peterson RD Mcfarland Kern 93250,778.0,73.0,173.0,203.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4897.97,35445.67,217128.4,0.0,0.0,0.0,0.0,22447.69,22447.69,4897.97,35445.67,217128.4,1.25,1.13,1.56,2.66,Kern_2023_generic_r5.csv,0.0,0.0,0.0,1227.0,22447.69,22.0,0.0,4897.97,4897.97,0.0,35445.67,35445.67,0.0,217128.4,217128.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300146.8834146341,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),35.7028,-119.2527,30999 Peterson Road,Mcfarland,Kern,932500,10624.0,240337.0,Peterson Dairy
Vanden Berge Dairy,11701 Old River RD,2785.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54309047.0,0.0,0.0,0.0,0.0,32577.69,17700.31,74751.77,279567.3,215318.09,215318.09,54287.22,276131.57,1776808.32,1.01,1.56,1.03,1.79,Kern_2023_generic_r5.csv,0.0,0.0,0.0,2785.0,247895.78,0.0,0.0,71987.53,0.0,0.0,350883.34,0.0,0.0,2056375.62,0.0,0.0,205582009.60427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845581.7,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),35.2454,-119.1143,11701 Old River Road,Bakersfield,Kern,933110,10929.0,272571.0,Vanden Berge Dairy
Maya Dairy,18451 Wildwood Rd. Buttonwilllow Kern 93206,4550.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632126.22,632126.22,101338.31,746958.69,6752131.1,0.84,0.74,0.99,2.39,Kern_2023_generic_r5.csv,0.0,0.0,0.0,4550.0,632126.22,0.0,0.0,101338.31,0.0,0.0,746958.69,0.0,0.0,6752131.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381471.0,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),35.4831,-119.4408,18451 Wildwood Road,Buttonwillow,Kern,932060,10406.0,233123.0,Maya Dairy
David Vander Schaaf Dairy,7524 S. Fairfax Road Bakersfield CA 93307,1883.0,297.0,0.0,0.0,0.0,0.0,,52122.3,,0.0,734624.55,124428.5,193851.5,1317745.34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kern_2023_innovative_ag.csv,0.0,0.0,0.0,2180.0,0.0,0.0,0.0,0.0,124428.5,0.0,0.0,193851.5,0.0,0.0,1317745.34,0.0,0.0,0.0,25279057.734176,26037429.466201283,0.0,0.0,0.0,0.0,0.0,661891.6,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,35.287,-118.9362,7524 South Fairfax Road,Bakersfield,Kern,933070,10398.0,233060.0,David Vander Schaaf Dairy
Mendes & Toste Dairy,23568 Fargo AVE Lemoore Kings 93245,325.0,25.0,0.0,0.0,0.0,0.0,,8495.07,65.0,0.0,111067.53,18596.56,0.0,158775.0,23925000.0,78125.42,0.0,0.0,449118.89,0.0,0.0,0.0,0.0,78125.42,78125.42,6780.71,77658.44,449118.89,1.16,0.71,1.12,1.06,Kings_2023_generic_r5.csv,29.48348,30.3679844,3879510.007100001,350.0,78125.42,78125.42,0.0,6780.71,18596.56,0.0,77658.44,0.0,0.0,449118.89,607893.89,0.0,90565934.25,23.344683757549983,3879510.007100001,3995895.307313001,23.344683757549983,0.0,0.0,0.0,0.0,106267.0,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.3586,-119.8789,23568 Fargo Avenue,Lemoore,Kings,932450,10735.0,251831.0,Mendes & Toste Dairy
Neves Dairy,16831 Jackson AVE Lemoore Kings 93245,360.0,40.0,30.0,45.0,12.0,0.0,,10205.35,61.0,0.0,130795.89,0.0,66814.64,178704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,27.669112,28.49918536,4160881.06256,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66814.64,0.0,0.0,178704.0,0.0,0.0,0.0,4160881.06256,4285707.4944368,0.0,0.0,0.0,0.0,0.0,130223.35853658537,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.2544,-119.7596,16831 Jackson Avenue,Lemoore,Kings,932450,10982.0,655941.0,Neves Dairy
Parreira Gaspar Dairy,17800 4th AVE Hanford Kings 93230,1208.0,135.0,268.0,247.0,172.0,0.0,,39350.15,0.0,0.0,496196.17,0.0,236674.99,0.0,0.0,223691.47,46566.21,485306.48,0.0,0.0,0.0,0.0,0.0,223691.47,223691.47,46566.21,485306.48,2515208.57,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,2030.0,223691.47,223691.47,0.0,46566.21,46566.21,0.0,485306.48,721981.47,0.0,2515208.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471336.7258536585,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.1298,-119.2117,16087 Avenue 188,Strathmore,Tulare,932670,10480.0,233862.0,Parreira Gaspar Dairy
Dover Dairy,4265 Dover AVE Hanford Kings 93230,2150.0,275.0,1115.0,540.0,475.0,505.0,,78916.2,68.0,680255.83,971794.04,157604.4,408919.74,1075563.75,54708748.0,182419.99,55244.2,294814.37,2131825.17,132354.72,50096.88,141631.92,0.0,182419.99,182419.99,55244.2,294814.37,2131825.17,1.17,1.64,1.79,1.87,Kings_2023_generic_r5.csv,30.844256,31.769583680000004,28120052.75476,5060.0,314774.71,862675.82,0.0,105341.08,212848.6,0.0,436446.29,703734.11,0.0,2131825.17,3207388.92,0.0,207095041.76668,7.364674724218792,28120052.75476,28963654.3374028,7.364674724218792,0.0,0.0,0.0,0.0,956403.0,0.0,0.0,-28.87351566233064,,,,,2023,R5,generic_r5,Self-completed (R5),36.4147,-119.5358,4265 Dover Avenue,Hanford,Kings,932300,10226.0,220627.0,Dover Dairy
Dixie Creek Ranch,3601 Lacey Blvd. Hanford Kings 93230,6500.0,0.0,0.0,0.0,0.0,0.0,,174409.77,80.0,0.0,0.0,387395.35,0.0,0.0,30206388.0,0.0,0.0,316410.29,2308681.03,0.0,0.0,0.0,0.0,209533.95,209533.95,17192.97,316410.29,2308681.03,1.21,0.31,1.09,6.44,Kings_2023_generic_r5.csv,36.28736,37.3759808,88674514.448,6500.0,209533.95,0.0,0.0,17192.97,387395.35,0.0,316410.29,316410.29,0.0,2308681.03,2308681.03,0.0,114343563.19908,1.2894749287421552,88674514.448,91334749.88144,1.2894749287421552,0.0,0.0,0.0,0.0,1973530.0,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.3241,-119.5189,3601 CA-198,Hanford,Kings,932300,10985.0,655954.0,Dixie Creek Ranch
Dutra & Dutra Dairy,7480 5th AVE Hanford Kings 93230,470.0,75.0,45.0,40.0,30.0,0.0,,13721.86,0.0,0.0,176588.47,0.0,88156.6,0.0,0.0,8599.42,1053.62,10384.52,0.0,3827.76,1275.92,6161.76,0.0,8599.42,8599.42,1053.62,10384.52,57547.95,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,660.0,12427.18,8599.42,0.0,2329.54,1053.62,0.0,16546.28,98541.12,0.0,57547.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176025.5463414634,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.3653,-119.5469,7480 5th Avenue,Hanford,Kings,932300,10232.0,220914.0,Dutra & Dutra Dairy
White River Dairy,20784 Laurel AVE Stratford Kings 93266,584.0,74.0,256.0,285.0,104.0,156.0,,22145.14,0.0,0.0,273993.88,44568.89,111841.39,0.0,0.0,0.0,8357.02,0.0,0.0,22429.87,4804.43,16317.78,206366.4,81869.71,81869.71,8357.02,81231.9,604733.78,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,1459.0,104299.58,0.0,0.0,13161.45,52925.91,0.0,97549.68,111841.39,0.0,811100.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269503.4795121951,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),37.0027,-120.1762,20400 Avenue 17  1/2,Madera,Madera,936370,10582.0,239369.0,White River Dairy
White River Dairy,20784 Laurel AVE Stratford Kings 93266,584.0,74.0,256.0,285.0,104.0,156.0,,22145.14,0.0,0.0,273993.88,44568.89,111841.39,0.0,0.0,0.0,8357.02,0.0,0.0,22429.87,4804.43,16317.78,206366.4,81869.71,81869.71,8357.02,81231.9,604733.78,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,1459.0,104299.58,0.0,0.0,13161.45,52925.91,0.0,97549.68,111841.39,0.0,811100.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269503.4795121951,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.1906,-119.8302,20784 Laurel Avenue,Stratford,Kings,932660,10941.0,273944.0,White River Dairy
Bar E Dairy,6970 Corona AVE Kingsburg Kings 93631,969.0,148.0,0.0,0.0,0.0,0.0,,26361.87,0.0,0.0,343071.97,56942.65,181752.64,0.0,0.0,0.0,0.0,85572.13,0.0,0.0,0.0,0.0,0.0,59266.75,59266.75,8529.81,85572.13,400093.1,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,1117.0,59266.75,0.0,0.0,8529.81,56942.65,0.0,85572.13,267324.77,0.0,400093.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339143.54,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.4458,-119.5778,6740 Corona Avenue,Kingsburg,Kings,936310,10207.0,220186.0,Bar E Dairy
Garcia & Sons Dairy,15315 17th Avenue Lemoore Kings 93245,40.0,0.0,70.0,40.0,0.0,0.0,,2166.72,0.0,0.0,24161.1,4094.14,7791.77,0.0,0.0,12270.39,1172.74,10713.62,0.0,8776.01,2759.75,14847.46,193288.9,12270.39,12270.39,1172.74,10713.62,158100.1,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,150.0,21046.4,12270.39,0.0,3932.49,5266.88,0.0,25561.08,18505.39,0.0,351389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24363.653658536587,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.2487,-119.762,15405 17th Avenue,Lemoore,Kings,932450,10320.0,226722.0,Garcia & Sons Dairy
Santa Anita Dairy,4356 Kansas AVE Hanford Kings 93230,338.0,32.0,53.0,60.0,26.0,0.0,,10549.57,0.0,0.0,133844.01,0.0,65840.45,0.0,0.0,25934.05,0.0,57049.95,0.0,0.0,0.0,0.0,0.0,25934.05,25934.05,5653.61,57049.95,288778.99,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,509.0,25934.05,25934.05,0.0,5653.61,0.0,0.0,57049.95,122890.4,0.0,288778.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125854.19268292683,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.2119,-119.5362,4356 Kansas Avenue,Hanford,Kings,932300,10123.0,212474.0,Santa Anita Dairy
Santa Anita Dairy,4356 Kansas AVE Hanford Kings 93230,338.0,32.0,53.0,60.0,26.0,0.0,,10549.57,0.0,0.0,133844.01,0.0,65840.45,0.0,0.0,25934.05,0.0,57049.95,0.0,0.0,0.0,0.0,0.0,25934.05,25934.05,5653.61,57049.95,288778.99,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,509.0,25934.05,25934.05,0.0,5653.61,0.0,0.0,57049.95,122890.4,0.0,288778.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125854.19268292683,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.2408,-119.4445,5792 Avenue 248,Tulare,Tulare,932740,10488.0,233891.0,Santa Anita Dairy
Phoenix Dairy,10736 1 1/2 Avenue Hanford Kings 93230,590.0,1085.0,400.0,0.0,0.0,0.0,,35168.25,0.0,0.0,433846.76,66060.57,112990.44,0.0,0.0,100384.24,14887.79,173782.21,0.0,0.0,0.0,0.0,0.0,100384.24,100384.24,14887.79,173782.21,958970.35,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,2075.0,100384.24,100384.24,0.0,14887.79,80948.36000000002,0.0,173782.21,286772.65,0.0,958970.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552995.6951219513,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.319,-119.486,10736 1 1/2 Avenue,Hanford,Kings,932300,10241.0,221708.0,Phoenix Dairy
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,2390.0,295.0,455.0,0.0,0.0,0.0,,81409.12,91.0,0.0,0.0,0.0,0.0,0.0,63894000.0,0.0,0.0,441062.82,2084719.28,0.0,0.0,0.0,0.0,419209.26,419209.26,47799.82,413931.34,1960341.39,1.28,0.5,0.86,1.28,Kings_2023_generic_r5.csv,41.276872,42.51517816,41665937.476254,3140.0,419209.26,0.0,0.0,47799.82,0.0,0.0,413931.34,441062.82,0.0,1960341.39,2084719.28,0.0,241864986.54,5.8048612653403575,41665937.476254,42915915.60054162,5.8048612653403575,0.0,0.0,0.0,0.0,865761.3219512195,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.3687,-119.5744,6511 Flint Avenue,Hanford,Kings,932300,10309.0,225993.0,Flint Dairy
Georgeson Dairy,8519 24th AVE Lemoore Kings 93245,1225.0,115.0,300.0,250.0,250.0,0.0,,39052.18,67.0,343811.29,491158.98,81022.69,232184.33,603235.5,19565000.0,64373.94,7197.68,54393.7,323486.0,0.0,0.0,0.0,0.0,64373.94,64373.94,7197.68,54393.7,323486.0,1.2,0.71,0.62,0.99,Kings_2023_generic_r5.csv,30.390664,31.30238392,15309995.975272002,2140.0,64373.94,408185.23,0.0,7197.68,88220.37,0.0,54393.7,286578.03,0.0,323486.0,926721.5,0.0,74061546.65,4.837463495720103,15309995.975272002,15769295.85453016,4.837463495720103,0.0,0.0,0.0,0.0,477201.7756097562,0.0,0.0,-27.95263815590654,,,,,2023,R5,generic_r5,Self-completed (R5),36.3497,-119.8865,8519 24th Avenue,Lemoore,Kings,932450,10681.0,245952.0,Georgeson Dairy
Sunshine Dairy (Anthony & Robert Brazil Dairy),13113 7th AVE Hanford Kings 93230,330.0,50.0,200.0,150.0,0.0,0.0,,12840.21,68.0,109442.33,156346.19,25683.12,62764.42,166878.0,44028000.0,100853.27,10664.49,61299.24,369800.33,109650.0,38335.0,196775.0,3898309.87,100853.27,100853.27,10664.49,61299.24,369800.33,1.26,1.45,1.31,5.15,Kings_2023_generic_r5.csv,30.844256,31.769583680000004,4406441.256416,730.0,210503.27,210295.6,0.0,48999.49,36347.61,0.0,258074.24,124063.66,0.0,4268110.2,536678.3300000001,0.0,166664031.48000002,37.822819318725465,4406441.256416,4538634.49410848,37.822819318725465,0.0,0.0,0.0,0.0,154253.7707317073,0.0,0.0,-29.050466979927243,,,,,2023,R5,generic_r5,Self-completed (R5),36.278,-119.5798,13419 7th Avenue,Hanford,Kings,932300,10855.0,264695.0,Sunshine Dairy (Anthony & Robert Brazil Dairy)
Log Haven Dairy,7755 Fargo Ave. Hanford Kings 93230,0.0,0.0,150.0,100.0,0.0,0.0,,2481.99,0.0,0.0,23725.0,4015.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34356.62,33442.88,44225.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,250.0,1.0,0.0,0.0,34356.62,4015.0,0.0,33442.88,25000.0,0.0,44225.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27770.121951219517,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.3557,-119.595,7755 Fargo Avenue,Hanford,Kings,932300,10540.0,237287.0,Log Haven Dairy
Fagundes Agribusiness Dairy,7546 8-1/2 AVE Hanford Kings 93230,1.0,0.0,0.0,0.0,0.0,0.0,,17.5,0.0,0.0,229.5,37.31,146.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kings_2023_generic_r5.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.31,0.0,0.0,146.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.62,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.3635,-119.61,7546 8 1/2 Avenue,Hanford,Kings,932300,10262.0,224037.0,Fagundes Agribusiness Dairy
Four Star Dairy,22401 20 RD Tulare Tulare 93274,2390.0,280.0,390.0,280.0,284.0,0.0,,73218.85,71.0,654094.84,934421.2,154904.98,459277.28,1189717.5,25382700.0,99351.58,16625.04,119032.19,767371.74,143453.7,50266.66,95877.55,86151.6,99351.58,99351.58,16625.04,119032.19,767371.74,0.97,1.12,0.65,0.71,Kings_2023_generic_r5.csv,32.205032,33.17118296,32326976.353668004,3624.0,242805.28000000003,753446.4199999999,0.0,66891.70000000001,171530.02000000002,0.0,214909.74,578309.47,0.0,853523.34,1957089.24,0.0,96083926.407,2.972252194446196,32326976.353668004,33296785.64427805,2.972252194446196,0.0,0.0,0.0,0.0,895604.9463414635,0.0,0.0,-26.96614253059116,,,,,2023,R5,generic_r5,Self-completed (R5),36.196,-119.5318,18886 4th Avenue,Hanford,Kings,932300,10287.0,225177.0,Four Star Dairy
High Roller Dairy,14782 8th Avenue Hanford CA 93230,1828.0,195.0,0.0,855.0,0.0,0.0,,60038.73,,0.0,693573.0,115825.45,223569.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,2878.0,0.0,0.0,0.0,0.0,115825.45,0.0,0.0,223569.8,0.0,0.0,0.0,0.0,0.0,0.0,23458501.741393603,24162256.793635413,0.0,0.0,0.0,0.0,0.0,709197.0770731707,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.258,-119.6013,14782 8th Avenue,Hanford,Kings,932300,10544.0,237349.0,High Roller Dairy
Poplar Lane Dairy,5387 Kent Avenue Hanford CA 93230,2188.0,312.0,0.0,1170.0,0.0,0.0,,83107.21,,0.0,1123535.7,191062.9,363602.05,1951606.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,3670.0,0.0,0.0,0.0,0.0,191062.9,0.0,0.0,363602.05,0.0,0.0,1951606.4,0.0,0.0,0.0,28989745.108000003,29859437.461240005,0.0,0.0,0.0,0.0,0.0,889014.1707317074,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.2249,-119.554,5387 Kent Avenue,Hanford,Kings,932300,10162.0,216523.0,Poplar Lane Dairy
River Ranch Dairy,6155 Jackson Avenue Hanford CA 93230,355.0,390.0,0.0,1565.0,0.0,755.0,,188250.35,,0.0,2545090.25,435003.35,776676.2,4458358.36,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,3065.0,0.0,0.0,0.0,0.0,435003.35,0.0,0.0,776676.2,0.0,0.0,4458358.36,0.0,0.0,0.0,8638944.042183999,8898112.36344952,0.0,0.0,0.0,0.0,0.0,427993.1195121952,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.2531,-119.568,6155 Jackson Avenue,Hanford,Kings,932300,10746.0,252833.0,River Ranch Dairy
Wreden Ranch Dairy,8749 Lansing Avenue Hanford CA 93230,5655.0,741.0,0.0,2047.0,0.0,34.0,,175815.93,,0.0,2462833.85,414778.7,698975.0,4446050.83,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,8477.0,0.0,0.0,0.0,0.0,414778.7,0.0,0.0,698975.0,0.0,0.0,4446050.83,0.0,0.0,0.0,74167363.88430719,76392384.80083641,0.0,0.0,0.0,0.0,0.0,2170594.1907317075,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.1957,-119.6057,8749 Lansing Avenue,Hanford,Kings,932300,10939.0,273042.0,Wreden Ranch Dairy
DeGroot Dairy North,2446 Grangeville Blvd Hanford CA 93230,1549.0,349.0,0.0,437.0,0.0,0.0,,53694.88,,0.0,600895.85,98093.75,203399.9,1024328.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,2335.0,0.0,0.0,0.0,0.0,98093.75,0.0,0.0,203399.9,0.0,0.0,1024328.7,0.0,0.0,0.0,22009014.4859936,22669284.92057341,0.0,0.0,0.0,0.0,0.0,624812.9331707318,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.349,-119.5002,2446 Grangeville Boulevard,Hanford,Kings,932300,10876.0,267624.0,DeGroot Dairy North
Hollandia Farms Dairy,7905 Kansas Avenue Hanford CA 93230,2466.0,277.0,0.0,1009.0,0.0,0.0,,91923.07,,0.0,1235247.6,211002.85,395192.8,2132853.61,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,3752.0,0.0,0.0,0.0,0.0,211002.85,0.0,0.0,395192.8,0.0,0.0,2132853.61,0.0,0.0,0.0,31807548.3324976,32761774.78247253,0.0,0.0,0.0,0.0,0.0,944909.872195122,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.2087,-119.5965,7905 Kansas Avenue,Hanford,Kings,932300,10386.0,230542.0,Hollandia Farms Dairy
Dias and Sons Dairy,7594 Kent Avenue Hanford CA 93230,420.0,62.0,0.0,200.0,0.0,0.0,,15640.69,,0.0,211378.8,35831.32,67711.15,368228.59,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,35831.32,0.0,0.0,67711.15,0.0,0.0,368228.59,0.0,0.0,0.0,5589222.8568224,5756899.542527072,0.0,0.0,0.0,0.0,0.0,168560.9375609756,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.2263,-119.5939,7594 Kent Avenue,Hanford,Kings,932300,10204.0,220120.0,Dias and Sons Dairy
DeGroot Dairy South,3101 Grangeville Blvd Hanford CA 93230,2028.0,349.0,0.0,437.0,0.0,0.0,,55891.27,,0.0,632026.7,104765.95,177718.5,1131824.85,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Kings_2023_innovative_ag.csv,0.0,0.0,0.0,2814.0,0.0,0.0,0.0,0.0,104765.95,0.0,0.0,177718.5,0.0,0.0,1131824.85,0.0,0.0,0.0,27563449.6486864,28390353.138146996,0.0,0.0,0.0,0.0,0.0,770246.9131707317,0.0,0.0,-100.0,,,,,2023,R5,innovative_ag,Innovative Ag,36.3415,-119.5151,3101 Grangeville Boulevard,Hanford,Kings,932300,10856.0,264698.0,DeGroot Dairy South
