Origin Dairy Name,Origin Dairy Address,Origin Dairy Address (Geocoded),Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Nearest Cross Street,Destination Type,Destination Type (Standardized),Destination Assessor Parcel Number,Destination Address (Geocoded),Haul Date,First Haul Date,Last Haul Date,Is Pipeline,Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Manure Density,Method Used to Determine Volume of Manure,Source PDF,County,Consultant,Manifest Number,Start Page,End Page,Manifest Type,Parameter Template
Elbow Creek Dairy,34537 Road 124 Visalia Ca 93291,"(36.41788180285, -119.29766820711)",Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford Ca 93230,Bb&B Farms 34098 Rd. 140 Visalia 93292 (559) 302-8237,34098 Rd. 140 Visalia 93292,,Farmer,Farmer,,"(36.408296677474, -119.258355153379)",11/2 & 11/4/24,,,False,,,400.0,89.8% Corral Solids,,,,2024AR_Elbow Creek Dairy_34537 Rd 124_Tulare,tulare_east,innovative_ag,3,32,33,manure,R5-2007-0035_general_order
Elbow Creek Dairy,34537 Road 124 Visalia Ca 93291,"(36.41788180285, -119.29766820711)",Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford Ca 93230,Bb&B Farms 34098 Rd. 140 Visalia 93292 (559) 302-8237,34098 Rd. 140 Visaia 93292,,Farmer,Farmer,,"(36.408296677474, -119.258355153379)",11/4-11/6/24,11/6/2024,11/4/2026,False,,,2360.0,89.8% Corral Solids,,,,2024AR_Elbow Creek Dairy_34537 Rd 124_Tulare,tulare_east,innovative_ag,4,34,35,manure,R5-2007-0035_general_order
Faial Farms 2,18683 Magnolia Ave Shafter Ca 93263 I,"(35.478788248952, -119.37806993694)",T/M Composting Name Trina Payne There Are Significant Penalties For Submitting False Information.,4322 Saco Rd. Bakersfield Ca 93308 Violations.,T/M Composting Name Trina Payne,4322 Saco Rd Number 800 995 8331 Date Facility City/State Bakersfield Ca 12/30/2024,,Composting Facility,Composting Facility,,"(35.446720009412, -119.092199010352)",Jun 1 2024-Jun 30 2024,,,False,,,5997,68,,,,2024AR_Faial Farms 2 Dairy,kern,generic_r5,1a,65,65,manure,R5-2007-0035_one_page_2
Flatland Farms Llc,8431 15™ Ave Hanford 93230,"(36.332851, -119.647705)",Mello Trucking,9900 15Th Ave Hanford 93230,Daniel Soares 5835 Ave Hanford 93230 559-469-2728,5835 13™ Ave Hanford 93230,,,,,"(36.332851, -119.647705)",1-1-24-12-31-24,2/1/2026,2/24/2026,False,,,4700.0,85%,,,Scale,2024AR_Flatland Farms LLC_8483 15th Ave_Kings,kings,generic_r5,1,49,50,manure,R5-2007-0035_general_order
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Family Orchards Inc (559) 859-5167,13085 S Zediker Ave Kingsburg 93631,Fresno,Farmer,Farmer,,"(36.545922456563, -119.522070865856)",01/01/2024,,1/1/2024,False,,,350.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,1,150,151,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Salazar Farms (559) 777-0037,92 Po Box Kingsburg 93631,Fresno,Farmer,Farmer,,"(36.5130397, -119.5499447)",01/09/2024,,1/9/2024,False,,,450.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,2,152,153,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,M D B Farms (559) 584-5779,5520 Flint Ave Hanford 93230,Kings,Farmer,Farmer,,"(36.372092722142, -119.556338563439)",01/13/2024,,1/13/2024,False,,,500.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,3,154,155,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Todd Steele (559) 636-9198,363 N 5Th Ave Kingsburg 93631,Fresno,Farmer,Farmer,,"(36.481844441258, -119.544413918417)",02/02/2024,,2/2/2024,False,,,570.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,4,156,157,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Esajian Family Farms Inc (559) 904-7689,10741 Flint Ave Hanford 93230,Kings,Farmer,Farmer,,"(36.371829772885, -119.651068735209)",03/14/2024,,3/14/2024,False,,,50.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,5,158,159,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Alvaro Machado Dairy (559) 582-4248,5230 9Th Ave Hanford 93230,Kings,Farmer,Farmer,,"(36.397910158335, -119.619420133354)",04/11/2024,,4/11/2024,False,,,400.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,6,160,161,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Superior Soil Supplements Lcc (559) 584-7695,10367 Houston Ave Lemoore 93245,Kings,Farmer,Farmer,,"(36.298510285772, -119.64364297696)",05/13/2024,,5/13/2024,False,,,2300.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,7,162,163,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Alvaro Machado Dairy (559) 582-4248,5230 9Th Ave Hanford 93230,Kings,Farmer,Farmer,,"(36.397910158335, -119.619420133354)",05/13/2024,,5/13/2024,False,,,2000.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,8,164,165,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Zak Farms Llc (559) 804-6698,5415 Boston Ave Kingsburg 93631,Fresno,Farmer,Farmer,,"(36.485672204981, -119.553887564481)",08/29/2024,,8/29/2024,False,,,800.0,24.3%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,9,166,167,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Brown'S Dairy (559) 582-2074,14803 Grangeville Blvd Hanford 93230,Kings,Farmer,Farmer,,"(36.340715278099, -119.723741551733)",09/18/2024,,9/18/2024,False,,,1400.0,24.4%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,10,168,169,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Brown'S Dairy (559) 582-2074,14803 Grangeville Blvd Hanford 93230,Kings,Farmer,Farmer,,"(36.340715278099, -119.723741551733)",10/10/2024,,10/10/2024,False,,,800.0,24.3%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,11,170,171,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",B. Mello Ag Services,5771 7Th Avenue Hanford Ca 93230,Family Orchards Inc (559) 859-5167,13085 S Zediker Ave Kingsburg 93631,Fresno,Farmer,Farmer,,"(36.545922456563, -119.522070865856)",12/23/2024,,12/23/2024,False,,,400.0,24.3%,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,12,172,173,manure,R5-2007-0035_software
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,"(36.368012999356, -119.572499999577)",Duran Trucking Inc,29435 Borba Rd Gustine Ca 95322,Merced Ranch (209) 617-7755,7745 E Sandymush Merced 95341,Merced,Farmer,Farmer,,"(37.183162512809, -120.355104804204)",12/24/2024,,12/24/2024,False,,,3970.8,56.9 %,,,Number Of Loads Multiplied By Load Weight,2024AR_Flint Dairy_6511 Flint Ave_Kings,kings,generic_r5,17,182,183,manure,R5-2007-0035_software
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,"(36.644826189915, -119.864883078199)",Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,Fresno 93706,S. Hughes Fresno,Broker,Broker,,"(36.729377497282, -119.801577648366)",12/13/2024,,12/13/2024,False,,,770.0,85.9 %,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,generic_r5,2,20,21,manure,R5-2007-0035_software
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,"(36.644826189915, -119.864883078199)",Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,Fresno 93706,S. Hughes Fresno,Broker,Broker,,"(36.729377497282, -119.801577648366)",11/22/2024,,11/22/2024,False,,,462.0,79.3 %,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,generic_r5,3,22,23,manure,R5-2007-0035_software
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,"(36.644826189915, -119.864883078199)",Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,Fresno 93706,S. Hughes Fresno,Broker,Broker,,"(36.729377497282, -119.801577648366)",10/22/2024,,10/22/2024,False,,,770.0,85.9 %,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,generic_r5,4,24,25,manure,R5-2007-0035_software
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,"(36.644826189915, -119.864883078199)",Ray Moles,9685 S. Hughes Avenue Fresno Ca 93725,Ray Moles (559) 259-1505,Fresno 93706,S. Hughes Fresno,Broker,Broker,,"(36.729377497282, -119.801577648366)",08/15/2024,,8/15/2024,False,,,3483.0,85.9 %,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,fresno_madera,generic_r5,7,30,31,manure,R5-2007-0035_software
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,"(36.646395868923, -120.063654882863)",Burrows Trucking,13265 W. Jensen Avenue Kerman Ca 93630,Burrow Trucking & Spreading (559) 846-9129,Fresno 93706,W. Jensen Avenues Fresno,Broker,Broker,,"(36.706049232897, -119.951035075938)",02/09/2024,,2/9/2024,False,,,2452.0,64.8 %,,,Averaged Scale Weighed Loads Multiplied By The Number Of Loads Exported.,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,generic_r5,1,21,22,manure,R5-2007-0035_software
G & A Dairy #2,6043 S Madera Kerman Fresno 93630,"(36.646395868923, -120.063654882863)",Netto Ag Inc.,10044 Flint Avenue Hanford Ca 93230,Netto Ag Inc. (559) 585-2097,Hanford 93230,Flint Avenue Kings,Broker,Broker,,"(36.371851115141, -119.654880000439)",10/01/2024,,10/1/2024,False,,,2140.0,75.7 %,,,Averaged Scale Weighed Loads Multiplied By The Number Of Loads Exported.,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,fresno_madera,generic_r5,5,29,30,manure,R5-2007-0035_software
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Joe D Rented Field,Marks & Muscat,,,,,"(36.684867505303, -119.844508683237)",,,,False,,,1498.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,1,34,35,manure,R5-2013-0122_general_order
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Name Number And Street City Zip Code Phone Number,Big De Muscat & Westlawn,,,,,"(36.684847028295, -119.848990342306)",,,,False,,,1450.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,3,38,39,manure,R5-2013-0122_general_order
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Dickenson,,Farmer,Farmer,,"(37.1985547, -120.2082307)",,,,False,,,750.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,4,40,41,manure,R5-2013-0122_general_order
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Rolinda,,Farmer,Farmer,,"(36.727719, -119.96995)",,,,False,,,750.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,5,42,43,manure,R5-2013-0122_general_order
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Jameson,,Farmer,Farmer,,"(38.307582884449, -122.28815413273)",,,,False,,,825.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,6,44,45,manure,R5-2013-0122_general_order
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Cornelia American,,Farmer,Farmer,,"(38.064930566803, -120.560941966512)",,,,False,,,1725.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,7,46,47,manure,R5-2013-0122_general_order
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Grantland,,Farmer,Farmer,,"(37.575667630599, -122.324292571096)",,,,False,,,750.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,8,48,49,manure,R5-2013-0122_general_order
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,"(36.698506663879, -119.840068705305)",Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Muscat,,Farmer,Farmer,,"(37.7713381, -122.2484312)",,,,False,,,1724.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,fresno_madera,innovative_ag,9,50,51,manure,R5-2013-0122_general_order
Georgeson Dairy,8519 24Th Ave Lemoore Kings 93245,"(36.350797995157, -119.886656999535)",Thomas Bros Spreading,19721 Exceslsior Riverdale Ca 93656,Thomas Bros Hauling (559) 352-0608,Riverdale 93656,Stockpile Fresno,Broker,Broker,,"(36.438315206411, -119.812750275793)",06/20/2024,,6/20/2024,False,,,8200.0,61.0 %,,,Weighted Average,2024AR_Georgenson Dairy_8519 24th Ave_Kings,kings,generic_r5,1,34,35,manure,R5-2007-0035_software
Gerben Leyendekker,8676 Avenue 360 Visalia Ca 93291,"(36.444070765955, -119.377834908375)",Valley Manure Spreading Inc.,1728 North Irma St. Visalia Ca 93292,(559) 805-0010,,,,,042-050-009,"(32.918091, -114.854592)",,,,False,,,1420.0,(If,,(If Amount Reported In Cubic Yards),Enter The Amount Of Process Wastewater Hauled In Gallons And The Method Used To Determine The,2024AR_Gerben Leyendekker Dairy #1_8517 Ave 360_Tulare,tulare_east,innovative_ag,1,38,39,manure,R5-2013-0122_general_order
Gerben Levendekker Pain,8517 Ave 360 Visalia Ca 93291,"(36.443208561485, -119.378528175586)",Valley Manure Spreading,1728 N. Imast Visalia 93292,Joep Name Rijlaarscham Number And Street 35185 Rd 52 Kingsburg Ca 93431 (602) 617-570,35185 Rd 52 Kingsburg Ca 93631,,Farmer,Farmer,,"(36.429767509191, -119.456993685782)",,,,False,,,14860.0,(If,,(If Amount Reported In Cubic Yards),Average Truck Weight,2024AR_Gerben Leyendekker Dairy #1_8517 Ave 360_Tulare,tulare_east,innovative_ag,2,40,41,manure,R5-2013-0122_general_order
Golden Star Dai,4109 E Conejo Ave Selma Fresno 93662,"(36.515457088368, -119.716613916548)",Medeiros Farms,12137 S Hughes Ave Caruthers Ca 93609,Medeiros Farms (559) 906-1406,Caruthers 93609,Hughes Fresno,Farmer,Farmer,,"(36.539831144575, -119.853247855475)",10/15/2024,,10/15/2024,False,,,2800.0,52.4%,,,Weighted Average,2024AR_Golden Star Dairy_4109 E Conejo Ave_Fresno,fresno_madera,generic_r5,1,35,36,manure,R5-2007-0035_software
Lest Family Farms,14576 Avenue 14 Madera Madera 93637,"(36.945505005748, -120.278075030203)",Richie Lest Farms Inc,14676 Ave 14 Madera Ca 93637,El Nido Ranch (209) 675-8658,7792 Nickle Rd Dos Palos 93620,Merced,Farmer,Farmer,,"(37.174345672677, -120.682582827603)",05/22/2024,,5/22/2024,False,,,1735.0,66.3 %,,,Number Of Loads Multiplied By Load Weight.,2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,fresno_madera,generic_r5,1,381,382,manure,R5-2007-0035_software
Lest Family Farms,14576 Avenue 14 Madera Madera 93637,"(36.945505005748, -120.278075030203)",Richie Lest Farms Inc,14676 Ave 14 Madera Ca 93637,El Nido Ranch (209) 675-8658,7792 Nickle Rd Dos Palos 93620,Merced,Farmer,Farmer,,"(37.174345672677, -120.682582827603)",08/29/2024,,8/29/2024,False,,,3313.0,73.7 %,,,Number Of Loads Multiplied By Load Weight.,2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,fresno_madera,generic_r5,2,383,384,manure,R5-2007-0035_software
Lest Family Farms,14576 Avenue 14 Madera Madera 93637,"(36.945505005748, -120.278075030203)",Richie Lest Farms Inc,14676 Ave 14 Madera Ca 93637,El Nido Ranch (209) 675-8658,7792 Nickle Rd Dos Palos 93620,Merced,Farmer,Farmer,,"(37.174345672677, -120.682582827603)",12/10/2024,,12/10/2024,False,,,1199.0,73.7 %,,,Number Of Loads Multiplied By Load Weight.,2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,fresno_madera,generic_r5,3,385,386,manure,R5-2007-0035_software
J And A Dairy,16283 18Th Avenue Lemoore Ca 93245,"(36.235995006857, -119.780187969925)",B Mello Ag Services,5771 7Th Ave Hanford 93230,Tachi Farming 17225 Jersey Ave Lemoore 93245,Kent Ave & 18Th Ave Lemoore 93245,,,,,"(36.225838990056, -119.780329959365)",4-3-24,2/3/2026,2/24/2026,False,,,1650.0,66.8% Corral Solids,,,,2024AR_J & A Dairy LLC_16283 18th Avenue_Kings,kings,innovative_ag,1,23,24,manure,R5-2007-0035_general_order
J&D Wilson & Sons Dairy,11720 W Mt. Whitney Ave Riverdale Fresno 93656,"(36.431184511833, -120.008076326925)",Thomas Bros Hauling,19721 Excelsior Ave Riverdale Ca 93656,Thomas Bro Spreadin 559) 922-0270,Riverdale 93656,Compost Yard Fresno,Broker,Broker,,"(36.435758, -119.8682437)",01/15/2024,,1/15/2024,False,,,6500.0,59.4 %,,,Weighted Average,2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,fresno_madera,generic_r5,1,70,71,manure,R5-2007-0035_software
J&D Wilson & Sons Dai,11720 W Mt. Whitney Ave Riverdale Fresno 93656,"(36.431184511833, -120.008076326925)",Thomas Bros Hauling,19721 Excelsior Ave Riverdale Ca 93656,Thomas Bro Spreading (559) 922-0270,Riverdale 93656,Compost Yard Fresno,Broker,Broker,,"(36.435758, -119.8682437)",04/01/2024,,4/1/2024,False,,,6500.0,59.4%,,,Weighted Average,2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,fresno_madera,generic_r5,2,72,73,manure,R5-2007-0035_software
J&D Wilson & Sons Dai,11720 W Mt. Whitney Ave Riverdale Fresno 93656,"(36.431184511833, -120.008076326925)",Thomas Bros Hauling,19721 Excelsior Ave Riverdale Ca 93656,Thomas Bro Spreadin 559) 922-0270,Riverdasle 93656,Compost Yard Fresno,Broker,Broker,,"(36.435758, -119.8682437)",12/02/2024,,12/2/2024,False,,,4657.0,40.1 %,,,Weighted Average,2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,fresno_madera,generic_r5,3,74,75,manure,R5-2007-0035_software
J&D Wilson Dry Cows,430 W Mt. Whitney Ave Riverdale Fresno 93656,"(36.432888552748, -119.80456681913)",Thomas Bros Spreading,19721 Excesisior Riverdale Ca 93656,Thomas Bros Hauling (559) 352-0608,Riverdale 93656,Stockpile Fresno,Broker,Broker,,"(36.438315206411, -119.812750275793)",07/05/2024,,7/5/2024,False,,,850.0,57.5 %,,,Weighted Average,2024AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno,fresno_madera,generic_r5,1,68,69,manure,R5-2007-0035_software
J&D Wilson Dry Cows,430 W Mt. Whitney Ave Riverdale Fresno 93656,"(36.432888552748, -119.80456681913)",Thomas Bros Spreading,19721 Exceslisior Riverdale Ca 93656,Thomas Bros Haulin 559) 352-0608,Riverdale 93656,Stockpile Fresno,Broker,Broker,,"(36.438315206411, -119.812750275793)",09/10/2024,,9/10/2024,False,,,11410.0,56.8 %,,,Weighted Average,2024AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno,fresno_madera,generic_r5,2,70,71,manure,R5-2007-0035_software
J&R Dairy,4403 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,"(35.208699253837, -119.050715607855)",Brachena Ag Services Inc Name Fred Amirfar Inquiry Of Those Individuals Immediately Responsible,9442 Bear Mountain Blvd. ~ Bakersfield Ca93311...S™” Tot Ttt Information Is True Accurate And Complete. I Am,American Ag Inc. Name American Ag Inc. Ce Hevie—~,Po Box 20370 Number Facility City/State Bakersfield Ca,,Farmer,Farmer,,"(35.373405, -119.018911)",Jun 1 2024-Jun 30 2024,,,False,,,5323,68,,,,2024AR_J&R Dairy,kern,generic_r5,1a,90,90,manure,R5-2007-0035_one_page_2
J&R Dairy,4403 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,"(35.208699253837, -119.050715607855)",Brachena Ag Services Inc Name Fred Amirfar Inquiry Of Those Individuals Immediately Responsible,9442 Bear Mountain Blvd. ~ Bakersfield Ca93311...S™” Tot Ttt Information Is True Accurate And Complete. I Am,American Ag Inc. Name American Ag Inc. Ce Hevie—~,Po Box 20370 Number Facility City/State Bakersfield Ca,,Farmer,Farmer,,"(35.373405, -119.018911)",Aug 1 2024-Aug 31 2024,,,False,,,8463,66,,,,2024AR_J&R Dairy,kern,generic_r5,1c,90,90,manure,R5-2007-0035_one_page_2
J&R Dairy,4403 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,"(35.208699253837, -119.050715607855)",Brachena Ag Services Inc Name Fred Amirfar Inquiry Of Those Individuals Immediately Responsible,9442 Bear Mountain Blvd. ~ Bakersfield Ca93311...S™” Tot Ttt Information Is True Accurate And Complete. I Am,Kirschenman Enterprises Name Kirschenman Enterprises,Po Box 27 Number Facility City/State Edison Ca,,Farmer,Farmer,,"(35.347198, -118.870959)",Jun 1 2024-Jun 30 2024,,,False,,,12150,69,,,,2024AR_J&R Dairy,kern,generic_r5,2c,92,92,manure,R5-2007-0035_one_page_2
Jacubus De Groot Dairy #1,31847 Rd. 92 Visalia Ca 93291 Zip Code,"(36.36791044677, -119.368536024992)",Gutierrez Spreading Llc,3612 Ave 236 Tulare 93274,Spread On Fields On Ave 328 And Rd 92 Visalia Ca,West Coast And Gravel 7715 Avc 296 Visalia Ca 93291,,Composting,Composting Facility,,"(36.3384321, -119.3228691)",5-22-24/5-23-24/5-24-24/11-2-24/11-3-24,2/2/2026,2/24/2026,False,10.0,,6280.0,72.8% Corral Solids,,,10-Wheeles Weight 10 Tons Semis-Weight 20 Tons Per Truck,2024AR_Jacobus DeGroot Dairy #1_31847 Rd 92_Tulare,tulare_east,innovative_ag,1,27,28,manure,R5-2007-0035_general_order
Jaques & Silva Dai,10536 6Th Ave Hanford Kings 93230,"(36.319882979765, -119.565920959956)",Rodriguez Bros Hauling,5939 Lacey Blvd Hanford Ca 93230,Rodriguez Bros (559) 585-8243,Hanford 93230,Lace Fresno,Broker,Broker,,"(36.327726, -119.645914)",10/05/2024,,10/5/2024,False,,,1850.0,52.5 %,,,Weighted Average,2024AR_Jaques & Silva Dairy_10536 6th Ave_Kings,kings,generic_r5,1,86,87,manure,R5-2007-0035_software
Joe R Garcia Dairy Aka Netto Enterprise,20677 S East Ave Laton Fresno 93242,"(36.434548714401, -119.782809493962)",Netto Ag,10044 Flint Ave Hanford Ca 93230,Netto A 559) 585-2097,Hanford 93230,Stockpile Kings,Broker,Broker,,"(36.332851, -119.647705)",04/04/2024,,4/4/2024,False,,,1500.0,62.9 %,,,Dry Manure,2024AR_Joe R. Garcia Dairy_20677 East Ave_Fresno,fresno_madera,generic_r5,1,90,91,manure,R5-2007-0035_software
Kerman Cattle Co,4301 S Dickenson Fresno Fresno 93706,"(36.671237961083, -119.970445565244)",Burrow Bros Trucking,133265 W. Kamm Ave Kerman Ca 93656,Burrow Bros Truckin 559) 246-3831,Kerman 93656,Kamm Fresno,Broker,Broker,,"(36.435758, -119.8682437)",10/22/2024,,10/22/2024,False,,,2200.0,53.0 %,,,Weighted Average,2024AR_Kerman Cattle Company_4301 S Dickenson Ave_Fresno,fresno_madera,generic_r5,1,53,54,manure,R5-2007-0035_software
