Source PDF,Street no,Rest of PDF,County,Manifest Number,Is Duplicate,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),First Haul Date,Last Haul Date,Unique Hauling Days Mentioned,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Total Manure Amount (cubic yards),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Manure Number of Hauls,Manure Mass per Haul (tons),Manure Volume per Haul (cubic yards),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
1218 W Keyes Rd Modesto 2024 Dairy AR,1218.0, W Keyes Rd Modesto 2024 Dairy AR,rancho_cordova,3,,76,77,wastewater,x,MB Lucky Lady,1218 W. Keyes Road Modesto Ca 95358,Mb Lucky Lady (Via Pipeline),1218 W. Keyes Road Modesto Ca 95358,"810 S. Hart Road Modesto, CA 95358",810,1713 Keyes Road Modesto Ca,,041-025-003,Farmer,,2024-06-29,,1530000.0,,,,,,, 17 Hours At 1500 Gallons Per Minute,,,,1500.0,,17.0,,True,
1218 W Keyes Rd Modesto 2024 Dairy AR,1218.0, W Keyes Rd Modesto 2024 Dairy AR,rancho_cordova,4,,78,79,wastewater,x,MB Lucky Lady,1218 W. Keyes Road Modesto Ca 95358,Mb Lucky Lady (Via Pipeline),1218 W. Keyes Road Modesto Ca 95358,"810 S. Hart Road Modesto, CA 95358",810,1713 Keyes Road Modesto Ca,,041-025-003,Farmer,,2024-07-22,,1620000.0,,,,,,, 18 Hours At 1500 Gallons Per Minute,,,,1500.0,,18.0,,True,
1218 W Keyes Rd Modesto 2024 Dairy AR,1218.0, W Keyes Rd Modesto 2024 Dairy AR,rancho_cordova,5,,80,81,wastewater,x,MB Lucky Lady,1218 W. Keyes Road Modesto Ca 95358,Mb Lucky Lady (Via Pipeline),1218 W. Keyes Road Modesto Ca 95358,"810 S. Hart Road Modesto, CA 95358",810,1713 Keyes Road Modesto Ca,,041-025-003,Farmer,,2024-09-01,,1890000.0,,,,,,, 21 Hours At 1500 Gallons Per Minute,,,,1500.0,,21.0,,True,
1257 W Roosevelt Rd El Nido 2024 Dairy AR,1257.0, W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,1,,33,34,manure,x,Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc,P.O. Box 149 El Nido CA 95317,El Nido 95317,Coyote Rd Merced,,Broker,,2024-03-27,,,1344.0,46.0,,,,24 Tons X 56 Loads,,56.0,24.0,,,,,,False,R5-2007-0035_software
1257 W Roosevelt Rd El Nido 2024 Dairy AR,1257.0, W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,2,,35,36,manure,x,Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc,P.O. Box 149 El Nido CA 95317,El Nido 95317,Coyote Rd Merced,,Broker,,2024-07-04,,,10044.0,23.4,,,,418.5 Loads X 24 Tons,,418.5,24.0,,,,,,False,R5-2007-0035_software
1257 W Roosevelt Rd El Nido 2024 Dairy AR,1257.0, W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,3,,37,38,manure,x,Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc,P.O. Box 149 El Nido CA 95317,El Nido 95317,Coyote Rd Merced,,Broker,,2024-11-22,,,2280.0,46.0,,,,95 Loads X 24 Tons,,95.0,24.0,,,,,,False,R5-2007-0035_software
1343 Magnolia Ave Patterson 2024 Dairy AR,1343.0, Magnolia Ave Patterson 2024 Dairy AR,rancho_cordova,1,,45,46,manure,x,Azevedo Dairy INC.,1337 Magnolia Avenue Patterson CA 95363,Azevedo Dairy INC.,1337 Magnolia Avenue Patterson CA 95363,Jca Custom Farming,1343 Magnolia Avenue Patterson 95363,1343 Magnolia Avenue Patterson 95363,,,Farmer,,2024-05-18,,,1200.0,81.3,,,,Number Of Truckloads X Average Truck Weight,,,,,,,,,False,R5-2007-0035_general_order
1343 Magnolia Ave Patterson 2024 Dairy AR,1343.0, Magnolia Ave Patterson 2024 Dairy AR,rancho_cordova,2,,47,48,manure,x,Azevedo Dairy INC.,1337 Magnolia Avenue Patterson CA 95363,Azevedo Dairy INC.,1337 Magnolia Avenue Patterson CA 95363,Jca Custom Farming,1343 Magnolia Avenue Patterson 95363,1343 Magnolia Avenue Patterson 95363,,,Farmer,,2024-10-28,,,1500.0,91.3,,,,Number Of Truckloads X Average Truck Weight,,,,,,,,,False,R5-2007-0035_general_order
1369 S Hunt Rd Gustine 2024 Dairy AR,1369.0, S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,1,,50,51,manure,x,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,J&F Fertilizer,1275 North Ave Gustine Ca 95322,J&F Fertilizer (209) 495-1964,1275 North Ave Gustine CA 95322,1275 North Ave Gustine 95322,Merced,,Composting Facility,,2024-12-15,,,1650.0,59.6,,,,Total Loads Multiplied By Average Load Weight,,,,,,,,,False,R5-2007-0035_software
1369 S Hunt Rd Gustine 2024 Dairy AR,1369.0, S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,2,,52,53,manure,x,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,J&F Fertilizer,1275 North Ave Gustine Ca 95322,Martins View Heifer Facility (209) 678-1156,29120 Fentem Rd Gustine CA 95322,29120 Fentem Rd Gustine 95322,Merced,,Farmer,,2024-05-07,,,2520.0,32.0,,,,Total Loads Multiplied By Average Load Weight,,,,,,,,,False,R5-2007-0035_software
1369 S Hunt Rd Gustine 2024 Dairy AR,1369.0, S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,3,,54,55,wastewater,x,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,Martins View Jersey Dairy Inc,1000 Red Lion Ct Newman Ca 95360,Martins View Jersey #2 (209) 678-1156,1000 Red Lion Ct Newman CA 95360,28336 W Bambauer Rd Gustine 95322,Merced,,Farmer,,2024-01-01,,840174.0,,,,,,,Pond Drop Calculation,,,,,,,,False,R5-2007-0035_software
1369 S Hunt Rd Gustine 2024 Dairy AR,1369.0, S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,4,,56,57,wastewater,x,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,Martins View Jersey Dairy Inc,1000 Red Lion Ct Newman Ca 95360,Martins View Jersey #2 (209) 678-1156,1000 Red Lion Ct Newman CA 95360,28336 W Bambauer Rd Gustine 95322,Merced,,Farmer,,2024-03-20,,538220.0,,,,,,,Pond Drop Calculation,,,,,,,,False,R5-2007-0035_software
1369 S Hunt Rd Gustine 2024 Dairy AR,1369.0, S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,5,,58,59,wastewater,x,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,Martins View Jersey Dairy Inc,1000 Red Lion Ct Newman Ca 95360,Martins View Jersey #2 (209) 678-1156,1000 Red Lion Ct Newman CA 95360,28336 W Bambauer Rd Gustine 95322,Merced,,Farmer,,2024-06-16,,636845.0,,,,,,,Pond Drop Calculation,,,,,,,,False,R5-2007-0035_software
1369 S Hunt Rd Gustine 2024 Dairy AR,1369.0, S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,6,,60,61,wastewater,x,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,Martins View Jersey Dairy Inc,1000 Red Lion Ct Newman Ca 95360,Martins View Jersey #2 (209) 678-1156,1000 Red Lion Ct Newman CA 95360,28336 W Bambauer Rd Gustine 95322,Merced,,Farmer,,2024-08-15,,1126270.0,,,,,,,Pond Drop Calculation,,,,,,,,False,R5-2007-0035_software
1369 S Hunt Rd Gustine 2024 Dairy AR,1369.0, S Hunt Rd Gustine 2024 Dairy AR,rancho_cordova,7,,62,63,wastewater,x,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,Martins View Jersey Dairy Inc,1000 Red Lion Ct Newman Ca 95360,Martins View Jersey #2 (209) 678-1156,1000 Red Lion Ct Newman CA 95360,28336 W Bambauer Rd Gustine 95322,Merced,,Farmer,,2024-08-25,,333885.0,,,,,,,Pond Drop Calculation,,,,,,,,False,R5-2007-0035_software
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,1,,58,59,manure,x,Alden Peterson & Sons Dairy,1431 N. Central Ave. Turlock CA 95380,Five Star,219 Jenson Rd. Gustine CA 95322,Gioletii INC. 1007 Fulkerth Rd. Turlock 95380,Gioletii INC. 1007 Fulkerth Rd. Turlock 95380,,,022-022-013,,,2024-04-18,,,1056.0,71.9,,,,@ 12 Tons Per Load,,,12.0,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,2,,60,61,manure,x,Alden Peterson & Sons Dairy,1431 N. Central Ave. Turlock CA 95380,Five Star,219 Jenson Rd. Gustine CA 95322,Gioletii INC. 1007 Fulkerth Rd. Turlock 95380,Gioletii INC. 1007 Fulkerth Rd. Turlock 95380,,,022-022-013,,,2024-09-18,,,700.0,71.9,,,,@ 12 Tons Per Load,,,12.0,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,3,,62,63,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-01-04,,810000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,4,,64,65,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-02-17,,432000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,5,,66,67,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-03-02,,486000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,6,,68,69,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-03-16,,648000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,7,,70,71,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,2024-05-03,2024-05-04,,1350000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,8,,72,73,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-06-01,,1539000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,9,,74,75,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,2024-06-12,2024-06-13,,972000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,10,,76,77,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,2024-06-22,2024-06-23,,1242000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,11,,78,79,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-07-01,,877500.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,12,,80,81,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-07-08,,729000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,13,,82,83,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-07-16,,1188000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,14,,84,85,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-07-21,,945000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,15,,86,87,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,2024-07-28,2024-07-31,,2767500.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,16,,88,89,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,2024-08-08,2024-08-09,,2133000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,17,,90,91,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,2024-08-18,2024-08-19,,1917000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,18,,92,93,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,2024-08-29,2024-08-30,,1971000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,19,,94,95,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-09-13,,931500.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,20,,96,97,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-09-23,,702000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
"1431 N Central Ave, Turlock 2024 Dairy AR",1431.0," N Central Ave, Turlock 2024 Dairy AR",rancho_cordova,21,,98,99,wastewater,x,Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,,,Gioletii INC,10007 Fulkerth Rd. Ceres 95307,,,"0022-0021-0005-0000,0022-0022-0011-0000,0022-0021-0006,0022-0021-0007",,,2024-10-05,,1350000.0,,,,,,,PO,,,,,,,,False,R5-2007-0035_general_order
1439 Albers Rd Modesto 2024 Dairy AR,1439.0, Albers Rd Modesto 2024 Dairy AR,rancho_cordova,1,,121,121,manure,x,Postma Dairy,1439 Albers Road Modesto CA 95357,Postma Dairy,1439 Albers Road Modestoca 95357,Gomes Ranch 8219 Rice Road Oakdale CA 95361,Gomes Ranch 8219 Rice Road Oakdale CA 95361,8231 Rice Road Oakdale CA,,014-009-013,,,2024-05-10,,,920.0,74.3,,,,52 loads at 10 ton per load,,52.0,10.0,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,1,,15,16,manure,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,Self-Hauled,1500 W. Fulkerth Rd Crows Landing 95313,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-04-12,2024-05-05,,,4860.0,66.1,,,,@ 12 Tons Per Load,,,12.0,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,2,,17,18,manure,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,Self Hauled,1500 W. Fulkerth Rd Crows Landing 95313,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-10-05,2024-11-20,,,3672.0,43.1,,,,@12 Tons Per Load,,,12.0,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,3,,19,20,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-01-02,2024-01-05,,1436155.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,4,,21,22,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-01-17,2024-01-21,,719922.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,5,,23,24,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-01-31,2024-02-12,,4574139.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,6,,25,26,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-02-18,2024-02-26,,3302792.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,7,,27,28,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-03-22,2024-03-31,,1642690.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,8,,29,30,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-05-08,2024-05-20,,3266197.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,9,,31,32,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-06-23,2024-06-29,,2362602.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,10,,33,34,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-07-03,2024-07-08,,3367037.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,11,,35,36,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-07-17,2024-07-22,,4269532.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1500.0, Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,12,,37,38,wastewater,x,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,,,JA Machado Farming,8842 Moffett Rd. Ceres 95307,,,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003 ",Farmer,2024-07-30,2024-08-08,,4691825.0,,,,,,,Pd,,,,,,,,False,R5-2007-0035_general_order
