Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Type,Haul Date,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Source PDF,Manifest Number,Origin Dairy Address (Geocoded),Destination Address (Geocoded)
Bwc Weststeyn Dairy Lp,,Bwc Weststeyn Dairy Lp,1763 S. Hewitt Road Linden Ca 95236,The Scott'S Company 23390 E. Flood Street Linden Ca 95236 209-887-3845,23390 E. Flood Street Linden Ca 95236,Fertilizer Company,2/27/24 To 12/11/24,,7506.0,,,278 Loads At 27 Ton Per Load,Written Agreement,1763 S Hewitt Rd Linden 2024 Dairy AR,1,,"(38.006898699332, -121.027540136607)"
Bwc Weststeyn Dairy Lp,,Bwc Weststeyn Dairy Lp,1763 S. Hewitt Road Linden Ca 95236,Dondero Farms 1776 Murray Road Linden Ca 95236 209-401-9785,22807 E. Milton Road Linden Ca 95236 093-110-01 093-100-13,,8/12/24 To 9/22/24,,6858.0,,,254 Loads At 27 Ton Per Load,Written Agreement,1763 S Hewitt Rd Linden 2024 Dairy AR,2,,"(37.998766073957, -121.033980288093)"
,,? Azevedo Trucking,6465 W 152 Dos Pols 93620,Azevedo Goy65W 152 9760 204-3824290,,,8-15-24 8-16-24 8-19-24 8-20-24,,1800.0,,,The,Written Agreement,18037 S Center Ave Los Banos 2024 Dairy AR,1,,
Borba Cattle Company Llc.,Contact Person Name And Phone,John Or Randy Baptista,4505 N. Mccullagh Road Stevinson Ca 95374,Randy Baptista 4505 N. Mccullagh Road Stevinson 95374,4505 N. Mccullagh Road Stevinson 95374 Merced County,Farmer,5/8/24,,960.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"18254 N. First Ave, Stevinson 2024 Dairy AR",1,"(38.1302, -121.24717)","(37.359624876343, -120.885801064263)"
Borba Cattle Company Llc.,Contact Person Name And Phone,John Or Randy Baptista,4505 N. Mccullagh Road Stevinson Ca 95374,Randy Baptista 4505 N. Mccullagh Road Stevinson 95374,4505 N. Mccullagh Road Stevinson 95374 Merced County,Farmer,10/28/24,,600.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"18254 N. First Ave, Stevinson 2024 Dairy AR",2,"(38.1302, -121.24717)","(37.359624876343, -120.885801064263)"
Joe O. Rocha Dairy Inc.,Contact Person Name And Phone,Joe O. Rocha Dairy Inc.,18451 W. Bradbury Road Turlock Ca 95380,Ramos 19261 W. Bradbury Road Turlock 95380,Merced County Apn# 0041-0050-0034-0000; 0041-0050-0035-0000,Farmer,5/15/24,,1100.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"18451 W Bradbury Rd, Turlock 2024 Dairy AR",1,"(38.1302, -121.24717)","(40.246737646054, -74.7096082171)"
Joe O. Rocha Dairy Inc.,Contact Person Name And Phone,Joe O. Rocha Dairy Inc.,18451 W. Bradbury Road Turlock Ca 95380,Jr Farms 18451 W. Bradbury Road Turlock 95380,Merced County Apn# 0041-0030-0011-,Farmer,5/17/24,,1900.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"18451 W Bradbury Rd, Turlock 2024 Dairy AR",2,"(38.1302, -121.24717)","(40.247474770284, -74.710042696409)"
Hillcrest Dairy Llc,,Silva & Sons Custom Spreading,,Press Ranch,Address City Zip Code,Farmer,08/13/2024,,1440.0,,,Haulers Calcs,,1901 N Hayden Rd Le Grand 2024 Dairy AR,1,,"(38.2964476, -76.5088295)"
Hillcrest Dairy Llc,,Silva & Sons Custom Spreading,,Press Ranch,Address City Zip Code,Farmer,08/14/2024,,1296.0,,,Haulers Calcs,,1901 N Hayden Rd Le Grand 2024 Dairy AR,2,,"(38.2964476, -76.5088295)"
Hillcrest Dairy Llc,,Silva & Sons Custom Spreading,,Press Ranch,Address City Zip Code,Farmer,08/15/2024,,960.0,,,Haulers Calcs,,1901 N Hayden Rd Le Grand 2024 Dairy AR,3,,"(38.2964476, -76.5088295)"
Hillcrest Dairy Llc,,Silva & Sons Custom Spreading,,Press Ranch,Address City Zip Code,Farmer,08/15/2024,,480.0,,,Haulers Calcs,,1901 N Hayden Rd Le Grand 2024 Dairy AR,4,,"(38.2964476, -76.5088295)"
Hillcrest Dairy Llc,,Silva & Sons Custom Spreading,,Frank Silva,19615 Geer Ave Hilmar 95324,Farmer,08/24/2024,,1824.0,,,Haulers Calcs,,1901 N Hayden Rd Le Grand 2024 Dairy AR,5,,"(37.396577292772, -120.843239268681)"
Hillcrest Dairy Llc,,Silva & Sons Custom Spreading,,Frank Silva,19615 Geer Ave Hilmar 95324,Farmer,08/26/2024,,2232.0,,,Haulers Calcs,,1901 N Hayden Rd Le Grand 2024 Dairy AR,6,,"(37.396577292772, -120.843239268681)"
Hillcrest Dairy Llc,,Silva & Sons Custom Spreading,,Frank Silva,19615 Geer Ave Hilmar 95324,Farmer,08/27/2024,,1568.0,,,Haulers Calcs,,1901 N Hayden Rd Le Grand 2024 Dairy AR,7,,"(37.396577292772, -120.843239268681)"
Joe Oliveira Dairy,Contact Person Name And Phone,Dores Ag Services Inc.,22846 Second Avenue Stevinson Ca 95374,Nelson Dairy 19481 Geer Avenue Hilmar 95324,19481 Geer Avenue Hilmar 95324 Merced County,Farmer,5/11/2024,,1000.0,,,Number Of Truckloads X Average Truck Weight,Written Agreement,"19104 Crane Ave, Hilmar 2024 Dairy AR",1,"(38.1302, -121.24717)","(37.396618741283, -120.840743054096)"
Dtm Ag,,Johnson Farms,P.O. Box 868 Denair 95316,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,,5/29/24,,975.0,,,Scale Weights,Written Agreement,1933 Hall Rd Denair 2024 Dairy AR,6,,"(37.535437893837, -120.69666333529)"
Dtm Ag,,Johnson Farms,P.O. Box 868 Denair 95316,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,,10/22/24,,975.0,,,Scale Weights,Written Agreement,1933 Hall Rd Denair 2024 Dairy AR,8,,"(37.535437893837, -120.69666333529)"
Dtm Ag,,Johnson Farms,P.O. Box 868 Denair 95316,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,,11/12/24,,675.0,,,Scale Weights,Written Agreement,1933 Hall Rd Denair 2024 Dairy AR,9,,"(37.535437893837, -120.69666333529)"
De Boer Dairy,14976 Avenue 168 Tulare 93274,Bakke Ag Services,Po Box 7208 Visalia 93290,Merrit Farms,300-15010; 300-15019,,,,2021.63,,,The,Written Agreement,2024AR_4 Corners Dairy_14976 Ave 168_Tulare,1,"(36.095113026023, -119.237022706884)","(None, None)"
De Boer Dairy,14976 Avenue 168 Tulare 93274,Aves Ag Service Inc.,2407 Avenue 199 Tulare Ca 93274,Tony Simoes 14469 Ave 180 Tulare Ca 93274,Fields 1 2 3 4,,,,7700.0,,,The,Written Agreement,2024AR_4 Corners Dairy_14976 Ave 168_Tulare,2,"(36.095113026023, -119.237022706884)","(33.70298466352, -117.765293865355)"
Aj Slenders Dai,,Medeiros Farms,,Medeiros Farms,Caruthers 93609,Farmer,10/02/2024,,2100.0,,,Weighted Average,,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,1,,"(36.5400296, -119.8336176)"
Alta Daury,,,10071 6Th Ave 93230,Ave Zip Code 93230 Phone Number,,,- 2024,,3140.0,,,The,Written Agreement,2024AR_Alta Sierra Dairy_7901 Ave 368_Tulare,1,,
Antonio Garcia Dairy,,B. Mello Ag Services,,C&R Dairy,15336 10Th Ave Hanford 93230,Farmer,02/16/2024,,300.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Antonio Garcia Dairy_6571 Fargo Ave_Kings,1,,"(36.248924008687, -119.637324968184)"
Antonio Garcia Dairy,,B. Mello Ag Services,,C&R Dairy,15336 10Th Ave Hanford 93230,Farmer,04/08/2024,,200.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Antonio Garcia Dairy_6571 Fargo Ave_Kings,2,,"(36.248924008687, -119.637324968184)"
Aukeman Farms,,Gutierrez Spreading Llc,,Elk Creek Dairy,18017 Road 93 Tulare 93270,Farmer,05/16/2024,,2284.09,,,Number Of Loads Multiplied By Load Weight,,2024AR_Aukeman Farms Dairy_17297 Road 96_W Tulare,1,,"(35.9568773, -119.0312377)"
Aukeman Farms,,Gutierrez Spreading Llc,,Bebereia Farms,5162 Avenue 252 Tulare 93274,Farmer,09/13/2024,,9000.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Aukeman Farms Dairy_17297 Road 96_W Tulare,2,,"(36.247692204196, -119.457653090105)"
Aukeman Farms,,Triple M Custom Chopping And Manure Spreading Inc,,Clarklind Farms,7370 Avenue 228 Tulare 93274,Farmer,05/07/2024,,7800.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Aukeman Farms Dairy_17297 Road 96_W Tulare,3,,"(36.203462200051, -119.407661636086)"
Aukeman Farms,,Triple M Custom Chopping And Manure Spreading Inc,,Clarklind Farms,7370 Avenue 228 Tulare 93274,Farmer,10/19/2024,,7100.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Aukeman Farms Dairy_17297 Road 96_W Tulare,4,,"(36.203462200051, -119.407661636086)"
Back Road # 2,,Gutierrez Spreading Llc,3612 Ave 236 Tulare Ca. 93274,7715 Ave 296 Visalia Ca. 93291 625-9426,West Coast And Gravet,Composting Facility,10-4-24/10-5-24/11-28-24,,1280.0,,,On Scale,Written Agreement,2024AR_Backroad Ranch #2_4119 Houston Ave_Kings,1,,"(None, None)"
Banos Dairy,,J & F Fertilizer,,J & F Fertilizer,1275 North Avenue Gustine 95322,Broker,10/01/2024,,1800.0,,,An Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Exported,,2024AR_Banos Dairy_4667 Ave 23.5_Madera,1,,"(37.260716449125, -121.007144535429)"
Banos Dairy,,J & F Fertilizer,,J & F Fertilizer,1275 North Avenue Gustine 95322,Broker,06/10/2024,,2100.0,,,An Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Exported,,2024AR_Banos Dairy_4667 Ave 23.5_Madera,2,,"(37.260716449125, -121.007144535429)"
Big De Dairy Lp,,Larry Burrows Spreading,,Larry Burrow Spreading,Fresno 93706,Broker,01/25/2024,,2500.0,,,An Average Of Scale Weighed Oads Multiplied By The Total Number Of Loads Exported,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,1,,"(36.708778, -119.813423)"
Big De Dairy Lp,,Larry Burrows Spreading,,Larry Burrow Spreading,Fresno 93706,Broker,01/26/2024,,2875.0,,,An Average Of Scale Weighed Oads Multiplied By The Total Number Of Loads Exported,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,2,,"(36.708778, -119.813423)"
Big De Dairy Lp,,Larry Burrows Spreading,,Larry Burrow Spreading,Fresno 93706,Broker,04/27/2024,,2000.0,,,An Average Of Scale Weighed Oads Multiplied By The Total Number Of Loads Exported,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,3,,"(36.708778, -119.813423)"
Big De Dairy Lp,,Larry Burrows Spreading,,Larry Burrow Spreading,Fresno 93706,Broker,05/25/2024,,2000.0,,,An Average Of Scale Weighed Oads Multiplied By The Total Number Of Loads Exported,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,4,,"(36.708778, -119.813423)"
,4595 Houston Ave. Hanford 93230,Gutierrez Spreading,3612 Ave. 236 Tulare 93274,West Coast & Gravel 7715 Ave. 296 Visalia 93291,,,6/1 - 7/1/24,,3000.0,,,The Amount.,Written Agreement,2024AR_Bill Idsinga Dairy_4595 Houston Ave_Kings,1,"(36.298475263779, -119.540688833008)",
Black Diamond Dai,,Thomas Bros Spreading,,Mike Smith,Riverdale 93656,Farmer,10/10/2024,,3580.0,,,Weighted Average,,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,3,,"(36.435758, -119.8682437)"
Borba & Sons,13511 Road 120 Tipton 93272,,,Melvin & Leonard Cardoza 13511 Rd 120 Tipton 93272,Road 120 Tipton 93272 300-020-030,,6/1 - 7/1/24,,2700.0,,,The Amount.,Written Agreement,2024AR_Borba & Sons_13511 Rd 120_Tulare,1,"(36.034724514948, -119.30397986402)","(36.041315675924, -119.303796889394)"
,10Th Ave. Hanford 93230,,;,Larry Soares 5835 13Th Ave Hanford 93230,,,Entive Year,,4900.0,,,The Amount.,Written Agreement,2024AR_C&R Dairy_15336 10th Ave_Kings,1,"(36.247730550672, -119.636888606212)",
Cedar Avenue Feedlot,,Thomas Bros Spreading,,Thomas Bros Hauling,19721 Exceslsior Riverdale 93656,Broker,09/10/2024,,1920.0,,,Weighted Average,,2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,1,,"(36.40155859124, -119.810950979502)"
Cedar Avenue Feedlot,,Thomas Bros Spreading,,Thomas Bros Hauling,Riverdale 93656,Broker,07/05/2024,,600.0,,,Weighted Average,,2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,2,,"(36.435758, -119.8682437)"
Jongsma Dairy,15759 Avenue 128 Tipton Ca 93272,E.W. Merritt Farms,11188 Road 192 Porterville Ca 93257,Merritt Yard 11188 Road 192 Porterville Ca 93257,,Farmer,,,1700.0,,,The,Written Agreement,2024AR_Chris & John Jongsma Dairy_15759 Ave 128_Tulare,1,"(36.021449172879, -119.218401135513)",
Contente And Company,,B Mello Ag Services,5771 7Th Ave Hanford 93230,Nick Faria 353717Thhance Leena06Pe 9393345 559-904-8600,13Th Ave & Grangeville Blvd Hanford 93230,,9-28-24,,1000.0,,,The,Written Agreement,2024AR_Contente & Co Dairy_7900 15th Ave_Kings,1,,"(36.342616419467, -119.691050369149)"
Contente And Company,,B Mello Ag Services,5771 7Th Ave Hanford 93230,Don & Steve Bettencourt Farms 6095 14Th Ave Hanford 93230 559-362-2146,14Th Ave & Flint Ave Hanford 93230,,9-26-24,,1200.0,,,The,Written Agreement,2024AR_Contente & Co Dairy_7900 15th Ave_Kings,2,,"(36.371713693427, -119.708953779055)"
Costa View Dairy North,,Kenneth R Stone Spreading Services,,Green Valley Soils,24341 Avenue 14 Madera 93637,Farmer,08/05/2024,,3885.3,,,Number Of Loads Multiplied By Load Weight.,,2024AR_Costa View Dairy North_9499 Ave 20_Madera,1,,"(36.953930997734, -120.105229038794)"
Costa View Farms,,Kenneth R Stone Spreading Services,,Costa View Farms Almond Ranch,16800 Road 15 Madera 93637,Farmer,12/24/2024,,8028.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Costa View Farms Dairy #2_16800 Road 15_Madera,1,,"(36.984453195233, -120.274236621463)"
D & V Dairy,15625 Avenue 144 Tipton Ca 93272,Merritt Farms,11188 Road 192 Porterville Ca 93257,Merritt Yard,,,,,2060.0,,,The,Written Agreement,2024AR_D & V Dairy_15625 Ave 144_Tulare,1,"(36.047046918444, -119.228306030495)",
D & V Dairy,15625 Avenue 144 Tipton Ca 93272,Turning Leaf Organics,14982 Road 152 Tipton Ca 93272,Turning Leaf Organics Compost Yard 14982 Road 152 Tipton Ca 93272,,,,,18423.0,,,The,Written Agreement,2024AR_D & V Dairy_15625 Ave 144_Tulare,2,"(36.047046918444, -119.228306030495)",
,,,,,,,,,2502.0,,,,,2024AR_D & V Dairy_15625 Ave 144_Tulare,3,,
,,,,,,,,,9328.0,,,,,2024AR_D & V Dairy_15625 Ave 144_Tulare,4,,
,4390 Ave. 352 Kingsburg 93631,,,Cottonwood Farms 13076 Ave 368 Visalia 93292,,,Entire Year,,7700.0,,,The Amount.,Written Agreement,2024AR_DJ Dairy_4390 Avenue 352_W Tulare,1,"(36.419004013957, -119.479260965939)",
David Vander Schaaf Dairy,7525 S. Fairfax Rd Bak Ca 93307,Cabrera Bros. Trucking,10909 Glen Coe Pl. Lamont Ca 93241,Jose Cabrera 601-379-9502,Fairfax And Panama Lane,,,6.0,1800.0,,,The,Written Agreement,2024AR_David Vander Schaaf_7524 South Fairfax Rd_Kern,1,"(35.286715519088, -118.931944300472)","(35.295954004534, -118.931988989437)"
David Vander Schaaf Dairy,7524 S. Fairfax Road Bakersfield Ca 93307,Curtis Vanden Berge,,Curtis Vanden Berge,4101 Kimber Ave Bakersfied Ca 93307,,,,300.0,,,The,Written Agreement,2024AR_David Vander Schaaf_7524 South Fairfax Rd_Kern,2,"(35.285185019153, -118.9377679764)","(35.349248240399, -118.957748924828)"
Decade Dairy,3313 Avenue 256 Tulare Ca 93274,Decade Dairy,3313 Avenue 256 Tulare Ca 93274,Tri Palm Dairy 2429 Idaho Avenude Hanford Ca 93230,,Farmer,,7168656.0,264.0,,,The,Written Agreement,2024AR_Decade Dairy_3313 Avenue 256_W Tulare,1,"(36.255277433231, -119.529051797762)",
Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Avenue 328 Visalia Ca 93291,048-010-006 048-130-002 045-070-010,,,,2015.0,,,The,Written Agreement,2024AR_Double J Dairy_6656 Ave 328_Tulare,1,"(36.389174287389, -119.425782998756)","(36.374105693, -119.27023)"
Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Avenue 328 Visalia Ca 93291,Road 80 And Avenue 336,,,,2600.0,,,The,Written Agreement,2024AR_Double J Dairy_6656 Ave 328_Tulare,2,"(36.389174287389, -119.425782998756)","(36.399764780141, -119.394745733307)"
Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Avenue 328 Visalia Ca 93291,048-140-007 048-140-008 048-140-008,,,,2700.0,,,The,Written Agreement,2024AR_Double J Dairy_6656 Ave 328_Tulare,3,"(36.389174287389, -119.425782998756)","(37.2598183282, -120.996091822626)"
Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Avenue 328 Visalia Ca 93291,Road 68 And Avenue 320,,,,3000.0,,,The,Written Agreement,2024AR_Double J Dairy_6656 Ave 328_Tulare,4,"(36.389174287389, -119.425782998756)","(36.370749984109, -119.421317036926)"
Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Avenue 328 Visalia Ca 93291,072-030-013 072-030-013 072-030-007 072-030-009,,,,4100.0,,,The,Written Agreement,2024AR_Double J Dairy_6656 Ave 328_Tulare,5,"(36.389174287389, -119.425782998756)","(36.374105693, -119.27023)"
Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Avenue 328 Visalia Ca 93291,7Th Avenue And Dover Ave,,,,3400.0,,,The,Written Agreement,2024AR_Double J Dairy_6656 Ave 328_Tulare,6,"(36.389174287389, -119.425782998756)","(36.415878988996, -119.582849973618)"
E. Mendes Dai,,Thomas Bros Spreading,,Thomas Bros Hauling,Riverdale 93656,Broker,06/22/2024,,2800.0,,,Weighted Average,,2024AR_E Mendes Dairy_23568 Fargo Ave_Kings,1,,"(36.435758, -119.8682437)"
East Ridge Dairy,14153 Rd 168 Porterville Ca 93257,Turning Leaf Organics,14982 Road 152 Tipton Ca 93272,Can Rey Farms,,,,,1122.0,,,The,Written Agreement,2024AR_East Ridge Farms_14153 Rd 168_Tulare,1,"(36.04741601555, -119.197193411736)",
,,,,,,,,,3330.0,,,,,2024AR_East Ridge Farms_14153 Rd 168_Tulare,2,,
Elbow Creek Dairy,,Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford Ca 93230,Elbow Creek Dair',Ave 384 & Rd 88,Farmer,1/17-1/19/24,,1620.0,,,The Amount.,Written Agreement,2024AR_Elbow Creek Dairy_34537 Rd 124_Tulare,1,,"(36.487667014118, -119.376669991471)"
Elbow Creek Dairy,,Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford Ca 93230,Bb&B Farms 34098 Rd. 140 Visalia 93292,34098 Rd. 140 Visalia 93292,Farmer,11/1 & 11/2/24,,320.0,,,The Amount.,Written Agreement,2024AR_Elbow Creek Dairy_34537 Rd 124_Tulare,2,,"(36.408296677474, -119.258355153379)"
Elbow Creek Dairy,,Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford Ca 93230,Bb&B Farms 34098 Rd. 140 Visalia 93292,34098 Rd. 140 Visalia 93292,Farmer,11/2 & 11/4/24,,400.0,,,The Amount.,Written Agreement,2024AR_Elbow Creek Dairy_34537 Rd 124_Tulare,3,,"(36.408296677474, -119.258355153379)"
Elbow Creek Dairy,,Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford Ca 93230,Bb&B Farms 34098 Rd. 140 Visalia 93292,34098 Rd. 140 Visaia 93292,Farmer,11/4-11/6/24,,2360.0,,,The Amount.,Written Agreement,2024AR_Elbow Creek Dairy_34537 Rd 124_Tulare,4,,"(36.408296677474, -119.258355153379)"
,34537 Road 124 Visalia Ca Tulare,Cain Twicking Inc.,23004 Road 140 Tulare 93274,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,,5/8-13/2024,,5835.5,,,The Amount.,Written Agreement,2024AR_Elbow Creek Dairy_34537 Rd 124_Tulare,5,"(36.41788180285, -119.29766820711)","(36.065202036903, -119.402698566859)"
,10400 Ave 368 Visalia 93292,,,Cottonwood Farms 13076 Ave 368 Visalia 93292,,,Entire Year,,7500.0,,,The Amount.,Written Agreement,2024AR_Elkhorn Dairy_10400 Ave 368_Tulare,1,"(36.458046159725, -119.314731441617)",
Fel Barcellos # 2,7585 Ave. 152 Tipton 93272,,,Fel Barcellos # 1 14581 Rd. 80 Tipton 93272,,Dairy,611 -7/1/24,,2100.0,,,The Amount.,Written Agreement,2024AR_F & L Barcellos #2_7585 Avenue 152_W Tulare,1,"(36.065476134272, -119.402984496663)",
,17001 Ave. 160 Porterville 93257,,,Des Porterville 559-308-1409,300-310-012 € 300-310-013,Dairy,6/1 - 7/1/24,,5800.0,,,The Amount.,Written Agreement,2024AR_Fern Oak Farms Dairy_17001 Ave 160_Tulare,1,"(36.076680550387, -119.192139207941)","(36.374105693, -119.27023)"
,14552 Ave. 152 Tipton 93272,,,Faria Farms 13927 Rd. 136 Tipton 93272,300-040-018,Dairy,611-711/24,,5000.0,,,The Amount.,Written Agreement,2024AR_Five Star Dairy_14552 Ave 152_Tulare,1,"(36.066299353757, -119.246332319102)","(None, None)"
Flatland Farms Llc,,Mello Trucking,9900 15Th Ave Hanford 93230,Daniel Soares 5835 Ave Hanford 93230 559-469-2728,5835 13™ Ave Hanford 93230,,1-1-24 - 12-31-24,,4700.0,,,The,Written Agreement,2024AR_Flatland Farms LLC_8483 15th Ave_Kings,1,,"(36.332851, -119.647705)"
Flint Dairy,,B. Mello Ag Services,,Family Orchards Inc,13085 S Zediker Ave Kingsburg 93631,Farmer,01/01/2024,,350.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,1,,"(36.545922456563, -119.522070865856)"
Flint Dairy,,B. Mello Ag Services,,Salazar Farms,92 Po Box Kingsburg 93631,Farmer,01/09/2024,,450.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,2,,"(36.5130397, -119.5499447)"
Flint Dairy,,B. Mello Ag Services,,M D B Farms,5520 Flint Ave Hanford 93230,Farmer,01/13/2024,,500.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,3,,"(36.372092722142, -119.556338563439)"
Flint Dairy,,B. Mello Ag Services,,Todd Steele,363 N 5Th Ave Kingsburg 93631,Farmer,02/02/2024,,570.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,4,,"(36.481844441258, -119.544413918417)"
Flint Dairy,,B. Mello Ag Services,,Esajian Family Farms Inc,10741 Flint Ave Hanford 93230,Farmer,03/14/2024,,50.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,5,,"(36.371829772885, -119.651068735209)"
Flint Dairy,,B. Mello Ag Services,,Alvaro Machado Dairy,5230 9Th Ave Hanford 93230,Farmer,04/11/2024,,400.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,6,,"(36.397910158335, -119.619420133354)"
Flint Dairy,,B. Mello Ag Services,,Superior Soil Supplements Lcc,10367 Houston Ave Lemoore 93245,Farmer,05/13/2024,,2300.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,7,,"(36.298510285772, -119.64364297696)"
Flint Dairy,,B. Mello Ag Services,,Alvaro Machado Dairy,5230 9Th Ave Hanford 93230,Farmer,05/13/2024,,2000.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,8,,"(36.397910158335, -119.619420133354)"
Flint Dairy,,B. Mello Ag Services,,Zak Farms Llc,5415 Boston Ave Kingsburg 93631,Farmer,08/29/2024,,800.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,9,,"(36.485672204981, -119.553887564481)"
Flint Dairy,,B. Mello Ag Services,,Brown'S Dairy,14803 Grangeville Blvd Hanford 93230,Farmer,09/18/2024,,1400.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,10,,"(36.340715278099, -119.723741551733)"
Flint Dairy,,B. Mello Ag Services,,Brown'S Dairy,14803 Grangeville Blvd Hanford 93230,Farmer,10/10/2024,,800.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,11,,"(36.340715278099, -119.723741551733)"
Flint Dairy,,B. Mello Ag Services,,Family Orchards Inc,13085 S Zediker Ave Kingsburg 93631,Farmer,12/23/2024,,400.0,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,12,,"(36.545922456563, -119.522070865856)"
Flint Dairy,,Duran Trucking Inc,,Merced Ranch,7745 E Sandymush Merced 95341,Farmer,12/24/2024,,3970.8,,,Number Of Loads Multiplied By Load Weight,,2024AR_Flint Dairy_6511 Flint Ave_Kings,17,,"(37.183162512809, -120.355104804204)"
Frank S. Brown,,Thomas Bros Spreading,5810 23Rd Ave Riverdale 93656,Thomas Bros 5810 23Rd Lave Riverdale 93656 906-1404,,,1/2/24,,480.0,,,The,Written Agreement,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,1,,
Frank S. Brown Co.,,Thomas Bros Spreading,5810 23Rd Ava Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,1/11/24,,530.0,,,The,Written Agreement,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,2,,
Frank S. Brown Co.,,Thomas Bros Spreading,5810 23Rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,1/29/24,,420.0,,,The,Written Agreement,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,3,,
Frank S. Brown Co.,,Thomas Bros Spreading,5810 23Rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,2/15/24,,620.0,,,The,Written Agreement,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,4,,
