Source PDF,Street no,Rest of PDF,County,Manifest Number,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,First Haul Date,Last Haul Date,Manure Number of Hauls,Manure Mass per Haul (tons),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,3,32,33,wastewater,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Machado Pipeline,,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,,,024-045-026,Farmer,585000,,,,, Pump Gpm Run Time,,4/24/24,,,,,,,TRUE,
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,4,34,35,wastewater,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Machado Pipeline,,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,,,024-009-033,Farmer,520000,,,,, Pump Gpm Run Time,,4/25/24,,,,,,,TRUE,
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,5,36,37,wastewater,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Machado Pipeline,,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,,,024-045-027,Farmer,690000,,,,, Pump Gpm Run Time,,7/25/24,,,,,,,TRUE,
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,6,38,39,wastewater,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Machado Pipeline,,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,,,024-045-027,Farmer,575000,,,,, Pump Gpm Run Time,,8/20/24,,,,,,,TRUE,
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,7,40,41,wastewater,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Machado Pipeline,,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,,,024-045-026,Farmer,330550,,,,, Pump Gpm Run Time,,10/9/24,,,,,,,TRUE,
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,8,42,43,wastewater,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Machado Pipeline,,Silva Bros 224 S. Roselawn Ro. Turlock 95380 209-667-1133,Silva Bros 224 S. Roselawn Ro. Turlock 95380 209-667-1133,,,024-009-033,Farmer,300000,,,,, Pump Gpm Run Time,,10/10/24,,,,,,,TRUE,
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,9,44,45,wastewater,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Machado Pipeline,,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,Silva Bros 224 S. Roselawn Rd. Turlock 95380 209-667-1133,,,024-045-027,Farmer,860000,,,,, Pump Gpm X Run Time,,10/27/24,,,,,,,TRUE,
"501 S Story Rd, Turlock 2024 Dairy AR",501," S Story Rd, Turlock 2024 Dairy AR",rancho_cordova,10,46,47,manure,x,MHF Dairy,501 S. Story Rd. Turlock 95380,Alp Custom Spreading,2324 Villa Manucha Newman 95360,Jeff Lima 2324 Villa Manucha Newman 95360 209-862-3393,Jeff Lima 2324 Villa Manucha Newman 95360 209-862-3393,2324 Villa Manucha Newman 95360,,,Broker,,2040,,12,204 Loads @ 10 tons Per Load,,,12/2/24,204,10,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,1,377,378,manure,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Chamberlain Ranch,505 E Washington Rd El Nido CA 95317,505 E Washington Rd El Nido 95317,Merced,X074-X006-X028-Xxxx,Farmer,,1638,0.835,,Number Of Loads Multiplied By Load Weight.,,,9/25/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,2,379,380,manure,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Chamberlain Ranch,505 E Washington Rd El Nido CA 95317,505 E Washington Rd El Nido 95317,Merced,X074-X013-X029-Xxxx,Farmer,,492,0.835,,Number Of Loads Multiplied By Load Weight.,,,9/26/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,3,381,382,manure,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Chamberlain Ranch,505 E Washington Rd El Nido CA 95317,505 E Washington Rd El Nido 95317,Merced,X074-X007-X012-Xxxx,Farmer,,1758,0.835,,Number Of Loads Multiplied By Load Weight.,,,10/13/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,4,383,384,manure,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Dos Palos Ranch ,505 E Washington Rd El Nido CA 95317,505 E Washington Rd El Nido 95317,Merced,X085-X005-X003-Xxxx,Farmer,,1554,0.835,,Number Of Loads Multiplied By Load Weight.,,,10/1/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,5,385,386,manure,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Dos Palos Ranch ,505 E Washington Rd El Nido CA 95317,505 E Washington Rd El Nido 95317,Merced,X085-X038-X028-Xxxx,Farmer,,864,0.835,,Number Of Loads Multiplied By Load Weight.,,,10/7/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,6,387,388,wastewater,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Nyman Ei Nido Ranch (209) 656-8434,2025 Washington Rd El Nido CA 95317,2025 Washington Rd El Nido 95317,Merced,,Farmer,10000000,,,,,Water volume calculated using flowmeter,,8/20/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,7,389,390,wastewater,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Nyman Ei Nido Ranch (209) 656-8434,2025 Washington Rd El Nido CA 95317,2025 Washington Rd El Nido 95317,Merced,,Farmer,10000000,,,,,Water volume calculated using flowmeter,,8/20/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,8,391,392,wastewater,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Nyman Ei Nido Ranch (209) 656-8434,2025 Washington Rd El Nido CA 95317,2025 Washington Rd El Nido 95317,Merced,,Farmer,10000000,,,,,Water volume calculated using flowmeter,,8/20/24,,,,,,,FALSE,
505 E Washington Rd El Nido 2024 Dairy AR,505, E Washington Rd El Nido 2024 Dairy AR,rancho_cordova,9,393,394,wastewater,x,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,Double Diamond Dairy,505 E Washington Rd El Nido Ca 95317,Nyman Ei Nido Ranch (209) 656-8434,2025 Washington Rd El Nido CA 95317,2025 Washington Rd El Nido 95317,Merced,,Farmer,5881590,,,,,Water volume calculated using flowmeter,,8/20/24,,,,,,,FALSE,
508 W Roosevelt Rd El Nido 2024 Dairy AR,508, W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,1,117,118,manure,x,Hath Dairy,508 W Roosevelt Rd El Nido Merced 95317,Stone Family Spreading,5175 Shaw Ave Winton Ca 95388,Lewis Farms (209) 769-5221,P.O. Box 4 El Nido CA 95317,,,X074-X110-X007-Xxxx Merced,Farmer,,600,0.941,,Number Of Loads Multiplied By Load Weight,,,8/30/24,,,,,,,FALSE,
508 W Roosevelt Rd El Nido 2024 Dairy AR,508, W Roosevelt Rd El Nido 2024 Dairy AR,rancho_cordova,2,119,120,manure,x,Hath Dairy,508 W Roosevelt Rd El Nido Merced 95317,Silva And Sons Custom Spreading,P.O. Box 1261 Hilmar Ca 95324,Fagundes Feed & Cattle (209) 756-5080,1021 W El Nido Rd El Nido CA 95317,1021 W El Nido Rd El Nido 95317,Merced,,Farmer,,1520,0.97,,Number Of Loads Multiplied By Load Weight,,,11/11/24,,,,,,,FALSE,
519 E Stuhr Rd Newman 2024 Dairy AR,519, E Stuhr Rd Newman 2024 Dairy AR,rancho_cordova,1,36,37,manure,x,Antone L. Gomes & Sons,515 E. Stuhr Road Newman Ca 95360,ALP Custom Spreading Inc,P O Box 218 Newman Ca 95360,John Azevedo 1337 Magnolia Ave Patterson Ca 95363,John Azevedo 1337 Magnolia Ave Patterson CA 95363,Stuhr Road Newman Ca 85340 Assessor'S Parcel,,,,,504,Solid,,,,,6/3/24,,,,,,,FALSE,
519 E Stuhr Rd Newman 2024 Dairy AR,519, E Stuhr Rd Newman 2024 Dairy AR,rancho_cordova,2,38,39,manure,x,Antone Leonard Gomes And Sons,515 E Stuhr Road Newman Ca 95360,Al P Custom Spreading Inc,P O Box 218 Newman Ca 95360,Alp Custom Spreading Inc. 2324 Villa Manucha Road Newman Ca 95360,Alp Custom Spreading INC. 2324 Villa Manucha Road Newman CA 95360,2324 Villa Manucha Road Newman Ca 95360,,,Farmer,,1560,Solid,,130 Loads 12 Tons Each 1560 Total,,,11/18/24,130,12,,,,,FALSE,
"619 S Vincent Rd, Turlock 2024 Dairy AR",619," S Vincent Rd, Turlock 2024 Dairy AR",rancho_cordova,1,34,35,manure,x,Lorinda/Machado/Azevedo Farms,619 S. Vincent Road Turlock Stanislaus 95380,Ndj Farming,7306 East Avenue Turlock Ca 95380,Ndj Farming (209) 918-5622,7306 East Avenue Turlock CA 95380,Turlock 95380,East Avenue & Verduga Avenue Stanislaus,,Farmer,,1339,0.745,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled,,,5/1/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,1,47,48,manure,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,Dorps Ag Services,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-022-022,,,812,74.1,,@12 Tons Per Load,,,9/3/24,,12,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,2,49,50,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,900000,,,,,PO,1/2/24,1/19/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,3,51,52,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,480000,,,,,PO,2/2/24,2/9/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,4,53,54,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,660000,,,,,PO,4/12/24,4/15/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,5,55,56,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,5/7/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,6,57,58,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,6/13/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,7,59,60,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,6/27/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,8,61,62,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,7/10/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,9,63,64,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,7/24/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,10,65,66,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,8/1/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,11,67,68,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,8/14/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,12,69,70,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,120000,,,,,PO,,8/22/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,13,71,72,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,300000,,,,,PO,,10/12/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,14,73,74,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Brouhard Farms 624 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Brouhard Farms 624 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-016,,240000,,,,,PO,,12/5/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,15,75,76,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,240000,,,,,PO,,2/9/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,16,77,78,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,780000,,,,,PO,4/18/26,4/19/26,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,17,79,80,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,360000,,,,,PO,5/3/24,5/6/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,18,81,82,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,240000,,,,,PO,,6/13/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,19,83,84,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,240000,,,,,PO,,6/27/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,20,85,86,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,240000,,,,,PO,,7/9/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,21,87,88,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,180000,,,,,PO,,7/23/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,22,89,90,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,240000,,,,,PO,,8/1/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,23,91,92,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,180000,,,,,PO,,8/13/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,24,93,94,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,120000,,,,,PO,,8/22/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,25,95,96,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,400000,,,,,PO,,10/11/24,,,,,,,FALSE,
724 Ruble Rd Crows Landing 2024 Dairy AR,724, Ruble Rd Crows Landing 2024 Dairy AR,rancho_cordova,26,97,98,wastewater,x,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,,,Joe Mendes 300 Ruble Rd. Crowslanding Ca 95313 (209) 678-2207,Joe Mendes 300 Ruble Rd. Crowslanding CA 95313 (209) 678-2207,,,058-005-006,,840000,,,,,PO,12/10/24,12/18/24,,,,,,,FALSE,
730 Bystrum Rd Turlock 2024 Dairy AR,730, Bystrum Rd Turlock 2024 Dairy AR,rancho_cordova,1,76,77,wastewater,x,Live Oak Dairy G,730 Bystrum Rd Turlock Stanislaus 95380,Pipeline,730 Bystrum Rd Turlock Ca 95380,Gary Brown (209) 495-8821,1751 Chandler Dr Turlock CA 95382,,,0022-0380-0100-0000,Farmer,1560000,,,,,Pump Gpm X Run Time,,6/13/24,,,,,,,TRUE,
921 W Sandy Mush Rd Merced 2024 Dairy AR,921, W Sandy Mush Rd Merced 2024 Dairy AR,rancho_cordova,1,27,28,manure,x,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,Kenneth Stone & Family Spreading,5175 Shaw Winton Ca 95388,Kenneth Stone & Family Spreading (209) 358-6201,5175 Shaw Ave Winton CA 95388,1510 Washington Rd El Nido 94317,Merced,,Composting Facility,,1232,0.276,,Truck Loads Multiplied By Average Scale Weight.,,,1/17/24,,,,,,,FALSE,
921 W Sandy Mush Rd Merced 2024 Dairy AR,921, W Sandy Mush Rd Merced 2024 Dairy AR,rancho_cordova,2,29,30,manure,x,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,Kenneth Stone & Family Spreading,5175 Shaw Winton Ca 95388,Kenneth Stone & Family Spreading (209) 358-6201,5175 Shaw Ave Winton CA 95388,1510 Washington El Nido 94317,Merced,,Composting Facility,,176,0.276,,Truck Loads Multiplied By Average Scale Weights.,,,1/17/24,,,,,,,FALSE,
921 W Sandy Mush Rd Merced 2024 Dairy AR,921, W Sandy Mush Rd Merced 2024 Dairy AR,rancho_cordova,3,31,32,manure,x,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,Kenneth Stone & Family Spreading,5175 Shaw Winton Ca 95388,Kenneth Stone & Family Spreading (209) 358-6201,5175 Shaw Ave Winton CA 95388,1510 Washington El Nido 94317,Merced,,Composting Facility,,396,0.276,,Truck Loads Multiplied By Average Scale Weights.,,,4/18/24,,,,,,,FALSE,
921 W Sandy Mush Rd Merced 2024 Dairy AR,921, W Sandy Mush Rd Merced 2024 Dairy AR,rancho_cordova,4,33,34,manure,x,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,Kenneth Stone & Family Spreading,5175 Shaw Winton Ca 95388,Kenneth Stone & Family Spreading (209) 358-6201,5175 Shaw Ave Winton CA 95388,1510 Washington El Nido 94317,Merced,,Composting Facility,,440,0.276,,Truck Loads Multiplied By Average Scale Weights.,,,5/17/24,,,,,,,FALSE,
921 W Sandy Mush Rd Merced 2024 Dairy AR,921, W Sandy Mush Rd Merced 2024 Dairy AR,rancho_cordova,5,35,36,manure,x,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,Kenneth Stone & Family Spreading,5175 Shaw Winton Ca 95388,Kenneth Stone & Family Spreading (209) 358-6201,5175 Shaw Ave Winton CA 95388,1510 Washington El Nido 94317,Merced,,Composting Facility,,229,0.276,,Truck Loads Multiplied By Average Scale Weights.,,,6/28/24,,,,,,,FALSE,
921 W Sandy Mush Rd Merced 2024 Dairy AR,921, W Sandy Mush Rd Merced 2024 Dairy AR,rancho_cordova,6,37,38,manure,x,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,Kenneth Stone & Family Spreading,5175 Shaw Winton Ca 95388,Kenneth Stone & Family Spreading (209) 358-6201,5175 Shaw Ave Winton CA 95388,5175 Shaw Winton 95355,Merced,,Composting Facility,,163,0.276,,Truck Loads Multiplied By Average Scale Weights.,,,8/1/24,,,,,,,FALSE,
921 W Sandy Mush Rd Merced 2024 Dairy AR,921, W Sandy Mush Rd Merced 2024 Dairy AR,rancho_cordova,7,39,40,manure,x,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,Kenneth Stone & Family Spreading,5175 Shaw Winton Ca 95388,Kenneth Stone & Family Spreading (209) 358-6201,5175 Shaw Ave Winton CA 95388,1510 Washington El Nido 94317,Merced,,Composting Facility,,462,0.235,,Truck Loads Multiplied By Average Scale Weights.,,,12/3/24,,,,,,,FALSE,
931 S Blaker Rd Turlock 2024 Dairy AR,931, S Blaker Rd Turlock 2024 Dairy AR,rancho_cordova,1,34,35,manure,x,Dematos Dairy,931 S Blaker Rd Turlock Stanislaus 95380,Faria And Son Backhoe Service,20399 Williams Ave Hilmar Ca 95324,Faria And Son Backhoe (209) 632-0313,20399 Williams Ave Hilmar CA 95324,Hilmar 95324,Williams Ave Stanislaus,,Broker,,560,0.41,,Tons Per Load,,,11/12/24,,,,,,,FALSE,
