Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Type,Destination Name,Destination Address,Haul Date,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Parameter Template,Destination Assessor Parcel Number,Origin Dairy Address (Geocoded),Destination Address (Geocoded),First Haul Date,Last Haul Date,Manure Mass per Haul (tons),Is Pipeline,Source PDF,County,Consultant,Manifest Number,Start Page,End Page,Manure Number of Hauls,Manure Density,Wastewater Volume per Haul (Gallons),Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Wastewater Number of Hauls,Destination Nearest Cross Street,Destination Type (Standardized),Manure Moisture (%),Manifest Type
Hillcrest Dairy Llc,1901 N Hayden Rd Le Grand Merced 95333,Silva & Sons Custom Spreading,P.O. Box 1261 Hilmar Ca 95324,Farmer,Press Ranch (209) 535-8591,,08/15/2024,,480.0,88.6,Hauler'S Calculations,,R5-2007-0035_software,0053-0080-0012-0000 Merced,"(37.314362641105, -120.308854049215)",,,8/15/2024,,False,1901 N Hayden Rd Le Grand 2024 Dairy AR,rancho_cordova,generic_r5,4,131,132,,,,,,,,Farmer,,manure
Hillcrest Dairy Llc,1901 N Hayden Rd Le Grand Merced 95333,Silva & Sons Custom Spreading,P.O. Box 1261 Hilmar Ca 95324,Farmer,Frank Silva (209) 632-8202,19615 Geer Ave Hilmar 95324,08/24/2024,,1824.0,88.6,Hauler'S Calculations,,R5-2007-0035_software,,"(37.314362641105, -120.308854049215)","(37.396577292772, -120.843239268681)",,8/24/2024,,False,1901 N Hayden Rd Le Grand 2024 Dairy AR,rancho_cordova,generic_r5,5,133,134,,,,,,,Merced,Farmer,,manure
Hillcrest Dairy Llc,1901 N Hayden Rd Le Grand Merced 95333,Silva & Sons Custom Spreading,P.O. Box 1261 Hilmar Ca 95324,Farmer,Frank Silva (209) 632-8202,19615 Geer Ave Hilmar 95324,08/26/2024,,2232.0,88.6,Hauler'S Calculations,,R5-2007-0035_software,,"(37.314362641105, -120.308854049215)","(37.396577292772, -120.843239268681)",,8/26/2024,,False,1901 N Hayden Rd Le Grand 2024 Dairy AR,rancho_cordova,generic_r5,6,135,136,,,,,,,Merced,Farmer,,manure
Hillcrest Dairy Llc,1901 N Hayden Rd Le Grand Merced 95333,Silva & Sons Custom Spreading,P.O. Box 1261 Hilmar Ca 95324,Farmer,Frank Silva (209) 632-8202,19615 Geer Ave Hilmar 95324,08/27/2024,,1568.0,88.6,Hauler'S Calculations,,R5-2007-0035_software,,"(37.314362641105, -120.308854049215)","(37.396577292772, -120.843239268681)",,8/27/2024,,False,1901 N Hayden Rd Le Grand 2024 Dairy AR,rancho_cordova,generic_r5,7,137,138,,,,,,,Merced,Farmer,,manure
Joe Oliveira Dairy,19104 Crane Avenue Hilmar Ca 95324,Dores Ag Services Inc.,22846 Second Avenue Stevinson Ca 95374,Farmer,Nelson Dairy 19481 Geer Avenue Hilmar 95324 (209) 765-6237,19481 Geer Avenue Hilmar 95324 Merced County,5/11/2024,,1000.0,89.5,Number Of Truckloads X Average Truck Weight,,R5-2007-0035_general_order,,"(37.382652898032, -120.833857320637)","(37.396618741283, -120.840743054096)",,5/11/2024,,False,"19104 Crane Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,1,74,75,,,,,,,,Farmer,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,I Brian Franzia 19950 Zumwalt Road Escalon Ca 95320 209-608-2407,19950 Zumwalt Road Escalon Ca,10/30/24,,192 Gans Or Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,205-100-008,"(37.82637698009, -121.075714873651)","(40.473726, -122.423109)",,10/30/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,1,64,65,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,I Franzia/Alfieri Ranch 20204 Zumwalt Road Escalon Ca 95320 209-000-0000,20204 Zumwalt Road Escalon Ca,10/31/2024,,261 Congdor Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,205-100-14,"(37.82637698009, -121.075714873651)","(37.816162918609, -121.055079466223)",,10/31/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,2,66,67,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,Franzia/Harp Ranch 20100 Zumwalt Road Escalon Ca 95320 209-000-0000,20100 Zumwalt Road Escalon Ca,10/31/2024,,294 Gans Or Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,205-090-52,"(37.82637698009, -121.075714873651)","(37.392754, -122.013435)",,10/31/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,3,68,69,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,H & H Doornenbal Inc. Po Box 235 Escalon Ca 95320 209-838-1122,2/7282 Lone Tree Road Escalon Ca,10/25/24,,1142 Crongbr Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,229-090-02,"(37.82637698009, -121.075714873651)","(37.827720454833, -121.034516626353)",,10/25/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,4,70,71,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,North Star Farms 27515 Lone Tree Road Escalon Ca 95320 209-000-0000,27515 Lone Tree Road Escalon Ca,11/1/2024,,462 Gong Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,207-300-05,"(37.82637698009, -121.075714873651)","(33.151636, -117.315308)",,11/1/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,5,72,73,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,I Rd Cattle Po Box 37 Escalon Ca 95320 209-613-2465,Road Escalon Ca,10/15/24,,293 Gans Or Cubic Yards (Indicate Which Units Used),) 31.5,Hauler Calculations,Of Process Wastewater,R5-2013-0122_general_order,225-040-29,"(37.82637698009, -121.075714873651)",,,10/15/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,6,74,75,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,{ Rdr Ranches Po Box 37 Escalon Ca 95320 209-613-2465,14127 Carrolton Road Escalon Ca,11/2/24,,275 Gans Or Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,205-050-27,"(37.82637698009, -121.075714873651)","(37.836187494842, -121.072610803448)",,11/2/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,7,76,77,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,{ Rdr Ranches Po Box 37 Escalon Ca 95320 209-613-2465,15201 Carrolton Road Escalon Ca,11/2/24,,39 Gans Or Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,205-060-008,"(37.82637698009, -121.075714873651)","(37.754509, -121.854618)",,11/2/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,8,78,79,,(If Amount Reported In Cubic Yards),,,,,,,,manure
R. Doornenbal Dairy #1,19116 Lone Tree Road Escalon Ca 95320,R. Doornenbal Dairy #1,;19116 Lone Tree Road Escalon Ca 95320,,John Veenstra 15861 Sexton Road Escalon Ca 95320 209-838-1835,15861 Sexton Road Escalon Ca,11/3/2024,,203 Gans Or Cubic Yards (Indicate Which Units Used),) 31.5,Hauler'S Calculations,Of Process Wastewater,R5-2013-0122_general_order,205-240-006,"(37.82637698009, -121.075714873651)","(40.467493, -122.434836)",,11/3/2024,,False,19116 Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,9,80,81,,(If Amount Reported In Cubic Yards),,,,,,,,manure
Doornenbal Dairy #3,19325 Lone Tree Road Escalon Ca 95320,Doornenbal Dairy,19116 Lone Tree Road Escalon Ca 95320,,Doornenbal Dairy #1 19116 Lone Tree Road Escalon Ca 95320 209-838-7108,19116 Lone Tree Road Escalon Ca,10/27/2024,,2750.0,) 52.9,275 Loads At 10 Ton Per Load,Of Process Wastewater,R5-2013-0122_general_order,205-060-07,"(37.827766490089, -121.074046623462)","(37.82637698009, -121.075714873651)",,10/27/2024,10.0,False,19325 E Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,1,19,20,275,(If Amount Reported In Cubic Yards),,,,,,,,manure
Doornenbal Dairy #3,19325 Lone Tree Road Escalon Ca 95320,Doornenbal Dairy,19116 Lone Tree Road Escalon Ca 95320,,Doornenbal Dairy #1 19116 Lone Tree Road Escalon Ca 95320 209-838-7108,19116 Lone Tree Road Escalon Ca,4/1/2024,840000.0,,),,Of Process Wastewater 100 Loads With Slurry Tankers-8400 Gallons/Load,R5-2013-0122_general_order,205-060-07,"(37.827766490089, -121.074046623462)","(37.82637698009, -121.075714873651)",,4/1/2024,,False,19325 E Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,2,21,22,,(If Amount Reported In Cubic Yards),,,,,,,,wastewater
Doornenbal Dairy #3,19325 Lone Tree Road Escalon Ca 95320,Doornenbal Dairy,19116 Lone Tree Road Escalon Ca 95320,,Doornenbal Dairy #1 19116 Lone Tree Road Escalon Ca 95320 209-838-7108,19116 Lone Tree Road Escalon Ca,5/18/2024,2100000.0,,),,Of Process Wastewater Slurry Tankers-250 Loads At 8400 Gallons Per Load.,R5-2013-0122_general_order,205-060-07,"(37.827766490089, -121.074046623462)","(37.82637698009, -121.075714873651)",,5/18/2024,,False,19325 E Lone Tree Rd Escalon 2024 Dairy AR,rancho_cordova,generic_r5,3,23,24,,(If Amount Reported In Cubic Yards),8400.0,,,250,,,,wastewater
Dtm Ag,1933 Hall Ro. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,1/3/24,,Solids 1200 Content,,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,1/3/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,1,45,46,,,,,,,,,,manure
Ag,1933 Hall Ro. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,2/16/24,,Solids 1500,,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,2/16/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,2,48,49,,,,,,,,,,manure
Ag,1933 Hall Rd. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Ro. Denair 95316,3/6/24,,Solids 925 Content,,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,3/6/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,3,51,52,,,,,,,,,,manure
Dtm Ag,1933 Hall Rd. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,4/9/24,,Solids 1125 Content,,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,4/9/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,4,54,55,,,,,,,,,,manure
Dtm Ag,1933,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,5/14/24,,1050 Tone Or Cubic Varde (Indicate Which Gnite Good),11.6,Scale Weights,,R5-2007-0035_general_order,,,"(37.535437893837, -120.69666333529)",,5/14/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,5,57,58,,,,,,,,,,manure
Dtm Ag,1933 Hall Rd. Denaiir 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,5/29/24,,975.0,11.69,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,5/29/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,6,60,61,,,,,,,,,,manure
Dtm Ag,1933 Hall Rd. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,7/3/24,,375 Fons Or Cubic Yards (Indicate Which Units Used),76.3,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,7/3/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,7,63,64,,,,,,,,,,manure
Dtm Ag,1933 Hall Ro. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,10/22/24,,975.0,38.0,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,10/22/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,8,66,67,,,,,,,,,,manure
Dtm Ag,1933 Hall Rd. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,11/12/24,,675.0,76.3,Scale Weights,,R5-2007-0035_general_order,,"(37.512447632622, -120.745406365369)","(37.535437893837, -120.69666333529)",,11/12/2024,,False,1933 Hall Rd Denair 2024 Dairy AR,rancho_cordova,generic_r5,9,69,70,,,,,,,,,,manure
Coutodairy,1980 County Road Qq Willows Glenn 95988,Cc Farms,1980 County Road Qq Willows Ca 95988,I Farmer,Dunlop Farms (530) 570-9430,1980 County Road Qq Willows 95988,07/29/2024,,§30.00,20.0,Amount Reported By Cc Farms.,,R5-2007-0035_software,0001-0001-0001-0001 Glenn,"(39.536479394667, -122.121338519324)","(39.536479394667, -122.121338519324)",,7/29/2024,,False,1980 County Rd QQ Willows 2024 Dairy AR,rancho_cordova,generic_r5,1,33,34,,,,,,,County Road Qq Glenn,Farmer,,manure
Couto Dairy,1980 County Road Qq Willows Glenn 95988,Cc Farms,1980 County Road Qq Willows Ca,Farmer,Joey Couto . (530) 570-9430,1980 County Road Qq Willows 95988,12/31/2024,2500000.0,,,,Estimated Annual Total To Independent Couto Farming Field.,R5-2007-0035_software,0001-0001-0001-0001 Glenn,"(39.536479394667, -122.121338519324)","(39.536479394667, -122.121338519324)",,12/31/2024,,False,1980 County Rd QQ Willows 2024 Dairy AR,rancho_cordova,generic_r5,2,35,36,,,,,,,County Road Qq Glenn,Farmer,,wastewater
Coutodairy,1980 County Road Qq Willows Glenn 95988,Cc Farms,1980 County Road Qq Willows Ca 95988,Farmer,Couto Dairy #2 (530) 570-9430,1980 County Road Qq Willows 95988,10/01/2024,,308.0,57.3,Amount Reported By Cc Farms.,,R5-2007-0035_software,0019-0184-0002-0001 Glenn,"(39.536479394667, -122.121338519324)","(39.536479394667, -122.121338519324)",,10/1/2024,,False,1980 County Rd QQ Willows 2024 Dairy AR,rancho_cordova,generic_r5,3,37,38,,,,,,,County Road Qq Glenn,Farmer,,manure
Kisst Dairy,20000 Cedar Ave. Tracy 95304,Witt Ranch Transport,P.O. Box 428 Lodi 95241,,Marchini Ag 9000 W. Howard Rd. Stockton 95206 204-943-6250,9000 W. Howard Rd. Stockton 95206,9/30/24,,Solids 1200 Content,,Hauler Calculation,,R5-2007-0035_general_order,,"(37.779957204023, -121.346698534371)","(37.850180998375, -121.420444027251)",,9/30/2024,,False,20000 Cedar Ave Tracy 2024 Dairy AR,rancho_cordova,generic_r5,1,97,98,,,,,,,,,,manure
Kisst Daury,20000,Witt Ranch Transport,,,Cerri Farms 2796 Undinero. Stockton 95206 209-482-0700,2796 Undine Rd. Stockton 95206,10/31/24,,Solids 1/20 Content,,Hauler Calculation,,R5-2007-0035_general_order,,"(33.5466, -7.64286)","(37.823474075563, -121.334307399268)",,10/31/2024,,False,20000 Cedar Ave Tracy 2024 Dairy AR,rancho_cordova,generic_r5,2,100,101,,,,,,,,,,manure
John Kisst Dairy,20000 Cedar Ave Tracy Ca 95304,Cambra Farms Bill Cambra,B. O. Box 4034 Manteca 95337,,Abbate Farms,15803 S. Wing Lever Rd. Tracy 95330,,Hauled In,Hauled In,,Calculate The Amount,Of Process Wastewater,ucanr,,"(37.779957204023, -121.346698534371)","(37.814911611029, -121.408041578492)",,,,False,20000 Cedar Ave Tracy 2024 Dairy AR,rancho_cordova,generic_r5,3,103,104,,,,,,,,,,both
Uc Davis Dairy,Dairy Road Davis 95616,Bob Black Smith,12498 County Road 100 Woodland 95776,Rominger Bros.,Bruce Rominger County Road 29 Winters 95694 5303080101,2800 County Road 29 Winters 95694,June 15 2024 Through October 26 2024,,8235.0,,,,R5-2007-0035_general_order,,"(38.536748571559, -121.758880695727)","(38.592790850531, -122.004946919577)",,,,False,"201 Dairy Rd, Davis 2024 Dairy AR",rancho_cordova,generic_r5,1,56,57,,,,,,,,Rominger Bros.,,manure
Faial Farms Dairy,18714 Stineroad 3714 Stine Road Wastewater Bakersfield Ca 93313 Rwqcd? No,Brachena Ag Services Inc Name Fred Amirfar Inquiry Of Those Individuals Immediately Responsible,9442 Bear Mountain Blvd. Bakersfield Ca 93311 Information Is True Accurate And Complete. I Am,Composting Facility,T/M Composting Name Trina Payne,4322 Saco Rd Number 800 995 8331 Hag Ee Facility City/State I Bakersfield Ca F-Date,Jan 1 2024-Jan 31 2024,,7831,68,,,R5-2007-0035_one_page_2,,"(35.321167787501, -119.056525816488)","(35.446720009412, -119.092199010352)",,,,False,2024AR Faial Farms Dairy,kern,generic_r5,1a,20,20,,,,,,,,Composting Facility,,manure
Faial Farms Dairy,18714 Stineroad 3714 Stine Road Wastewater Bakersfield Ca 93313 Rwqcd? No,Brachena Ag Services Inc Name Fred Amirfar Inquiry Of Those Individuals Immediately Responsible,9442 Bear Mountain Blvd. Bakersfield Ca 93311 Information Is True Accurate And Complete. I Am,Composting Facility,T/M Composting Name Trina Payne,4322 Saco Rd Number 800 995 8331 Hag Ee Facility City/State I Bakersfield Ca F-Date,Feb 1 2024-Feb 29 2024 4796 ton,70,,,,,R5-2007-0035_one_page_2,,"(35.321167787501, -119.056525816488)","(35.446720009412, -119.092199010352)",,,,False,2024AR Faial Farms Dairy,kern,generic_r5,1b,20,20,,,,,,,,Composting Facility,,wastewater
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Jan 1 2024-Jan 31 2024,,4169,68,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1a,24,24,,,,,,,,Composting Facility,,manure
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Feb 1 2024-Feb 29 2024 10803 ton 69 %,Signature,,,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1b,24,24,,,,,,,,Composting Facility,,wastewater
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Mar 1 2024-Mar 31 2024,,12812,69,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1c,24,24,,,,,,,,Composting Facility,,manure
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Apr 1 2024-Apr 30 2024 10318 ton 67 %,Cee,,,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1d,24,24,,,,,,,,Composting Facility,,wastewater
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,May 1 2024-May 31 2024,,6255,65,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1e,24,24,,,,,,,,Composting Facility,,manure
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Jun 1 2024-Jun 30 2024,,9993,69,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1f,24,24,,,,,,,,Composting Facility,,manure
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Jul 1 2024-Jul 31 2024 4108 ton,65,,,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1g,24,24,,,,,,,,Composting Facility,,wastewater
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Aug 1 2024-Aug 31 2024 16314 ton,66,,,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1h,24,24,,,,,,,,Composting Facility,,wastewater
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Sep 1 2024-Sep 30 2024,,7081,66,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1i,24,24,,,,,,,,Composting Facility,,manure
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Oct 1 2024-Oct 31 2024,,7401,67,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1j,24,24,,,,,,,,Composting Facility,,manure
G3 Dairy,S829E.Panamatane E. Panama Lane Wastewater Bakersfield Ca 93311 Rwqcd? No,Cabrera Brothers Composting Name Jose Cabrera Inquiry Of Those Individuals Immediately Responsible,10909 Glen Cloe Place Lamont Ca 93241 Information Is True Accurate And Complete. Fam,Compost Yard,Panama Ranch Name John 4,6219 E. Panam Lane Number Jie Tag A—— Date,Nov 1 2024-Nov 30 2024,,1306,64,,,R5-2007-0035_one_page_2,661-978-9703,"(35.3222424, -119.1193214)",,,,,False,2024AR G3 Dairy,kern,generic_r5,1k,24,24,,,,,,,,Composting Facility,,manure
De Boer Dairy,14976 Avenue 168 Tulare 93274,Bakke Ag Services,Po Box 7208 Visalia 93290,,Merrit Farms,,1/15/2024,,2021.63,) 79.8,,Of Process Wastewater,R5-2013-0122_general_order,300-15010300-15019,"(36.095113026023, -119.237022706884)",,,1/15/2024,,False,2024AR_4 Corners Dairy_14976 Ave 168_Tulare,tulare_east,innovative_ag,1,52,53,,(If Amount Reported In Cubic Yards),,,,,,,,manure
