Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Type (Standardized),Destination Assessor Parcel Number,Destination County,Destination Address Final,Destination Address Final Source,Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),Source PDF,Manifest Number,Start Page,End Page,Manifest Type,Origin Latitude,Origin Longitude,Origin City,Origin Zip,Origin County,Destination City,Destination Zip,Estimated Number of Hauls (Based on Average),Estimated Number of 10k-gallon Hauls (Based on Distribution),Estimated Number of 20k-gallon Hauls (Based on Distribution)
Gold Medal Ag #1,9483 Columbus Ave Hilmar Merced 95324,37.425937968039,-120.868452620166,Pipeline,9483 Columbia Ave Hilmar Ca 95324,Antonio Thomas,6612 Prarie Flower Rd Turlock CA 95380,,,Farmer,0045-0140-0006-0000 Stanislaus,,,,,,,2024-10-28,True,,,,,900000.0,"9483 Columbus Ave, Hilmar 2024 Dairy AR",26,125,126,wastewater,37.425937968039,-120.868452620166,Hilmar,95324,Merced,,,103,90,0
Gold Medal Ag #1,9483 Columbus Ave Hilmar Merced 95324,37.425937968039,-120.868452620166,Pipeline,9483 Columbia Ave Hilmar Ca 95324,Aaron Wickstrom,22245 August Ave Hilmar CA 95324,,,Farmer,0045-0180-0021-0000 Merced,,,,,,,2024-12-02,True,,,,,3800000.0,"9483 Columbus Ave, Hilmar 2024 Dairy AR",28,129,130,wastewater,37.425937968039,-120.868452620166,Hilmar,95324,Merced,,,435,380,0
Gold Medal Ag #1,9483 Columbus Ave Hilmar Merced 95324,37.425937968039,-120.868452620166,Pipeline,9483 Columbia Ave Hilmar Ca 95324,Antonio Thomas,6612 Prarie Flower Rd Turlock CA 95380,,,Farmer,0045-0140-0006-0000 Sacramento,,,,,,,2024-12-17,True,,,,,1740000.0,"9483 Columbus Ave, Hilmar 2024 Dairy AR",29,131,132,wastewater,37.425937968039,-120.868452620166,Hilmar,95324,Merced,,,199,174,0
Gold Medal Ag #1,9483 Columbus Ave Hilmar Merced 95324,37.425937968039,-120.868452620166,Pipeline,9483 Columbia Ave Hilmar Ca 95324,Aaron Wickstrom,22245 August Ave Hilmar CA 95324,,,Farmer,0045-0180-0021-0000 Merced,,,,,,,2024-12-20,True,,,,,1760000.0,"9483 Columbus Ave, Hilmar 2024 Dairy AR",30,133,134,wastewater,37.425937968039,-120.868452620166,Hilmar,95324,Merced,,,202,176,0
Gold Medal Ag #1,9483 Columbus Ave Hilmar Merced 95324,37.425937968039,-120.868452620166,Pipeline,9483 Columbia Ave Hilmar Ca 95324,Deus Family Farms,19664 Crane Ave Hilmar CA 95324,,,Farmer,0045-0140-0002-0000 Merced,,,,,,,2024-12-27,True,,,,,7040000.0,"9483 Columbus Ave, Hilmar 2024 Dairy AR",31,135,136,wastewater,37.425937968039,-120.868452620166,Hilmar,95324,Merced,,,807,704,0
New Hope Dairy,9547 New Hope Rd. Galt 95632,38.247340176919,-121.345644721457,Pipeline From Dairy,9547 New Hope Rd. Galt 95632,Russ Fields 9416 New Hope Rd. Galt 95632,Russ Fields 9416 New Hope Rd. Galt 95632,Russ Fields 9416 New Hope Rd. Galt 95632,,Farmer,,Sacramento,Russ Fields 9416 New Hope Rd. Galt 95632,Destination Address,38.246997770968,-121.347853979723,2024-01-01,2024-02-28,True,,,,,1150000.0,9547 New Hope Rd Galt 2024 Dairy AR,3,41,42,wastewater,38.247340176919,-121.345644721457,Galt,95632,Sacramento,Galt,95632,132,115,0
New Hope Dairy,9547 New Hope Rd. Galt 95632,38.247340176919,-121.345644721457,Pipeline From Dairy,9547 New Hope Rd. Galt 95632,Ron Silva,11211 Valensin Rd. Galt 95632,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,,Farmer,,Sacramento,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,Destination Address,38.247262010466,-121.355377995109,,2024-02-01,True,,,,,400000.0,9547 New Hope Rd Galt 2024 Dairy AR,4,43,44,wastewater,38.247340176919,-121.345644721457,Galt,95632,Sacramento,Galt,95632,46,40,0
New Hope Dairy,9547 New Hope Rd. Galt 95632,38.247340176919,-121.345644721457,Pipeline From Dairy,9547 New Hope Rd. Galt 95632,Russ Fields,9416 New Hope Rd. Galt 95632,Russ Fields 9416 New Hope Rd. Galt 95632,,Farmer,,Sacramento,Russ Fields 9416 New Hope Rd. Galt 95632,Destination Address,38.246997770968,-121.347853979723,,2024-04-18,True,,,,,350000.0,9547 New Hope Rd Galt 2024 Dairy AR,5,45,46,wastewater,38.247340176919,-121.345644721457,Galt,95632,Sacramento,Galt,95632,40,35,0
New Hope Dairy,9547 New Hope Rd. Galt 95632,38.247340176919,-121.345644721457,Pipeline From Dairy,9547 New Hope Rd. Galt 95632,Ron Silva,11211 Valensin Rd. Galt 95632,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,,,,Sacramento,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,Destination Address,38.247262010466,-121.355377995109,2024-04-01,2024-05-18,True,,,,,850000.0,9547 New Hope Rd Galt 2024 Dairy AR,6,47,48,wastewater,38.247340176919,-121.345644721457,Galt,95632,Sacramento,Galt,95632,97,85,0
New Hope Dairy,9547 New Hope Rd. Galt 95632,38.247340176919,-121.345644721457,Pipeline From Dairy,9547 New Hope Rd. Galt 95632,Ron Silva,11211 Valensin Rd. Galt 95632,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,,,,Sacramento,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,Destination Address,38.247262010466,-121.355377995109,,2024-08-01,True,,,,,700000.0,9547 New Hope Rd Galt 2024 Dairy AR,7,49,50,wastewater,38.247340176919,-121.345644721457,Galt,95632,Sacramento,Galt,95632,80,70,0
New Hope Dairy,9547 New Hope Rd. Galt 95632,38.247340176919,-121.345644721457,Pipeline From Dairy,9547 New Hope Rd. Galt 95632,Ron Silva,11211 Valensin Rd. Galt 95632,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,,,,Sacramento,Northeast Corner Of New Hope Rd. And Valley Tree Rd.,Destination Address,38.247262010466,-121.355377995109,,2024-10-01,True,,,,,350000.0,9547 New Hope Rd Galt 2024 Dairy AR,8,51,52,wastewater,38.247340176919,-121.345644721457,Galt,95632,Sacramento,Galt,95632,40,35,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Sam Avila (209) 595-2446,9630 Tegner Rd Hilmar CA 95324,Hilmar 95324,Hilmar Road Merced,Farmer,,,Hilmar 95324 Hilmar Road Merced,Destination Address,37.396844003155,-120.795943079008,,2024-04-07,True,,,,,624952.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",1,40,41,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,,,72,62,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Sam Avila (209) 595-2446,9630 Tegner Rd Hilmar CA 95324,Hilmar 95324,Hilmar Road Merced,Farmer,,,Hilmar 95324 Hilmar Road Merced,Destination Address,37.396844003155,-120.795943079008,,2024-06-30,True,,,,,398958.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",2,42,43,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,,,46,40,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Sam Avila (209) 595-2446,9630 Tegner Rd Hilmar CA 95324,Hilmar 95324,Hilmar Road Merced,Farmer,,,Hilmar 95324 Hilmar Road Merced,Destination Address,37.396844003155,-120.795943079008,,2024-07-23,True,,,,,353759.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",3,44,45,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,,,41,35,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Sam Avila (209) 595-2446,9630 Tegner Rd Hilmar CA 95324,Hilmar 95324,Hilmar Road Merced,Farmer,,,Hilmar 95324 Hilmar Road Merced,Destination Address,37.396844003155,-120.795943079008,,2024-08-17,True,,,,,308560.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",4,46,47,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,,,35,31,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Sam Avila (209) 595-2446,9630 Tegner Rd Hilmar CA 95324,Hilmar 95324,Hilmar Road Merced,Farmer,,,Hilmar 95324 Hilmar Road Merced,Destination Address,37.396844003155,-120.795943079008,,2024-10-09,True,,,,,534554.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",5,48,49,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,,,61,53,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Babelle Brothers,9374 Columbus Ave Hilmar CA 95324,9374 Columbus Ave Hilmar 95324,Merced,Farmer,,Merced,9374 Columbus Ave Hilmar 95324 Merced,Destination Address,37.424681353115,-120.867681317435,,2024-01-06,True,,,,,489356.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",6,50,51,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,Hilmar,95324,56,49,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Babelle Brothers,9374 Columbus Ave Hilmar CA 95324,9374 Columbus Ave Hilmar 95324,Merced,Farmer,,Merced,9374 Columbus Ave Hilmar 95324 Merced,Destination Address,37.424681353115,-120.867681317435,,2024-01-17,True,,,,,489356.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",7,52,53,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,Hilmar,95324,56,49,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Babelle Brothers,9374 Columbus Ave Hilmar CA 95324,9374 Columbus Ave Hilmar 95324,Merced,Farmer,,Merced,9374 Columbus Ave Hilmar 95324 Merced,Destination Address,37.424681353115,-120.867681317435,,2024-02-29,True,,,,,624952.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",8,54,55,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,Hilmar,95324,72,62,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Babelle Brothers,9374 Columbus Ave Hilmar CA 95324,9374 Columbus Ave Hilmar 95324,Merced,Farmer,,Merced,9374 Columbus Ave Hilmar 95324 Merced,Destination Address,37.424681353115,-120.867681317435,,2024-03-19,True,,,,,624952.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",9,56,57,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,Hilmar,95324,72,62,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Babelle Brothers,9374 Columbus Ave Hilmar CA 95324,9374 Columbus Ave Hilmar 95324,Merced,Farmer,,Merced,9374 Columbus Ave Hilmar 95324 Merced,Destination Address,37.424681353115,-120.867681317435,,2024-05-02,True,,,,,715349.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",10,58,59,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,Hilmar,95324,82,72,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Philip Deus (209) 648-4602,21476 Johnson Ave Hilmar CA 95324,21476 Johnson Ave Hilmar 95324,Merced,Farmer,,Merced,21476 Johnson Ave Hilmar 95324 Merced,Destination Address,37.4334856681,-120.875747316685,,2024-07-22,True,,,,,715349.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",11,60,61,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,Hilmar,95324,82,72,0
Diniz Dairy,9558 Columbus Ave Hilmar Merced 95324,37.427139639588,-120.867198855089,Diniz Pipeline,9558 Columbus Ave Turlock Ca 95380,Philip Deus (209) 648-4602,21476 Johnson Ave Hilmar CA 95324,21476 Johnson Ave Hilmar 95324,Merced,Farmer,,Merced,21476 Johnson Ave Hilmar 95324 Merced,Destination Address,37.4334856681,-120.875747316685,,2024-08-28,True,,,,,534554.0,"9558 Columbus Ave, Hilmar 2024 Dairy AR",12,62,63,wastewater,37.427139639588,-120.867198855089,Hilmar,95324,Merced,Hilmar,95324,61,53,0
Robert Goletti + Sons Dairy,10213 W. Main St. Turlock 95380,37.493113389934,-120.96564380497,Fta Lagoon Ma,2930 Geer Rd. Turlock 95382,Robert Gioletti,118N. Blaker Rd. Turlock 95380,,,Farmer,058-018-001,,058-018-001,Destination Assessor Parcel Number,38.081455,-120.556998,,2024-09-11,False,9500.0,2.0,,,650750.0,10213 W Main St Turlock 2024 Dairy AR,9,170,171,wastewater,37.493113389934,-120.96564380497,Turlock,95380,Stanislaus,,,75,65,0
Jose V Silveira Dairy,10652 Newsom Rd Gustine Merced 95322,37.134900813519,-121.00104921544,Jose V Silveira Dairy Pipeline,10652 Newsom Rd Gustine Ca 95322,Godinho Dairy,12710 S Wilson Rd Los Banos CA 93635,Gustine 95322,Fahey Road Merced,Farmer,,,Gustine 95322 Fahey Road Merced,Destination Address,37.122451442502,-120.982259289648,,2024-01-01,True,,,,,4800000.0,10652 Newsome Rd Gustine 2024 Dairy AR,1,50,51,wastewater,37.134900813519,-121.00104921544,Gustine,95322,Merced,,,550,480,0
Jose V Silveira Dairy,10652 Newsom Rd Gustine Merced 95322,37.134900813519,-121.00104921544,Jose V Silveira Dairy Pipeline,10652 Newsom Rd Gustine Ca 95322,Godinho Dairy,12710 S Wilson Rd Los Banos CA 93635,Gustine 95322,Fahey Road Merced,Farmer,,,Gustine 95322 Fahey Road Merced,Destination Address,37.122451442502,-120.982259289648,,2024-04-13,True,,,,,4800000.0,10652 Newsome Rd Gustine 2024 Dairy AR,2,52,53,wastewater,37.134900813519,-121.00104921544,Gustine,95322,Merced,,,550,480,0
Cross View Dairy,12530 Warnerville Road. Oakdale CA 95361,37.737204971601,-120.764462622239,Silva Liquid Injection LLC,22600 N. Pearl Rd Acampo CA 95220,Neal Casey,P.O. Box 1543 Oakdale CA 95361,6440 Emery Road Oakdale CA,,Farmer,010-020-018,Stanislaus,010-020-018,Destination Assessor Parcel Number,33.316516,-115.956004,,2024-05-01,False,,,,,1200000.0,12530 Warnerville Rd Oakdale 2024 Dairy AR,2,70,71,wastewater,37.737204971601,-120.764462622239,Oakdale,95361,Stanislaus,Oakdale,95361,137,120,0
Ivy Star Dairy Llc,14903 Volta Rd Los Banos Merced 93635,37.071781268842,-120.928324051634,F And Alagoon Management,2930 Geer Rd Turlock Ca 95382,David Santos Farming,720 Jefferson Ave Los Banos CA 93635,720 Jefferson Ave Los Banos 93635,Merced,Farmer,,Merced,720 Jefferson Ave Los Banos 93635 Merced,Destination Address,37.054165422979,-120.846201632686,,2024-04-30,False,10000.0,282.0,,,2820000.0,14903 S Volta Rd Los Banos 2024 Dairy AR,1,32,33,wastewater,37.071781268842,-120.928324051634,Los Banos,93635,Merced,Los Banos,93635,323,282,0
Rodoni Dairy Farms Lp,18037 S Center Ave Los Banos Merced 93635,37.048411780859,-120.853787931045,F&A Lagoon Managment,2930 Geer Rd Turlock Ca 95382,David Santos,19556 W. Charleston Los Banos CA 95635,19556 W. Charleston Los Banos 93635,Merced,Farmer,,Merced,19556 W. Charleston Los Banos 93635 Merced,Destination Address,36.983929275331,-120.848290161018,,2024-10-10,False,,,,,4398500.0,18037 S Center Ave Los Banos 2024 Dairy AR,3,84,85,wastewater,37.048411780859,-120.853787931045,Los Banos,93635,Merced,Los Banos,93635,504,440,0
Van Exel Dairy #2,18948 N. Thornton Road Lodi CA 95242,38.154967868773,-121.397953537012,Van Exel Dairy (Via Concrete Ditch),20002 N. Thornton Road Lodi CA 95242,Van Exel Dairy,20002 N. Thornton Road Lodi CA 95242,20002 N. Thornton Road Lodi CA,,,011-140-23,San Joaquin,,,,,,2024-01-20,True,,,15.0,800.0,720000.0,18948 N Thornton Rd Lodi 2024 Dairy AR,2,36,37,wastewater,38.154967868773,-121.397953537012,Lodi,95242,San Joaquin,Lodi,95242,82,72,0
Van Exel Dairy #2,18948 N. Thornton Road Lodi CA 95242,38.154967868773,-121.397953537012,Van Exel Dairy (Via Concrete Ditch),20002 N. Thornton Road Lodi CA 95242,Van Exel Dairy,20002 N. Thornton Road Lodi CA 95242,20002 N. Thornton Road Lodi CA,,,011-140-23,San Joaquin,,,,,,2024-03-18,True,,,14.5,800.0,696000.0,18948 N Thornton Rd Lodi 2024 Dairy AR,3,38,39,wastewater,38.154967868773,-121.397953537012,Lodi,95242,San Joaquin,Lodi,95242,80,70,0
Van Exel Dairy #2,18948 N. Thornton Road Lodi CA 95242,38.154967868773,-121.397953537012,Van Exel Dairy (Via Concrete Ditch),20002 N. Thornton Road Lodi CA 95242,Van Exel Dairy,20002 N. Thornton Road Lodi CA 95242,20002 N. Thornton Road Lodi CA,,,011-140-23,San Joaquin,,,,,,2024-09-15,True,,,18.0,800.0,864000.0,18948 N Thornton Rd Lodi 2024 Dairy AR,4,40,41,wastewater,38.154967868773,-121.397953537012,Lodi,95242,San Joaquin,Lodi,95242,99,86,0
Van Exel Dairy #2,18948 N. Thornton Road Lodi CA 95242,38.154967868773,-121.397953537012,Van Exel Dairy (Via Concrete Ditch),20002 N. Thornton Road Lodi CA 95242,Van Exel Dairy,20002 N. Thornton Road Lodi CA 95242,20002 N. Thornton Road Lodi CA,,,011-140-23,San Joaquin,,,,,,2024-11-14,True,,,16.0,800.0,768000.0,18948 N Thornton Rd Lodi 2024 Dairy AR,5,42,43,wastewater,38.154967868773,-121.397953537012,Lodi,95242,San Joaquin,Lodi,95242,88,77,0
Doornenbal Dairy #3,19325 Lone Tree Road Escalon CA 95320,37.827766490089,-121.074046623462,Doornenbal Dairy,19116 Lone Tree Road Escalon CA 95320,Doornenbal Dairy #1,19116 Lone Tree Road Escalon CA 95320,19116 Lone Tree Road Escalon CA,,Farmer,205-060-07,San Joaquin,205-060-07,Destination Assessor Parcel Number,37.749662,-121.850436,,2024-04-01,False,8400.0,100.0,,,840000.0,19325 E Lone Tree Rd Escalon 2024 Dairy AR,2,21,22,wastewater,37.827766490089,-121.074046623462,Escalon,95320,San Joaquin,Escalon,95320,96,84,0
Doornenbal Dairy #3,19325 Lone Tree Road Escalon CA 95320,37.827766490089,-121.074046623462,Doornenbal Dairy,19116 Lone Tree Road Escalon CA 95320,Doornenbal Dairy #1,19116 Lone Tree Road Escalon CA 95320,19116 Lone Tree Road Escalon CA,,Farmer,205-060-07,San Joaquin,205-060-07,Destination Assessor Parcel Number,37.749662,-121.850436,,2024-05-18,False,8400.0,250.0,,,2100000.0,19325 E Lone Tree Rd Escalon 2024 Dairy AR,3,23,24,wastewater,37.827766490089,-121.074046623462,Escalon,95320,San Joaquin,Escalon,95320,241,210,0
Gm Silva Dairy,20316 Crane Ave Hilmar 95324,37.373532004363,-120.863109995082,,,Brinderio & Danbom,5831 Tegner Rd. Hilmar 95324,,,,0045-0025-0021-0000,,,,,,,2024-02-27,False,,,,,1260000.0,"20316 Crane Ave, Hilmar 2024 Dairy AR",5,97,98,wastewater,37.373532004363,-120.863109995082,Hilmar,95324,Merced,,,144,126,0
Gm Silva Dairy,20316 Crane Ave Hilmar 95324,37.373532004363,-120.863109995082,,,Brinderio & Danbom,5831 Tegner Rd. Hilmar 95324,,,,0045-0025-0021-0000,,,,,,,2024-07-19,False,,,,,840000.0,"20316 Crane Ave, Hilmar 2024 Dairy AR",6,99,100,wastewater,37.373532004363,-120.863109995082,Hilmar,95324,Merced,,,96,84,0
Gm Silva Dairy,20316 Crane Ave Hilmar 95324,37.373532004363,-120.863109995082,,,Brinderio & Danbom,5831 Tegner Rd. Hilmar 95324,,,,0045-0025-0021-0000,,,,,,,2024-08-09,False,,,,,840000.0,"20316 Crane Ave, Hilmar 2024 Dairy AR",7,101,102,wastewater,37.373532004363,-120.863109995082,Hilmar,95324,Merced,,,96,84,0
Gm Silva Dairy,20316 Crane Ave Hilmar 95324,37.373532004363,-120.863109995082,,,Brinderio & Danbom,5831 Tegner Rd. Hilmar 95324,,,,0045-0025-0021-0000,,,,,,,2024-08-11,False,,,,,840000.0,"20316 Crane Ave, Hilmar 2024 Dairy AR",8,103,104,wastewater,37.373532004363,-120.863109995082,Hilmar,95324,Merced,,,96,84,0
Gm Silva Dairy,20316 Crane Ave Hilmar 95324,37.373532004363,-120.863109995082,,,Brinderio & Danbom,5831 Tegner Rd. Hilmar 95324,,,,0045-0025-0021-0000,,,,,,,2024-08-23,False,,,,,840000.0,"20316 Crane Ave, Hilmar 2024 Dairy AR",9,105,106,wastewater,37.373532004363,-120.863109995082,Hilmar,95324,Merced,,,96,84,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Kevin Rocha,20694 Johnson Ave Hilmar CA 95324,20694 Johnson Ave Hilmar 95324,Merced,Farmer,,Merced,20694 Johnson Ave Hilmar 95324 Merced,Destination Address,37.433599237089,-120.861452306091,,2024-02-08,True,,,,,360000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",1,35,36,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,41,36,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Steve Wickstrom,20758 Johnson Ave Hilmar CA 95324,20758 Johnson Ave Hilmar 95324,Merced,Farmer,,Merced,20758 Johnson Ave Hilmar 95324 Merced,Destination Address,37.433600787741,-120.863563707501,,2024-02-20,True,,,,,480000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",2,37,38,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,55,48,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Steve Wickstrom,20758 Johnson Ave Hilmar CA 95324,20758 Johnson Ave Hilmar 95324,Merced,Farmer,,Merced,20758 Johnson Ave Hilmar 95324 Merced,Destination Address,37.433600787741,-120.863563707501,,2024-03-25,True,,,,,240000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",3,39,40,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,27,24,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Brandon Stavrianoudakis,21809 Williams Ave Hilmar CA 95324,21809 Williams Ave Hilmar 95324,Merced,Farmer,,Merced,21809 Williams Ave Hilmar 95324 Merced,Destination Address,37.389908090199,-120.883677756559,,2024-03-26,True,,,,,480000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",4,41,42,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,55,48,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Kevin Rocha,20694 Johnson Ave Hilmar CA 95324,20694 Johnson Ave Hilmar 95324,Merced,Farmer,,Merced,20694 Johnson Ave Hilmar 95324 Merced,Destination Address,37.433599237089,-120.861452306091,,2024-03-27,True,,,,,360000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",5,43,44,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,41,36,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Kevin Rocha,20694 Johnson Ave Hilmar CA 95324,20694 Johnson Ave Hilmar 95324,Merced,Farmer,,Merced,20694 Johnson Ave Hilmar 95324 Merced,Destination Address,37.433599237089,-120.861452306091,,2024-05-11,True,,,,,160000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",7,47,48,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,18,16,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Brandon Stavrianoudakis,21809 Williams Ave Hilmar CA 95324,21809 Williams Ave Hilmar 95324,Merced,Farmer,,Merced,21809 Williams Ave Hilmar 95324 Merced,Destination Address,37.389908090199,-120.883677756559,,2024-05-23,True,,,,,240000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",8,49,50,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,27,24,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Brandon Stavrianoudakis,21809 Williams Ave Hilmar CA 95324,21809 Williams Ave Hilmar 95324,Merced,Farmer,,Merced,21809 Williams Ave Hilmar 95324 Merced,Destination Address,37.389908090199,-120.883677756559,,2024-07-17,True,,,,,1800000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",9,51,52,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,206,180,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Brandon Stavrianoudakis,21809 Williams Ave Hilmar CA 95324,21809 Williams Ave Hilmar 95324,Merced,Farmer,,Merced,21809 Williams Ave Hilmar 95324 Merced,Destination Address,37.389908090199,-120.883677756559,,2024-08-01,True,,,,,160000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",10,53,54,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,18,16,0
Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,Pipeline,20326 Johnson Ave Hilmar Ca 95324,Brandon Stavrianoudakis,21809 Williams Ave Hilmar CA 95324,21809 Williams Ave Hilmar 95324,Merced,Farmer,,Merced,21809 Williams Ave Hilmar 95324 Merced,Destination Address,37.389908090199,-120.883677756559,,2024-08-12,True,,,,,240000.0,"20326 Johnson Ave, Hilmar 2024 Dairy AR",11,55,56,wastewater,37.433340184494,-120.856819756446,Hilmar,95324,Merced,Hilmar,95324,27,24,0
