RB,Responsible Party,Place (Facility),WDID,Violation ID,Violation Type,Priority Violation,Violation Program,Status, Date Occured,Violation Description,Comments,Corrective Action,Enforcement Action ID,Enforcement Action,EA Order Number,EA Effective Date,County,Staff,Discovery Date
5F,Black Oak LLC,Black Oak LLC,5C10NC00088,1134480,Order Conditions,B,ANIWSTCOWS,Violation,6/10/24,"Records of onsite monitoring activities such as laboratory analytical reports were not available for review, which is a violation of Standard Provisions and Reporting Requirement D.5. ",,,458784,Notice of Violation,null,10/14/24,Fresno,Jameela Zaghmouri,null
5F,Black Oak LLC,Black Oak LLC,5C10NC00088,1134481,Order Conditions,B,ANIWSTCOWS,Violation,6/10/24,"A setback plan was not available for review and protective measures to prevent the application of Dairy waste to cropland within 100 feet of groundwater wells and surface water bodies have not been implemented, which is a violation of General Specification B.7 and Standard Provisions and Reporting Requirement B.18. ",,,458784,Notice of Violation,null,10/14/24,Fresno,Jameela Zaghmouri,null
5F,Black Oak LLC,Black Oak LLC,5C10NC00088,1134482,Order Conditions,B,ANIWSTCOWS,Violation,6/10/24,"A sampling and analysis plan was not available for review, which is a violation of Attachment C, Contents of a Nutrient Management Plan, Item II. ",,,458784,Notice of Violation,null,10/14/24,Fresno,Jameela Zaghmouri,null
5F,Black Oak LLC,Black Oak LLC,5C10NC00088,1134483,Order Conditions,B,ANIWSTCOWS,Violation,6/10/24,"Irrigation records were not available for review, which is a violation of the MRP, Table 2, Nutrient Monitoring, Irrigation Water. ",,,458784,Notice of Violation,null,10/14/24,Fresno,Jameela Zaghmouri,null
5F,Black Oak LLC,Black Oak LLC,5C10NC00088,1134484,Order Conditions,B,ANIWSTCOWS,Violation,6/10/24,"Excessive vegetation was observed at the wastewater storage ponds, which is a violation of Attachment B, Waste Management Plan for the Production Area, Item V.B.",,,458784,Notice of Violation,null,10/14/24,Fresno,Jameela Zaghmouri,null
5F,"Vander Schaaf, David",David Vander Schaaf Dairy,5D155056N01,1134567,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,8/12/24,"Plant tissue sample results for Field F1 corn, Field F2 corn, and Field F3 corn were not included in the 2023 Annual Report; and Field F1 sorghum, Field F2 sorghum, and Field F3 sorghum were not included the 2020 Annual Report, which is a violation of the MRP, Table 2, Nutrient Monitoring.",,,458809,Notice of Violation,null,10/16/24,Kern,Brian D Hitz,null
5F,"Vander Schaaf, David",David Vander Schaaf Dairy,5D155056N01,1134568,Order Conditions,B,ANIWSTCOWS,Violation,8/12/24,"Excessive vegetation was observed at Wastewater Ponds 1, 2, 4, and 5; and less than one foot of available freeboard was observed at Wastewater Pond 5, which is a violation of the Operations and Maintenance Plan prepared for the Dairy, as required by Attachment B, Waste Management Plan for the Production Area, Item V.B.",,,458809,Notice of Violation,null,10/16/24,Kern,Brian D Hitz,null
5F,"De Boer, Willem(+)",4 Corners Dairy,5D545045001,1134569,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,8/13/24,"Plant tissue sample results for Field 2-103 corn were not included in the 2020 Annual Report, which is a violation of the MRP, Table 2, Nutrient Monitoring.  According to the consultant for the Dairy, the plant tissue sample results are not available.",,,458812,Oral Communication,null,10/16/24,Tulare,Lorin  Sutton,null
5F,Five Star Dairy,Martin Ranch,5C54NC00092,1134570,Order Conditions,B,ANIWSTCOWS,Violation,7/2/24,"Sidewall erosion was observed at one of the wastewater storage ponds, and excessive vegetation was observed at three of the wastewater storage ponds, which is a violation of the Operations and Maintenance Plan prepared for the Dairy, as required by Attachment B, Waste Management Plan for the Production Area, Item V.B.",,,458814,Notice of Violation,null,10/16/24,Tulare,Lorin  Sutton,null
5F,"Kamper, Rodney G",Mt. Whitney Dairy,5C10NC00081,1134571,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,5/13/24,"Groundwater sample results for Domestic Well 5 were not included in the 2022 Annual Report, which is a violation of the MRP, Table 4, Groundwater Monitoring. ",,,458816,Notice of Violation,null,10/16/24,Fresno,Jameela Zaghmouri,null
5F,"Kamper, Rodney G",Mt. Whitney Dairy,5C10NC00081,1134572,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,5/13/24,"Chain of custody forms for groundwater sample analytical results were not included in the 2022 Annual Report, which is a violation of the MRP, General Monitoring Requirements, Item 8. ",,,458816,Notice of Violation,null,10/16/24,Fresno,Jameela Zaghmouri,null
5F,"Kamper, Rodney G",Mt. Whitney Dairy,5C10NC00081,1134573,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,5/13/24,"First and third quarter wastewater sample results were not documented in the 2021 Annual Report, first and fourth quarter wastewater samples results were not documented in the 2022 Annual Report, and biennial wastewater sample results for general minerals were not documented in the 2021 through 2022 Annual Reports, which is a violation of the MRP, Table 2, Nutrient Monitoring, Process Wastewater.",,,458816,Notice of Violation,null,10/16/24,Fresno,Jameela Zaghmouri,null
5F,"Kamper, Rodney G",Mt. Whitney Dairy,5C10NC00081,1134574,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,5/13/24,"Biennial manure sample results for general minerals were not documented in the Annual Reports for 2021 through 2022, which is a violation of the MRP, Table 2, Nutrient Monitoring, Manure. ",,,458816,Notice of Violation,null,10/16/24,Fresno,Jameela Zaghmouri,null
5F,"Kamper, Rodney G",Mt. Whitney Dairy,5C10NC00081,1134575,Order Conditions,B,ANIWSTCOWS,Violation,5/13/24,"A setback plan was not available for review and protective measures to prevent the application of Dairy waste to cropland within 100 feet of groundwater wells and surface water bodies have not been implemented, which is a violation of General Specification B.7 and Standard Provisions and Reporting Requirement B.18. ",,,458816,Notice of Violation,null,10/16/24,Fresno,Jameela Zaghmouri,null
5F,"Kamper, Rodney G",Mt. Whitney Dairy,5C10NC00081,1134576,Order Conditions,B,ANIWSTCOWS,Violation,5/13/24,"Weekly and monthly Production Area inspection records, including stormwater inspection records were not available for review, which is a violation of the MRP, Table 1, Inspections, Production Area. ",,,458816,Notice of Violation,null,10/16/24,Fresno,Jameela Zaghmouri,null
5F,"Kamper, Rodney G",Mt. Whitney Dairy,5C10NC00081,1134578,Order Conditions,B,ANIWSTCOWS,Violation,5/13/24,"Land Application Area inspection records, including prior to each wastewater application and daily when process wastewater is being applied were not available for review, which is a violation of the MRP, Table 1, Inspections, Land Application Areas.",,,458816,Notice of Violation,null,10/16/24,Fresno,Jameela Zaghmouri,null
6B,Desert Oasis Dairy,Desert Oasis Dairy,6B368010002,1134605,Order Conditions,A,ANIWSTCOWS,Violation,9/26/24,"Wastewater surrounding sump pump #2. The area requires maintenance to assess the integrity of the tank. During the inspection, staff observed a possible broken tank or broken piping, within overgrown and saturated grass, in standing water. Board Order No. 6-96-9, section No. I.C.1., states that “Surface flow or visible discharge of manure at, or from, the authorized disposal site to adjacent land areas or surface waters is prohibited.”     ","Staff observed water pondage around the sump pump-tank equipment that receives wash water from the wash pen prior to entering the milking parlor. This saturated grass-weed area poses a threat to groundwater quality as it percolates to the ground since the liquid waste contains urine, and organic solids.  ",The Discharger stated that the situation would get fixed by repairing any leakage occurring either in the sub-surface tank or in the appurtenances compatible to the equipment. No date was committed for this issue to get repaired.  ,458845,Oral Communication,null,9/26/24,San Bernardino,John  Morales(+),9/26/24
6B,Desert Oasis Dairy,Desert Oasis Dairy,6B368010002,1134607,Order Conditions,A,ANIWSTCOWS,Violation,9/26/24,"Water Board staff observed standing water in a corral flowing from a drinking water trough. The observed water stream did not flow towards the concrete channel that allows storm water and liquid manure to flow to the storm water impoundment; rather, the stream flowed away from the channel and towards the inside of the corral. This standing water threatens the potential to percolate to groundwater. Board Order No. 6-96-9, section No. I.C.6., states that, “Manured areas shall be managed to minimize infiltration of water into underlying soils.”  ","From the previous inspection on January 20, 2023, staff observed large puddles of water within the vicinity of the water trough after a rain event that had recently occurred. At the time of that inspection, staff advised the discharger of the water puddles accumulated within the corral nearby the water trough. Staff advised the Discharger that standing water in the corrals are prohibited and that liquid waste from the corrals must flow to the concrete channel that leads to the storm water impoundment. The water observed in the same location within the corral and water trough during the September 26, 2024 inspection implies that the Discharger did not mitigate the situation to allow liquid waste to flow into the concrete channel and eventually to the storm water impoundment; thus the violation.    ","As of January 20, 2023, the Discharger has not implemented or proposed any corrective actions.",458845,Oral Communication,null,9/26/24,San Bernardino,John  Morales(+),null
5F,"De Jong, Arie",Mountain View Dairy,5D545111001,1134681,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Biennial wastewater sample results for general minerals were not documented in the Annual Reports for 2021 through 2022, which is a violation of the MRP, Table 2, Nutrient Monitoring, Process Wastewater. Biennial wastewater samples were collected after the inspection and the results were provided by Kylie Nydam (owner’ relative) on 1 October 2024. ",,,458874,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,"De Jong, Arie",Mountain View Dairy,5D545111001,1134682,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Biennial manure sample results for general minerals were not documented in the Annual Reports for 2021 through 2022, which is a violation of the MRP, Table 2, Nutrient Monitoring, Manure. Biennial manure samples were collected after the inspection and the results were provided by Kylie Nydam on 1 October 2024. This violation has been resolved. ",,,458874,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,"De Jong, Arie",Mountain View Dairy,5D545111001,1134683,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Plant tissue sample results for Field 26 wheat and Field 32 wheat were not included in the 2022 Annual Report, which is a violation of the MRP, Table 2, Nutrient Monitoring. According to Kylie Nydam the plant tissue samples are not available. ",,,458874,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,"De Jong, Arie",Mountain View Dairy,5D545111001,1134684,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Stormwater inspection records were not available for review, which is a violation of the MRP, Table 1, Inspections, Production Area. Stormwater inspection records were provided by Kylie Nydam on 1 October 2024. This violation has been resolved. ",,,458874,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,"De Jong, Arie",Mountain View Dairy,5D545111001,1134685,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"A sampling and analysis plan was not available for review, which is a violation of Attachment C, Contents of a Nutrient Management Plan, Item II. A sampling and analysis plan was provided by Kylie Nydam on 1 October 2024. This violation has been resolved. ",,,458874,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,"De Jong, Arie",Mountain View Dairy,5D545111001,1134686,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Land Application Area inspection records, including prior to each wastewater application and daily when process wastewater is being applied were not available for review, which is a violation of the MRP, Table 1, Inspections, Land Application Areas. Land application area inspection records were provided by Kylie Nydam on 1 October 2024. This violation has been resolved. ",,,458874,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,"De Jong, Arie",Mountain View Dairy,5D545111001,1134687,Reporting -> Failure to Notify,B,ANIWSTCOWS,Violation,6/25/24,The Dairy added a manure drying area outside the production area defined in Dairy’s Waste Management Plan. Failure to submit a Report of Waste Discharge (ROWD) with appropriate technical documentation at least 140 days prior to expanding the Dairy’s production area is a violation of Provision G.4.,,,458874,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,"Tri BAK Dairy, LLC",5D545052001,1134689,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Biennial wastewater sample results for general minerals were not documented in the Annual Reports for 2021 through 2022, which is a violation of the MRP, Table 2, Nutrient Monitoring, Process Wastewater. Biennial wastewater samples were collected after the inspection and the results were provided by Kylie Nydam (owner’ relative) on 26 September 2024. This violation has been resolved. ",,,458878,Oral Communication,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,"Tri BAK Dairy, LLC",5D545052001,1134690,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Biennial manure sample results for general minerals were not documented in the Annual Reports for 2021 through 2022, which is a violation of the MRP, Table 2, Nutrient Monitoring, Manure. Biennial manure samples were collected after the inspection and the results were provided by Kylie Nydam on 26 September 2024. This violation has been resolved. ",,,458878,Oral Communication,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,"Tri BAK Dairy, LLC",5D545052001,1134691,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Plant tissue sample results for Field 63 alfalfa were not included in the 2020 Annual Report and Field 63 alfalfa in the 2022 Annual Report, which is a violation of the MRP, Table 2, Nutrient Monitoring. The chain-of-custody for Field 63 alfalfa plant tissue sample results from 2024 was provided by Kylie Nydam on 26 September 2024 and the results will be included in the 2024 Annual Report. This violation has been resolved. ",,,458878,Oral Communication,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,"Tri BAK Dairy, LLC",5D545052001,1134700,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Stormwater inspection records were not available for review, which is a violation of the MRP, Table 1, Inspections, Production Area. Stormwater inspection records were provided by Kylie Nydam on 26 September 2024. This violation has been resolved. ",,,458878,Oral Communication,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,"Tri BAK Dairy, LLC",5D545052001,1134701,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"A sampling and analysis plan was not available for review, which is a violation of Attachment C, Contents of a Nutrient Management Plan, Item II. A sampling and analysis plan was provided by Kylie Nydam on 26 September 2024. This violation has been resolved.",,,458878,Oral Communication,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,"Tri BAK Dairy, LLC",5D545052001,1134702,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Land Application Area inspection records, including prior to each wastewater application and daily when process wastewater is being applied were not available for review, which is a violation of the MRP, Table 1, Inspections, Land Application Areas. Land application area inspection records were provided by Kylie Nydam on 26 September 2024. This violation has been resolved. ",,,458878,Oral Communication,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,"Tri BAK Dairy, LLC",5D545052001,1134704,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Excessive vegetation was observed at the one of the wastewater settling ponds, which is a violation of Attachment B, Waste Management Plan for the Production Area, Item V.B. Photographic documentation showing the excessive vegetation was removed from the wastewater settling pond was provided by Kylie Nydam on 26 September 2024. Minimal vegetation remains within the settling basin. This violation has been resolved. ",,,458878,Oral Communication,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134705,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Biennial wastewater sample results for general minerals were not documented in the Annual Reports for 2021 through 2022, which is a violation of the MRP, Table 2, Nutrient Monitoring, Process Wastewater. Biennial wastewater samples were collected after the inspection and the results were provided by Kylie Nydam (owner’ relative) on 26 September 2024. This violation has been resolved.",,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134706,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Biennial manure sample results for general minerals were not documented in the Annual Reports for 2021 through 2022, which is a violation of the MRP, Table 2, Nutrient Monitoring, Manure. Biennial manure samples were collected after the inspection and the results were provided by Kylie Nydam on 26 September 2024. This violation has been resolved. ",,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134707,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/25/24,"Plant tissue sample results for Field 4B alfalfa were not included in the 2022 Annual Report, which is a violation of the MRP, Table 2, Nutrient Monitoring. The chain-of-custody for Field 4B alfalfa plant tissue sample results from 2024 was provided by Kylie Nydam on 26 September 2024 and the results will be included in the 2024 Annual Report. This violation has been resolved. ",,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134708,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Stormwater inspection records were not available for review, which is a violation of the MRP, Table 1, Inspections, Production Area. Stormwater inspection records were provided by Kylie Nydam on 26 September 2024. This violation has been resolved. ",,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134709,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"A sampling and analysis plan was not available for review, which is a violation of Attachment C, Contents of a Nutrient Management Plan, Item II. A sampling and analysis plan was provided by Kylie Nydam on 26 September 2024. This violation has been resolved. ",,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134710,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Land Application Area inspection records, including prior to each wastewater application and daily when process wastewater is being applied were not available for review, which is a violation of the MRP, Table 1, Inspections, Land Application Areas. Land application area inspection records were provided by Kylie Nydam on 26 September 2024. This violation has been resolved. ",,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134711,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,"Excessive vegetation was observed at the one of the wastewater settling ponds, which is a violation of Attachment B, Waste Management Plan for the Production Area, Item V.B. Photographic documentation showing the excessive vegetation was removed from the wastewater settling pond was provided by Kylie Nydam on 26 September 2024. Minimal vegetation remains within the settling basin. This violation has been resolved. ",,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
5F,De Jong Dairy Farms Inc,Elkhorn Dairy,5D545036003,1134712,Order Conditions,B,ANIWSTCOWS,Violation,6/25/24,One of the wastewater settling ponds contained piles of gravel and other materials. Prohibition A.5 of the Reissued General Order prohibits the disposal of waste not generated by on-site animal production activities except where a Report of Waste Discharge (RWD) for such disposal has been submitted.,,,458881,Notice of Violation,null,10/22/24,Tulare,Lorin  Sutton,null
3,Cuyama Dairy,Cuyama Dairy,3 420112038,1135158,Reporting -> Late Report,B,ANIWSTCOWS,Violation,11/1/23,2022 Annual report not submitted by 10/31/2023,,,null,null,null,null,Santa Barbara,Cecile  Blancarte,null
3,Cuyama Dairy,Cuyama Dairy,3 420112038,1135159,Reporting -> Late Report,B,ANIWSTCOWS,Violation,11/1/24,2023 Annual report not submitted by 10/31/2024,,,null,null,null,null,Santa Barbara,Cecile  Blancarte,null
5F,Danell Brothers Inc(+),Diamond D LLC Dairy,5D165082002,1136044,Order Conditions,B,ANIWSTCOWS,Violation,6/18/24,"Irrigation well D-5 had insufficient backflow prevention in the form of an air gap, in violation of Prohibition A.14. ",,,459183,Notice of Violation,null,11/18/24,Kings,Lewis Lummen,6/18/24
5F,Danell Brothers Inc(+),Diamond D LLC Dairy,5D165082002,1136045,Order Conditions,B,ANIWSTCOWS,Violation,6/18/24,Wastewater ponds had erosional features in violation of Standard Provisions B.17 of the Standard Provisions and Reporting Requirements and Attachment B of the Reissued General Order. ,,,null,null,null,null,Kings,Lewis Lummen,6/18/24
5F,Jacob or Adam te Velde,Double A Feeders,5C16NC00019,1136046,Order Conditions,B,ANIWSTCOWS,Violation,2/15/23,"I observed ponding in the Production Area more than 72 hours after a precipitation event, in violation of Production Area Specifications D.6.",,,459179,Notice of Violation,null,11/18/24,Kings,Lewis Lummen,null
5F,"Leyendekker, Edward(+)",Hoppy Cows Dairy,5C54NC00056,1136311,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,9/17/24,"Groundwater sample results for wells Irr Well 3, Irr Well 15, Irr Well, Irr Well 11 Irr Well New, Barn Well, and Dom Well 14 not included in the 2020 Annual Report; and groundwater sample results for wells Barn Well, Dom Well 14, and Dom Well 3 were not included in the 2021 Annual Report; Irr Well 3, Dom Well 14, Irr Well, and Irr Well New were not included in the 2022 Annual Report; Irr Well 3, Dom Well 2, Irr Well 15, Irr Well, Irr Well New, Barn Well, Dom Well 14, and Dom Well 3 Were not included in the 2023 Annual Report; and general mineral sample results for wells Irr Well 3, Dom Well 2, Dom Well 4, Dom Well 14, Irr Well 14, Irr Well, Irr Well 11, Irr Well New, Barn Well and Dom Well 14 were not included in the 2019 through 2023 Annual Reports which is a violation of the MRP, Table 4, Groundwater Monitoring. Brandon Wininger of Sentry Ag Services, LLC provided the 2024 groundwater sample results for well Irr 15, including general mineral results. The remaining well sample results are not available.",,,459223,Oral Communication,null,11/21/24,Tulare,Lorin  Sutton,null
5F,"Leyendekker, Edward(+)",Hoppy Cows Dairy,5C54NC00056,1136312,Order Conditions,B,ANIWSTCOWS,Violation,9/17/24,"Excessive vegetation was observed at wastewater storage pond WWS-3, which is a violation of Pond Specification C.2.b and is inconsistent with the Operations and Maintenance Plan prepared for the Dairy, as required by Attachment B, Waste Management Plan for the Production Area, Item V.B. Brandon Hutchings of Sentry Ag Services, LLC provided photographic documentation that the excessive vegetation along the pond sidewalls has been removed. This violation has been resolved.",,,459223,Oral Communication,null,11/21/24,Tulare,Lorin  Sutton,null
5F,"Contente, Antonio",Contente & Company Dairy,5C16NC00015,1136905,Order Conditions,B,ANIWSTCOWS,Violation,1/30/23,"I observed excessive vegetation in the northwest wastewater storage pond, in violation of Pond Specification C.2.c. ",,,459315,Notice of Violation,null,12/3/24,Kings,Lewis Lummen,null
5F,Jacob or Adam te Velde,Sierra Blanca Ranch #2,5C16NC00099,1136908,Order Conditions,B,ANIWSTCOWS,Violation,2/2/23,"I observed ponding in the Production Area more than 72 hours after a precipitation event, in violation of Production Area Specifications D.6.",,,459316,Notice of Violation,null,12/3/24,Kings,Lewis Lummen,null
5F,Jacob or Adam te Velde,Sierra Blanca Ranch #2,5C16NC00099,1136909,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,2/2/23,"Missing Domestic well samples from the 2018, 2019, 2020, and 2021 Annual Reports in violation of Provision G.3 and Groundwater Monitoring, Table 4 of the Monitoring and Reporting Program. ",,,459316,Notice of Violation,null,12/3/24,Kings,Lewis Lummen,null
5F,Abaro & Ana Neves(+),Neves Dairy,5C16NC00023,1137013,Order Conditions,B,ANIWSTCOWS,Violation,9/25/24,Excessive vegetation was observed on the north end of Wastewater Pond 2 in violation of Pond Specifications C.2.b.,,,459335,Notice of Violation,null,12/5/24,Kings,Lewis Lummen,null
5S,"Garcia, Jose",Garcia's Registered Jerseys,5B50NC00240,1137053,Unauthorized Discharge,B,ANIWSTCOWS,Violation,11/18/24,The newly constructed partially above-ground Tier 1 pond (Pond) contains wastewater prior to the Executive Officer approval for a Post-Construction Report (PCR).,,,459354,Notice of Violation,null,12/6/24,Stanislaus,Lamyae Zinebi,11/18/24
5F,"Fragoso, John Jr(+)",Jersey Creek Dairy,5C16NC00087,1137416,Order Conditions,B,ANIWSTCOWS,Violation,7/18/24,"Irrigation well 6 had insufficient backflow prevention in the form of an air gap, in violation of Prohibition A.14.",,,null,null,null,null,Kings,Lewis Lummen,null
5F,"Fragoso, John Jr(+)",Jersey Creek Dairy,5C16NC00087,1137421,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,7/18/24,Failure to provide monthly photographs for all wastewater ponds as required by Table 1 of Monitoring Requirements of the Monitoring and Reporting Program.,,,null,null,null,null,Kings,Lewis Lummen,null
3,Cuyama Dairy,Cuyama Dairy,3 420112038,1137760,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,11/1/23,Failure to submit 2022 and 2023 monitoring reports,,,459473,Notice of Violation,null,11/26/24,Santa Barbara,Cecile  Blancarte,null
5S,Schroer Dairy Trust,Sierra Rose Dairy,5A04NC00035,1138538,Order Conditions,B,ANIWSTCOWS,Violation,11/6/24,Excessive manure in corrals. Corrals are not graded to promote drainage per Reissued Dairy General Order No. R5-2013-0122. Production Area Specification D. 1 and D. 6,,,459569(+),Notice of Violation,null,11/7/24,Butte,Sean  Walsh,null
5S,Schroer Dairy Trust,Sierra Rose Dairy,5A04NC00035,1138571,Order Conditions,B,ANIWSTCOWS,Violation,11/6/24,Less than 1-foot freeboard at the primary wastewater storage lagoon per Reissued Dairy General Order No. R5-2013-0122. Pond Specification C. 1.,,,459569,Notice of Violation,null,11/7/24,Butte,Sean  Walsh,null
5F,"Martins, Jose & Fatima",J & F Martins Dairy #2,5C10NC00091,1139068,Order Conditions,B,ANIWSTCOWS,Violation,6/12/23,"An engineering report demonstrating that the capacity of the wastewater retention system at the Dairy is sufficient to retain all wastewater generated, together with all precipitation on and drainage through manured areas, up to and including a 25-year, 24-hour storm event, has not been submitted as required by Attachment B, Section II and Schedule of Tasks J.1 and Table 1.",,,null,null,null,null,Fresno,Jameela Zaghmouri,6/12/23
5F,Fontes Dairy Farms,Fontes Dairy Farms-Dairy 2,5C10NC00116,1139143,Deficient Monitoring,B,ANIWSTCOWS,Violation,5/2/23,"Plant tissue sample results for four crops were not included in the 2020 Annual Report, which is a violation of the MRP, Table 2, Nutrient Monitoring. The 2023 Annual Report submitted on 26 June 2024 was reviewed and showed corrected nutrient monitoring practices. This violation has been resolved.",,,null,null,null,null,Fresno,Jameela Zaghmouri,5/2/23
5F,"De Groot, Peter J",John DeGroot and Son LP,5D105049N01,1139144,Deficient Monitoring,B,ANIWSTCOWS,Violation,2/8/24,"Laboratory analyses for general minerals were not documented within the last five years, as required by the MRP, Table 4, Groundwater Monitoring, Domestic and Agricultural Supply Wells. The 2023 Annual Report submitted on 18 June 2024 was reviewed and showed laboratory analyses for general mineral samples were done on 7 February 2024. This violation has been resolved.",,,null,null,null,null,Fresno,Jameela Zaghmouri,2/8/24
5F,"De Groot, Peter J",John DeGroot and Son LP,5D105049N01,1139145,Deficient Monitoring,B,ANIWSTCOWS,Violation,2/8/24,"Laboratory analyses for electric conductivity were not documented for 2021, as required by the MRP, Table 4, Groundwater Monitoring, Domestic and Agricultural Supply Wells. The 2023 Annual Report submitted on 18 June 2024 was reviewed and showed laboratory analyses for electric conductivity samples were done on 7 February 2024. This violation has been resolved.",,,null,null,null,null,Fresno,Jameela Zaghmouri,2/8/24
5F,"Monteiro, Manuel & Mike",Lakeside Dairy,5C16NC00133,1139186,Order Conditions,B,ANIWSTCOWS,Violation,6/18/24,"Irrigation wells had insufficient backflow prevention in the form of an air gap, in violation of Prohibition A.12. ",,,459829,Notice of Violation,null,1/28/25,Kings,Lewis Lummen,6/18/24
5F,"Monteiro, Manuel & Mike",Lakeside Dairy,5C16NC00133,1139187,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,6/18/24,"An insufficient Nutrient Management Plan was produced during the inspection process, in violation of Land Application Area Specifications A.1 and Attachment D of the Digester General Order ",,,459829,Notice of Violation,null,1/28/25,Kings,Lewis Lummen,null
5F,"Monteiro, Manuel & Mike",Lakeside Dairy,5C16NC00133,1139188,Order Conditions,B,ANIWSTCOWS,Violation,6/18/24,"The Dairy was utilizing low spots and manure drying are as solid separating basins that were not declared as wastewater ponds, in violation of Prohibitions A.4.",,,459829,Notice of Violation,null,1/28/25,Kings,Lewis Lummen,null
5S,Vitorino & Sons Dairy,Vitorino & Sons Dairy,5B50NC00246,1139217,Enforcement Action,B,ANIWSTCOWS,Violation,12/11/24,#NAME?,,,459791,Notice of Violation,null,1/28/25,Stanislaus,Lamyae Zinebi,null
