Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Number of 10-ton Hauls for Analysis,Number of 20-ton Hauls for Analysis
2024AR_Western Sky Dairy,1c,178,178,Western Sky Dairy,18501 Old River Road Bakersfield CA 93311,35.186640974298,-119.110154042898,South Lake Road Bakersfield CA,Destination Address,Farmer,35.12567407127,-119.262154516393,2024-07-01,2024-07-31,False,,,,9413.0,-64.0,588,177
2024AR_Westwind Dairy,1a,61,61,Westwind Farms,6221 Bear Mountain Blvd Bakersfield CA 93313,35.208697244624,-119.067740433664,Po Box 81498 Bakersfield CA,Destination Address,Farmer,,,2024-07-01,2024-07-31,False,,,,4593.0,-67.0,287,86
2024AR_Westwind Dairy,1b,61,61,Westwind Farms,6221 Bear Mountain Blvd Bakersfield CA 93313,35.208697244624,-119.067740433664,Po Box 81498 Bakersfield CA,Destination Address,Farmer,,,2024-08-01,2024-08-31,False,,,,5691.0,-64.0,355,107
2024AR_Westwind Dairy,1c,61,61,Westwind Farms,6221 Bear Mountain Blvd Bakersfield CA 93313,35.208697244624,-119.067740433664,Po Box 81498 Bakersfield CA,Destination Address,Farmer,,,2024-10-01,2024-10-31,False,,,,5607.0,-68.0,350,105
2024AR_Antonio Garcia Dairy_6571 Fargo Ave_Kings,1,79,80,Antonio Garcia Dairy,6571 Fargo Ave Hanford Kings 93230,36.357001986521,-119.574860008235,15336 10Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.249779381906,-119.637257912959,,2024-02-16,False,,,,300.0,62.6,19,6
2024AR_Antonio Garcia Dairy_6571 Fargo Ave_Kings,2,81,82,Antonio Garcia Dairy,6571 Fargo Ave Hanford Kings 93230,36.357001986521,-119.574860008235,15336 10Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.249779381906,-119.637257912959,,2024-04-08,False,,,,200.0,62.6,12,4
2024AR_Backroad Ranch #2_4119 Houston Ave_Kings,1,17,18,Back Road # 2,4119 Houston Avenue Hanford CA 93230,36.298568302905,-119.532790900922,West Coast And Gravet,Destination Address,Composting Facility,,,2024-10-04,2024-11-28,False,,,,1280.0,47.1,80,24
2024AR_Bill Idsinga Dairy_4595 Houston Ave_Kings,1,33,33,Bill Idsinga Dairy,4595 Houston Ave. Hanford 93230,36.298475263779,-119.540688833008,,,Other,,,2024-06-01,2024-07-01,False,,,,3000.0,,187,56
2024AR_C&R Dairy_15336 10th Ave_Kings,1,49,49,C&R Dairy,15336 10Th Ave. Hanford 93230,36.249779381906,-119.637257912959,,,Other,,,2024-01-01,2024-12-31,False,,,,4900.0,,306,92
2024AR_Contente & Co Dairy_7900 15th Ave_Kings,1,156,157,Contente And Company,7900 15Th Ave. Hanford. 93230,36.358870899472,-119.727286258585,13Th Ave & Grangeville Blvd Hanford 93230,Destination Address,Other,36.342616419467,-119.691050369149,,2024-09-28,False,,,,1000.0,,62,19
2024AR_Contente & Co Dairy_7900 15th Ave_Kings,2,158,159,Contente And Company,7900 15Th Ave. Hanford. 93230,36.358870899472,-119.727286258585,14Th Ave & Flint Ave Hanford 93230,Destination Address,Other,36.371713693427,-119.708953779055,,2024-09-26,False,,,,1200.0,,75,23
2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,1,66,67,Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,27887 Jackson Ave Lemoore 93245,Destination Address,Other,36.255467780087,-119.956871553938,2024-01-01,2024-12-31,False,,,,7400.0,,462,139
2024AR_E Mendes Dairy_23568 Fargo Ave_Kings,1,38,39,E. Mendes Dairy,23568 Fargo Ave Lemoore Kings 93245,36.35877492668,-119.879403384346,19721 Excesisior Riverdale 93656 Stockpile Fresno,Destination Address,Broker,36.40155859124,-119.810950979502,,2024-06-22,False,,,,2800.0,73.1,175,53
2024AR_Flatland Farms LLC_8483 15th Ave_Kings,1,49,50,Flatland Farms LLC,8431 15th Ave Hanford 93230,36.350695065386,-119.726593410469,5835 13th Ave Hanford 93230,Destination Address,Other,36.388416018518,-119.68953181975,2024-01-01,2024-12-31,False,,,,4700.0,85.0,293,88
2024AR_Flint Dairy_6511 Flint Ave_Kings,1,150,151,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,13085 S Zediker Ave Kingsburg 93631 Fresno,Destination Address,Farmer,36.545922456563,-119.522070865856,,2024-01-01,False,,,,350.0,24.4,22,7
2024AR_Flint Dairy_6511 Flint Ave_Kings,2,152,153,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,92 Po Box Kingsburg 93631 Fresno,Destination Address,Farmer,,,,2024-01-09,False,,,,450.0,24.4,28,8
2024AR_Flint Dairy_6511 Flint Ave_Kings,3,154,155,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,5520 Flint Ave Hanford 93230 Kings,Destination Address,Farmer,36.372092722142,-119.556338563439,,2024-01-13,False,,,,500.0,24.4,31,9
2024AR_Flint Dairy_6511 Flint Ave_Kings,4,156,157,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,363 N 5Th Ave Kingsburg 93631 Fresno,Destination Address,Farmer,36.481844441258,-119.544413918417,,2024-02-02,False,,,,570.0,24.4,36,11
2024AR_Flint Dairy_6511 Flint Ave_Kings,5,158,159,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,10741 Flint Ave Hanford 93230 Kings,Destination Address,Farmer,36.371829772885,-119.651068735209,,2024-03-14,False,,,,50.0,24.4,3,1
2024AR_Flint Dairy_6511 Flint Ave_Kings,6,160,161,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,5230 9Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.397910158335,-119.619420133354,,2024-04-11,False,,,,400.0,24.4,25,8
2024AR_Flint Dairy_6511 Flint Ave_Kings,7,162,163,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,10367 Houston Ave Lemoore 93245 Kings,Destination Address,Farmer,36.298510285772,-119.64364297696,,2024-05-13,False,,,,2300.0,24.4,144,43
2024AR_Flint Dairy_6511 Flint Ave_Kings,8,164,165,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,5230 9Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.397910158335,-119.619420133354,,2024-05-13,False,,,,2000.0,24.4,125,38
2024AR_Flint Dairy_6511 Flint Ave_Kings,9,166,167,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,5415 Boston Ave Kingsburg 93631 Fresno,Destination Address,Farmer,36.485672204981,-119.553887564481,,2024-08-29,False,,,,800.0,24.3,50,15
2024AR_Flint Dairy_6511 Flint Ave_Kings,10,168,169,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,14803 Grangeville Blvd Hanford 93230 Kings,Destination Address,Farmer,36.340715278099,-119.723741551733,,2024-09-18,False,,,,1400.0,24.4,87,26
2024AR_Flint Dairy_6511 Flint Ave_Kings,11,170,171,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,14803 Grangeville Blvd Hanford 93230 Kings,Destination Address,Farmer,36.340715278099,-119.723741551733,,2024-10-10,False,,,,800.0,24.3,50,15
2024AR_Flint Dairy_6511 Flint Ave_Kings,12,172,173,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,13085 S Zediker Ave Kingsburg 93631 Fresno,Destination Address,Farmer,36.545922456563,-119.522070865856,,2024-12-23,False,,,,400.0,24.3,25,8
2024AR_Flint Dairy_6511 Flint Ave_Kings,17,182,183,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7745 E Sandymush Merced 95341 Merced,Destination Address,Farmer,37.183162512809,-120.355104804204,,2024-12-24,False,,,,3970.8,56.9,248,75
2024AR_Georgenson Dairy_8519 24th Ave_Kings,1,34,35,Georgeson Dairy,8519 24Th Ave Lemoore Kings 93245,36.350787811145,-119.886644929595,Riverdale 93656 Stockpile Fresno,Destination Address,Broker,,,,2024-06-20,False,,,,8200.0,61.0,512,154
2024AR_J & A Dairy LLC_16283 18th Avenue_Kings,1,23,24,J And A Dairy,16283 18Th Avenue Lemoore CA 93245,36.235996976605,-119.780187131735,Kent Ave & 18Th Ave Lemoore 93245,Destination Address,Other,36.225838990056,-119.780329959365,,2024-04-03,False,,,,1650.0,66.8,103,31
2024AR_Jaques & Silva Dairy_10536 6th Ave_Kings,1,86,87,Jaques & Silva Dai,10536 6Th Ave Hanford Kings 93230,36.319968391359,-119.565878882802,Hanford 93230 Lace Fresno,Destination Address,Broker,,,,2024-10-05,False,,,,1850.0,52.5,116,35
2024AR_Milkaholic Dairy LLC_6267 5th Ave_Kings,1,33,34,Milkaholic Dairy LLC,6267 5Th Ave. Hanford CA 93230,36.381106496035,-119.54489151926,,,Farmer,,,2024-04-10,2024-04-11,False,,,,1420.0,79.5,89,27
2024AR_Moonstone Dairy_1305 Iona Avenue_Kings,1,93,93,Moonstone Dairy.,4974 Ave. 272 Visalia CA 93277,36.285200424625,-119.452160009859,#5 Visalia 93277,Destination Address,Other,36.2953941,-119.3129134,2024-08-19,2024-08-21,False,,20.0,99.0,1980.0,,0,99
2024AR_Parreira Dairy_18081 17th Ave_Kings,1,38,39,Joe Parreira Dairy,18081 17Th Avenue Stratford 93266,36.210090567456,-119.761879043543,960 N San Antonio Rd Los Altos CA 94022,Destination Contact Address,Other,37.399236996378,-122.114846986772,,2024-09-08,False,,,,1000.0,71.2,62,19
2024AR_River Ranch Dairy_6155 Jackson Ave_Kings,1,57,58,River Ranch Dairy,6155 Jackson Ave. Hanford 93230,36.254596126384,-119.566076192803,1654 Oriole St. Hanford 93230,Destination Contact Address,Broker,36.311632840108,-119.672058820572,2024-03-25,2024-11-13,False,,,,1534.71,74.8,96,29
2024AR_River Ranch Dairy_6155 Jackson Ave_Kings,2,59,60,River Ranch Dairy,6155 Jackson Ave. Hanford 93230,36.254596126384,-119.566076192803,13802 Avenue 352 Visalia 93292,Destination Address,Broker,36.430257389522,-119.264641245485,2024-08-28,2024-12-31,False,,,,6967.24,48.1,435,131
2024AR_S&A Dairy_13243 Houston Ave_Kings,1,28,28,S&A Daini,13243 Houston Ave. Hanford 93230,36.29456921308,-119.695972893246,13243 Houston Ave. Hanford 93230,Destination Contact Address,Other,36.29456921308,-119.695972893246,2024-01-01,2024-12-31,False,,,,6800.0,,425,128
2024AR_The Dairy Inc_6240 21st Ave_Kings,1,34,35,The Dairy INC.,6240 21St Avenue Lemoore CA 93245,36.384142924279,-119.834396336151,2011 Excelsior Ave Riverdale 93656,Destination Contact Address,Composting Facility,36.402057179181,-119.798518268017,2024-06-17,2024-06-29,False,,10.0,,1650.0,65.2,103,31
2024AR_The Dairy Inc_6240 21st Ave_Kings,2,36,37,The Dairy INC.,6240 21St Avenue Lemoore CA 93245,36.384142924279,-119.834396336151,2011 Excelsior Ave Riverdale 93656,Destination Contact Address,Other,36.402057179181,-119.798518268017,2024-11-13,2024-11-24,False,,10.0,,2650.0,75.0,165,50
2024AR_Vitor Borba Dairy #2_16452 11th Ave_Kings,1,30,30,Vitor Borba Dairy #2,16452 11Th Ave. Hanford 93230,36.233734994304,-119.655314292598,Fagundes East Hanford 93230,Destination Address,Other,36.3309569,-119.6646204,2024-10-07,2024-10-10,False,,20.0,160.0,3200.0,,0,160
2024AR_West Creek Dairy_8409 5th Ave_Kings,1,77,78,Westcreek Dairy,8409 5Th Ave Hanford 93230,36.355099671686,-119.543932042804,7Th Ave & Elder Ave Hanford 93230,Destination Address,Other,36.38661001175,-119.5830229761,2024-09-08,2024-09-13,False,,,,1310.0,,82,25
2024AR_West Creek Dairy_8409 5th Ave_Kings,2,79,80,Westcreek Dairy,8409 5Th Ave Hanford 93230,36.355099671686,-119.543932042804,7Th Ave & Elder Ave Hanford 93230,Destination Address,Other,36.38661001175,-119.5830229761,2024-10-10,2024-10-15,False,,,,2140.0,,134,40
2024AR_West Creek Dairy_8409 5th Ave_Kings,3,81,81,Westcreek Dairy,8157 5Th Ave Hanford CA 93230,36.355360139327,-119.546658592088,Westcoast 7715 Ave. 296 Visalia CA 93291,Destination Address,Composting Facility,36.323201920056,-119.405499044529,2024-08-11,2024-08-12,False,,,,1512.0,,94,28
2024AR_West Creek Dairy_8409 5th Ave_Kings,4,82,83,Westcreek Daim,8157 5Th Ave Hanford CA 93230,36.355360139327,-119.546658592088,9917 Ave 296 Visalia CA 93291,Destination Contact Address,Composting Facility,36.327708320165,-119.44861998483,,2024-11-18,False,,,,1110.0,,69,21
100 S Quinley Ave Merced 2024 Dairy AR,1,89,90,Matos Dairy,100 S. Quinley Ave Merced 95340,37.285831229429,-120.596449468563,"059-220-003,059-220-015",Destination Assessor Parcel Number,Other,37.919116,-120.413686,2024-05-23,2024-05-24,False,,12.0,,5580.0,43.94,348,105
"201 Dairy Rd, Davis 2024 Dairy AR",1,56,57,Uc Davis Dairy,Dairy Road Davis 95616,38.536748571559,-121.758880695727,28800 County Road 29 Winters 95694,Destination Address,Other,38.591779940106,-121.974337539624,2024-06-15,2024-10-26,False,,,,8235.0,,514,155
227 W El Nido Rd El Nido 2024 Dairy AR,1,41,42,Azevedo Dairy #3,227 W El Nido Rd El Nido Merced 95317,37.134568722516,-120.496777324237,"P.O. Box 149 El Nido, CA 95317 Coyote Rd",Destination Address,Broker,,,,2024-07-11,False,,24.0,335.0,8040.0,0.635,0,335
227 W El Nido Rd El Nido 2024 Dairy AR,2,43,44,Azevedo Dairy #3,227 W El Nido Rd El Nido Merced 95317,37.134568722516,-120.496777324237,"P.O. Box 149 El Nido, CA 95317 Coyote Rd",Destination Address,Broker,,,,2024-11-20,False,,24.0,109.0,2616.0,0.635,0,109
337 N Gates Rd MOdesto 2024 Dairy AR,2,35,36,Jelle Van Der Hoek,337 Gates Rd Modesto Stanislaus 95358,37.641822475773,-121.159411948714,,,Farmer,,,,2024-06-28,False,,10.0,21.0,210.0,0.621,21,0
337 N Gates Rd MOdesto 2024 Dairy AR,4,40,41,Jelle Van Der Hoek,337 Gates Rd Modesto Stanislaus 95358,37.641822475773,-121.159411948714,900 Meredith Ave Gustine 95322,Destination Address,Broker,37.24919296673,-121.003727736419,,2024-05-07,False,,10.0,48.0,480.0,0.833,48,0
"501 S Story Rd, Turlock 2024 Dairy AR",10,46,47,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,2324 Villa Manucha Newman 95360,Destination Address,Other,37.365262041504,-121.022008751064,,2024-12-02,False,,10.0,204.0,2040.0,-11.0,204,0
505 E Washington Rd El Nido 2024 Dairy AR,1,377,378,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988713551,-120.483451271655,505 E Washington Rd El Nido 95317 Merced Merced,Destination Address,Farmer,37.111988713551,-120.483451271655,,2024-09-25,False,,,,1638.0,0.835,102,31
505 E Washington Rd El Nido 2024 Dairy AR,2,379,380,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988713551,-120.483451271655,505 E Washington Rd El Nido 95317 Merced Merced,Destination Address,Farmer,37.111988713551,-120.483451271655,,2024-09-26,False,,,,492.0,0.835,31,9
505 E Washington Rd El Nido 2024 Dairy AR,3,381,382,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988713551,-120.483451271655,505 E Washington Rd El Nido 95317 Merced Merced,Destination Address,Farmer,37.111988713551,-120.483451271655,,2024-10-13,False,,,,1758.0,0.835,110,33
505 E Washington Rd El Nido 2024 Dairy AR,4,383,384,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988713551,-120.483451271655,505 E Washington Rd El Nido 95317 Merced Merced,Destination Address,Farmer,37.111988713551,-120.483451271655,,2024-10-01,False,,,,1554.0,0.835,97,29
505 E Washington Rd El Nido 2024 Dairy AR,5,385,386,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988713551,-120.483451271655,505 E Washington Rd El Nido 95317 Merced Merced,Destination Address,Farmer,37.111988713551,-120.483451271655,,2024-10-07,False,,,,864.0,0.835,54,16
508 W Roosevelt Rd El Nido 2024 Dairy AR,1,117,118,Hath Dairy,508 W Roosevelt Rd El Nido Merced 95317,37.143631068591,-120.501311598579,,,Farmer,,,,2024-08-30,False,,,,600.0,0.941,37,11
508 W Roosevelt Rd El Nido 2024 Dairy AR,2,119,120,Hath Dairy,508 W Roosevelt Rd El Nido Merced 95317,37.143631068591,-120.501311598579,1021 W El Nido Rd El Nido 95317 Merced,Destination Address,Farmer,37.134685440517,-120.510670496389,,2024-11-11,False,,,,1520.0,0.97,95,29
519 E Stuhr Rd Newman 2024 Dairy AR,1,36,37,Antone L. Gomes & Sons,515 E. Stuhr Road Newman Ca 95360,37.33317083555,-121.019162927297,Stuhr Road Newman Ca 85340 Assessor'S Parcel,Destination Address,Other,37.3330662,-121.0344432,,2024-06-03,False,,,,504.0,,31,9
519 E Stuhr Rd Newman 2024 Dairy AR,2,38,39,Antone Leonard Gomes And Sons,515 E Stuhr Road Newman Ca 95360,37.33317083555,-121.019162927297,2324 Villa Manucha Road Newman Ca 95360,Destination Address,Other,37.365262041504,-121.022008751064,,2024-11-18,False,,12.0,130.0,1560.0,,130,0
"619 S Vincent Rd, Turlock 2024 Dairy AR",1,34,35,Lorinda/Machado/Azevedo Farms,619 S. Vincent Road Turlock Stanislaus 95380,37.486527770519,-120.776380682726,Turlock 95380 East Avenue & Verduga Avenue Stanislaus,Destination Address,Farmer,37.492627993921,-120.807756996158,,2024-05-01,False,,,,1339.0,0.745,84,25
724 Ruble Rd Crows Landing 2024 Dairy AR,1,47,48,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-022-022,Destination Assessor Parcel Number,Other,37.46935,-121.005674,,2024-09-03,False,,12.0,,812.0,74.1,51,15
921 W Sandy Mush Rd Merced 2024 Dairy AR,1,27,28,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,37.185610908636,-120.50838927762,1510 Washington Rd El Nido 94317 Merced,Destination Address,Composting Facility,37.113177550242,-120.523349355607,,2024-01-17,False,,,,1232.0,0.276,77,23
921 W Sandy Mush Rd Merced 2024 Dairy AR,2,29,30,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,37.185610908636,-120.50838927762,1510 Washington El Nido 94317 Merced,Destination Address,Composting Facility,37.113177550242,-120.523349355607,,2024-01-17,False,,,,176.0,0.276,11,3
921 W Sandy Mush Rd Merced 2024 Dairy AR,3,31,32,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,37.185610908636,-120.50838927762,1510 Washington El Nido 94317 Merced,Destination Address,Composting Facility,37.113177550242,-120.523349355607,,2024-04-18,False,,,,396.0,0.276,25,7
921 W Sandy Mush Rd Merced 2024 Dairy AR,4,33,34,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,37.185610908636,-120.50838927762,1510 Washington El Nido 94317 Merced,Destination Address,Composting Facility,37.113177550242,-120.523349355607,,2024-05-17,False,,,,440.0,0.276,27,8
921 W Sandy Mush Rd Merced 2024 Dairy AR,5,35,36,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,37.185610908636,-120.50838927762,1510 Washington El Nido 94317 Merced,Destination Address,Composting Facility,37.113177550242,-120.523349355607,,2024-06-28,False,,,,229.0,0.276,14,4
921 W Sandy Mush Rd Merced 2024 Dairy AR,6,37,38,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,37.185610908636,-120.50838927762,5175 Shaw Winton 95355 Merced,Destination Address,Composting Facility,37.425366280333,-120.579112088577,,2024-08-01,False,,,,163.0,0.276,10,3
921 W Sandy Mush Rd Merced 2024 Dairy AR,7,39,40,T & C Louters Dairy,921 W Sandy Mush Rd Merced Merced 95341,37.185610908636,-120.50838927762,1510 Washington El Nido 94317 Merced,Destination Address,Composting Facility,37.113177550242,-120.523349355607,,2024-12-03,False,,,,462.0,0.235,29,9
931 S Blaker Rd Turlock 2024 Dairy AR,1,34,35,Dematos Dairy,931 S Blaker Rd Turlock Stanislaus 95380,37.484397090731,-120.967675829757,Hilmar 95324 Williams Ave Stanislaus,Destination Address,Broker,37.389863795747,-120.863283625579,,2024-11-12,False,,,,560.0,0.41,35,11
"1000 N Mitchell Rd, Turlock 2024 Dairy AR",1,83,84,Carl + Laurie Vieira Dairies,1000 N. Mitchell Rd. Turlock 95380,37.50214966829,-120.940239262274,2324 Villa Manucha Rd. Newman 95360,Destination Address,Other,37.365262041504,-121.022008751064,,2024-03-22,False,,10.0,128.0,1280.0,-29.5,128,0
"1000 N Mitchell Rd, Turlock 2024 Dairy AR",2,85,86,Carl + Laurie Vieira Dairies,1000 N. Mitchell Rd. Turlock 95380,37.50214966829,-120.940239262274,2324 Villa Manucha Rd. Newman 95360,Destination Address,Other,37.365262041504,-121.022008751064,,2024-08-03,False,,10.0,102.0,1020.0,-6.2,102,0
1007 S Hart Rd Modesto 2024 Dairy AR,1,70,71,Frank Gwerder Dairy Inc.,1007 S. Hart Rd. Modesto 95358,37.62778144685,-121.124126567097,5737 California Ave. Modesto 95358,Destination Address,Other,37.624112268735,-121.098543070768,,2024-03-09,False,,10.0,60.0,600.0,-70.0,60,0
1007 S Hart Rd Modesto 2024 Dairy AR,2,73,74,Frank Gwerder Dairy Inc.,1007 S Hart Rd Modesto,37.62778144685,-121.124126567097,012-050-005,Destination Assessor Parcel Number,Other,39.638568,-120.540996,,2024-11-03,False,,10.0,42.0,420.0,-28.7,42,0
1018 Hickman Rd Turlock 2024 Dairy AR,1,38,39,Garcia's Registered Jerseys,1018 Hickman Rd Turlock 95380,37.502209724627,-120.756996358166,4618 N. Montpelier Rd. Denair 95316,Destination Address,Other,37.535437893837,-120.69666333529,,2024-12-20,False,,,,1400.0,-12.0,87,26
1100 Ruble Rd Crows Landing 2024 Dairy AR,1,62,63,Albert Mendes Dairy,1100 Ruble Rd Crows Landing Stanislaus 95313,37.487743356027,-121.018398833004,,,Farmer,,,,2024-05-31,False,,,,1470.0,0.404,92,28
1100 Ruble Rd Crows Landing 2024 Dairy AR,2,64,65,Albert Mendes Dairy,1100 Ruble Rd Crows Landing Stanislaus 95313,37.487743356027,-121.018398833004,,,Farmer,,,,2024-06-03,False,,,,1380.0,0.404,86,26
"1131 Story Rd, Turlock 2024 Dairy AR",1,19,20,T&L Family Dairy LLC (Da Rosa Facility),1131 Story Road Turlock Ca 95380,37.481874540925,-120.789748988488,224 S. Roselawn Ave Turlock 95380,Destination Address,Farmer,37.490211239779,-120.798393069207,,2024-05-13,False,,,,1100.0,0.965,69,21
1142 N Hart Rd Modesto 2024 Dairy AR,1,92,93,Kerburg & Son Dairy,1142 N. Hart Road Modesto 95358,37.649765125313,-121.122068139316,4848 Jackson Rd. Modesto 95358,Destination Address,Other,37.708481991528,-121.130542997797,2024-06-11,2024-06-13,False,,,,730.0,,46,14
1142 N Hart Rd Modesto 2024 Dairy AR,2,94,95,Kerburg & Son Dairy,1142 Halt Rd Modesto 95358,,,Tas Burd 3619 Shoemake Ave Modesto 95358,Destination Address,Other,37.667754952641,-121.061768308776,2024-07-01,2024-07-02,False,,,,1820.0,,114,34
1142 N Hart Rd Modesto 2024 Dairy AR,3,96,97,Kerburg & Son Dairy,1142 Halt Rd Modesto 95358,,,012 029 001 000,Destination Assessor Parcel Number,Other,37.658698,-121.120908,2024-10-29,2024-10-30,False,,,,50.0,,3,1
1257 W Roosevelt Rd El Nido 2024 Dairy AR,1,33,34,Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,37.141921914714,-120.514888689162,El Nido 95317 Coyote Rd Merced,Destination Address,Broker,37.098384004598,-120.510214017942,,2024-03-27,False,,24.0,56.0,1344.0,46.0,0,56
1257 W Roosevelt Rd El Nido 2024 Dairy AR,2,35,36,Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,37.141921914714,-120.514888689162,El Nido 95317 Coyote Rd Merced,Destination Address,Broker,37.098384004598,-120.510214017942,,2024-07-04,False,,24.0,418.5,10044.0,23.4,0,418
1257 W Roosevelt Rd El Nido 2024 Dairy AR,3,37,38,Antonio Azevedo Dairy # 4,1257 W Roosevelt Rd El Nido Merced 95317,37.141921914714,-120.514888689162,El Nido 95317 Coyote Rd Merced,Destination Address,Broker,37.098384004598,-120.510214017942,,2024-11-22,False,,24.0,95.0,2280.0,46.0,0,95
1343 Magnolia Ave Patterson 2024 Dairy AR,1,45,46,Azevedo Dairy INC.,1337 Magnolia Avenue Patterson CA 95363,37.515853535158,-121.131407674929,1343 Magnolia Avenue Patterson 95363,Destination Address,Farmer,37.516358796282,-121.131611774271,,2024-05-18,False,,,,1200.0,81.3,75,23
1343 Magnolia Ave Patterson 2024 Dairy AR,2,47,48,Azevedo Dairy INC.,1337 Magnolia Avenue Patterson CA 95363,37.515853535158,-121.131407674929,1343 Magnolia Avenue Patterson 95363,Destination Address,Farmer,37.516358796282,-121.131611774271,,2024-10-28,False,,,,1500.0,91.3,94,28
1369 S Hunt Rd Gustine 2024 Dairy AR,1,50,51,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,37.269334931518,-120.996679058763,1275 North Ave Gustine 95322 Merced,Destination Address,Composting Facility,37.260716449125,-121.007144535429,,2024-12-15,False,,,,1650.0,59.6,103,31
1369 S Hunt Rd Gustine 2024 Dairy AR,2,52,53,Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,37.269334931518,-120.996679058763,29120 Fentem Rd Gustine 95322 Merced,Destination Address,Farmer,37.260487413621,-121.016121469911,,2024-05-07,False,,,,2520.0,32.0,157,47
"1431 N Central Ave, Turlock 2024 Dairy AR",1,58,59,Alden Peterson & Sons Dairy,1431 N. Central Ave. Turlock CA 95380,37.506513789998,-120.958869802281,022-022-013,Destination Assessor Parcel Number,Other,35.571275,-121.108489,,2024-04-18,False,,12.0,,1056.0,71.9,66,20
"1431 N Central Ave, Turlock 2024 Dairy AR",2,60,61,Alden Peterson & Sons Dairy,1431 N. Central Ave. Turlock CA 95380,37.506513789998,-120.958869802281,022-022-013,Destination Assessor Parcel Number,Other,35.571275,-121.108489,,2024-09-18,False,,12.0,,700.0,71.9,44,13
1439 Albers Rd Modesto 2024 Dairy AR,1,121,121,Postma Dairy,1439 Albers Road Modesto CA 95357,37.660611098474,-120.85717761929,014-009-013,Destination Assessor Parcel Number,Other,35.628068,-120.703518,,2024-05-10,False,,10.0,52.0,920.0,74.3,52,0
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,1,15,16,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,37.505571622171,-121.013470944489,"022-035-012,022-035-006,022-036-018,022-036-019,022-036-016,022-033-006,022-033-007,022-033-008,022-034-011,022-034-013,022-034-013,022-034-014,022-034-015,022-034-016,022-034-017,022-036-023,022-033-002,022-034-004,058-001-015,022-037-004,058-002-003",Destination Assessor Parcel Number,Other,37.50229,-121.008182,2024-04-12,2024-05-05,False,,12.0,,4860.0,66.1,303,91
