Dairy Name,Dairy Address,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Estimated Total Manure (tons),USDA Nitrogen Estimate (lbs),UCCE Nitrogen Estimate (lbs),Wastewater to Milk Ratio,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Estimated Milk Production (lb per cow per day),Estimated Milk Production (kg per cow),Estimated Milk Production (L per cow),Estimated Annual Milk Production (L),Milk Production Discrepancy (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted-for N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted-for P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted-for K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted-for Salt (lbs),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),Milk Production Source,Calculated Manure Factor,Nitrogen Discrepancy,Wastewater Ratio Discrepancy,Manure Factor Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation
Henry Veenendaal Dairy L.P.,3678 Houston Ave. Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,275375.87,0.0,0.0,0.0,0.0,0.0,132760.91,15170.68,86881.27,637802.38,0,0,0,0,22200.0,0,0,0,132760.91,0,0,0,1.14,0,0,0,2023AR_Henry Veenendaal Dairy_3678 Houston Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154960.91,408136.78,253175.87000000002,0,15170.68,15170.68,0,86881.27,86881.27,0,637802.38,637802.38,0.0,0.0,Estimated,0.0,-275375.87,0.0,0.0,-100.0,-100.0
Paulo Bros Dairy,13245 9th AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,1.0,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.03,0,0,0,2023AR_P&E #2 Dairy_13245 9th Avenue_Kings.pdf,0.0,0.0,0.0,0,0.453592,0.46719976,0.0,1.0,0.453592,0.46719976,0.0,0.0,0.0,0.0,0.7,0.7,0,1.0,1.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-0.7,0.0,0.0,-100.0,-100.0
Flint Dairy,6511 Flint Ave. Hanford Kings 93230,2400.0,0,0,0,0,0,2390.0,0,0,0,0,0,,81409.12,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441062.82,2084719.28,0,0,0,0,0.0,0,0,0,419209.26,0,0,0,1.28,0,0,0,2023AR_Flint Dairy_6511 Flint Avenue_Kings.pdf,9799.0,126603.08,872350.0,0,41.276872,42.51517816,37088115.667876,91.0,41.276872,42.51517816,37088115.667876,0.0,0.0,419209.26,0.0,-419209.26,0,0.0,0.0,0,441062.82,441062.82,0,2084719.28,2084719.28,0.0,0.0,Reported,34.06239330543933,126603.08,0.0,29.962393305439328,0.0,0.0
Mello D Jerseys,14803 Grangeville BLVD Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,217431.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,160581.19,0,0,0,1.16,0,0,0,2023AR_Mello D Jerseys_14803 Grangeville Boulevard_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160581.19,217431.99,56850.79999999999,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-217431.99,0.0,0.0,-100.0,-100.0
F&S Brasil,14315 Kent AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166501.91,56146.17,354388.77,1640747.48,0,0,0,0,0.0,0,0,0,166501.91,0,0,0,1.32,0,0,0,2023AR_F&S Brasil Dairy_14235 Kent Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166501.91,166501.91,0.0,0,56146.17,56146.17,0,354388.77,354388.77,0,1640747.48,1640747.48,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Jaques & Silva Dairy,10536 6th AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,346505.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,183645.83,0,0,0,1.2,0,0,0,2023AR_Jaques & Silva Dairy_10256 6th Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183645.83,346505.66,162859.83,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-346505.66,0.0,0.0,-100.0,-100.0
Eden-Vale Dairy,6944 21 1/2 AVE Lemoore Kings 93245,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2023AR_Eden-Vale Dairy_6944 21 1-2 Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Tony Cox Dairy #3,15410 Excelsior AVE Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,127446.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,185544.08,0,0,0,0.99,0,0,0,2023AR_Tony Cox Family Dairy #3_15410 Excelsior Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185544.08,127446.67,-58097.40999999999,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-127446.67,0.0,0.0,-100.0,-100.0
Georgeson Dairy,8519 24th AVE Lemoore Kings 93245,1225.0,0,0,0,0,0,1225.0,0,0,0,0,0,,39052.18,67.0,343811.29,491158.98,81022.69,232184.33,603235.5,0.0,64373.94,7197.68,54393.7,323486.0,0,0,0,0,0.0,0,0,0,64373.94,0,0,0,1.2,0,0,0,2023AR_Georgenson Dairy_8519 24th Avenue_Kings.pdf,5022.5,64890.7,447125.0,0,30.390664,31.30238392,13996078.41023,67.0,30.390664,31.30238392,13996078.41023,0.0,0.0,64373.94,408185.23,343811.29,0,88220.37,88220.37,0,286578.02999999997,286578.02999999997,0,926721.5,926721.5,0.0,0.0,Reported,31.8793306122449,-278920.58999999997,0.0,27.779330612244898,-81.12607064183378,30.049539676256714
,18280 Fairfax AVE,510.0,0,0,0,0,0,500.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,32435.63,191645.38,805215.36,0,0,0,0,25628.46,0,0,0,102462.77,0,0,0,1.26,0,0,0,2023AR_Daniel Brazil Dairy_18280 Fairfax Avenue_Kings.pdf,2050.0,26486.0,182500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128091.23000000001,102.0,-127989.23000000001,0,32435.63,32435.63,0,191645.38,191645.38,0,805215.36,805215.36,0.0,0.0,Estimated,0.0,26486.0,0.0,-4.1,0.0,0.0
_ Felicita Dairy,22154 Road 20 Tulare Kings 93274,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45077.33,6992.25,56276.03,315582.95,0,0,0,0,77529.4,0,0,0,45077.33,0,0,0,0.77,0,0,0,2023AR_Felicita Dairy_22154 Road 20_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122606.73,45077.33,-77529.4,0,6992.25,6992.25,0,56276.03,56276.03,0,315582.95,315582.95,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Sunshine Dairy (Anthony & Robert Brazil Dairy),13113 7th AVE Hanford Kings 93230,330.0,0,0,0,0,0,330.0,0,0,0,0,0,,12840.21,68.0,109442.33,156346.19,25683.12,62764.42,166878.0,0.0,100853.27,10664.49,61299.24,369800.33,0,0,0,0,109650.0,0,0,0,100853.27,0,0,0,1.26,0,0,0,2023AR_Anthony & Robert Brazil Dairy-Sunshine Dairy_13419 7th Avenue_Kings.pdf,1352.9999999999998,17480.76,120450.0,0,30.844256,31.769583680000004,3826646.3542560004,68.0,30.844256,31.769583680000004,3826646.3542560004,0.0,0.0,210503.27000000002,210295.6,-207.6700000000128,0,36347.61,36347.61,0,124063.66,124063.66,0,536678.3300000001,536678.3300000001,0.0,0.0,Reported,38.90972727272727,-91961.57,0.0,34.809727272727265,-84.02742339275855,10.057963860966774
J&D Wilson Dairy #2,23565 Grangeville BLVD Lemoore Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,427137.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22819.0,0,0,0,165470.59,0,0,0,1.04,0,0,0,2023AR_J&D Wilson Dairy #2_23535 Grangeville Boulevard_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188289.59,427137.63,238848.04,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,-427137.63,0.0,0.0,-100.0,-100.0
Alvaro Machado Dairy,5230 9th Ave AVE Hanford Kings 93230,875.0,0,0,0,0,0,865.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,17.0,0.0,0.0,0,0,0,0,0.0,0,0,0,83010.39,0,0,0,1.27,0,0,0,2023AR_Alvaro Machado Dairy_5230 9th Avenue_Kings.pdf,3546.4999999999995,45820.77999999999,315725.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83010.39,83.0,-82927.39,0,17.0,17.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,45820.77999999999,0.0,-4.1,0.0,0.0
,,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2023AR_Log Haven Dairy_7755 Fargo Ave_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
Fagundes Agribusiness Dairy,7546 8-1/2 AVE Hanford Kings 93230,1.0,0,0,0,0,0,1.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.12,0,0,0,2023AR_Fagundes Agribusiness Dairy_7546 8 1-2 Avenue_Kings.pdf,4.1,52.971999999999994,365.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,52.971999999999994,0.0,-4.1,0.0,0.0
Lone Oak Farms 1,13866 4th AVE Hanford Kings 93230,4870.0,0,0,0,0,0,4855.0,0,0,0,0,0,,177021.45,75.0,1525965.28,2179950.4,357214.57,945725.97,2350362.75,0.0,902169.45,88893.41,1010423.32,8358139.33,0,0,0,0,0.0,0,0,0,902169.45,0,0,0,1.13,0,0,0,2023AR_Lone Oak Farms Dairy #1_13866 4th Avenue_Kings.pdf,19905.5,257179.06,1772075.0,0,34.0194,35.039981999999995,62093476.102649994,75.0,34.0194,35.039981999999995,62093476.102649994,0.0,0.0,902169.45,2428134.73,1525965.28,0,446107.98,446107.98,0,1956149.29,1956149.29,0,10708502.08,10708502.08,0.0,0.0,Reported,36.461678681771374,-1268786.22,0.0,32.36167868177137,-83.14646713324959,16.128133662385817
Four Star Dairy,22401 20 RD Tulare Tulare 93274,2390.0,0,0,0,0,0,2390.0,0,0,0,0,0,,73218.85,71.0,654094.84,934421.2,154904.98,459277.28,1189717.5,0.0,99351.58,16625.04,119032.19,767371.74,0,0,0,0,143453.7,0,0,0,99351.58,0,0,0,0.97,0,0,0,2023AR_Four Star Dairy_18886 4th Ave_Kings.pdf,9799.0,126603.08,872350.0,0,32.205032,33.17118296,28936881.455156002,71.0,32.205032,33.17118296,28936881.455156002,0.0,0.0,242805.28000000003,753446.4199999999,510641.1399999999,0,171530.02000000002,171530.02000000002,0,578309.47,578309.47,0,1957089.24,1957089.24,0.0,0.0,Reported,30.63550209205021,-527491.76,0.0,26.53550209205021,-80.64453772483515,33.367509824722056
Sozinho Dairy 45,7205 Houston AVE Hanford Kings 93230,1085.0,0,0,0,0,0,1085.0,0,0,0,0,0,,33928.31,67.0,301967.22,431381.74,70361.72,205648.98,530418.0,0.0,135808.76,18084.58,105268.76,726027.6,0,0,0,0,0.0,0,0,0,135808.76,0,0,0,1.32,0,0,0,2023AR_Sozinho Dairy #5_7205 Houston Avenue_Kings.pdf,4448.5,57474.62,396025.0,0,30.390664,31.30238392,12396526.591918001,67.0,30.390664,31.30238392,12396526.591918001,0.0,0.0,135808.76,437775.98,301967.22,0,88446.3,88446.3,0,310917.74,310917.74,0,1256445.6,1256445.6,0.0,0.0,Reported,31.27033179723502,-244492.59999999998,0.0,27.170331797235022,-80.96660293127181,31.14834120074359
Contente & Company,7900 15th Ave Hanford Kings 93230,820.0,0,0,0,0,0,810.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46833.44,14137.96,111397.52,363549.1,0,0,0,0,53073.41,0,0,0,46833.44,0,0,0,0.58,0,0,0,2023AR_Contente & Company Dairy_7900 15th Avenue_Kings.pdf,3320.9999999999995,42907.31999999999,295650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99906.85,46833.44,-53073.41,0,14137.96,14137.96,0,111397.52,111397.52,0,363549.1,363549.1,0.0,0.0,Estimated,0.0,42907.31999999999,0.0,-4.1,0.0,0.0
