Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,ww_to_reported_milk,ww_to_estimated_milk,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content
Viot Calf Ranch,20330 Road 4 Chowchilla Madera 93610,3770.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181872.91,0,0,0,625929.73,625929.73,0,0,0,0.96,0,0,0,2023AR_Vlot Calf Ranch_20330 Road 4_Madera.pdf,0.0,0.0,0.0,3770.0,807802.64,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,199704.43999999997,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Double A Dairy,19436 S East AVE Laton Fresno 93242,0.0,0,0,0,0,0,,1.0,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_VIP Cattle_19436 S East Ave_Fresno.pdf,0.453592,0.46719976,0.0,0.0,0.0,0.7,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25840.0,0.0,25839.3,3691328.571428572,-100.0,3691328.571428572,-100.0,,,,,,,,,,,,,,,
BIG DE DAIRY LP,2947 W Manning AVE Fresno Fresno 93706,1147.0,0,0,0,0,0,,47060.71,78.0,401001.22,572858.88,94385.59,225689.72,571798.05,40320000.0,96597.05,20709.75,124968.71,703102.97,37210.19,0,0,0,96597.05,96597.05,0,0,0,1.07,0,0,0,2023AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno.pdf,35.380176,36.44158128,15256450.2107784,1147.0,133807.24,497598.26999999996,0.0,0,115095.34,0.0,0,350658.43,0.0,0,1274901.02,0.0,152627731.20000002,10.004144417039512,0.0,0.0,41.02938971229294,36.92938971229294,1216048746.4,60758.884,1215647745.18,303153.1288558175,-84.8482047012226,303153.1288558175,-84.8482047012226,,,,,,,,,,,,,,,
Milk Time Dairy,12519 Road 17 Madera Madera 93637,1100.0,0,0,0,0,0,,45345.34,79.0,0.0,554016.76,91129.54,217164.45,574272.75,113085500.0,179057.83,29297.2,116325.08,2405622.54,13111.49,0,0,0,179057.83,179057.83,0,0,0,1.37,0,0,0,2023AR_Milk Time Dairy_12519 Road 16_Madera.pdf,35.833768,36.90878104,14818875.58756,1100.0,192169.31999999998,179057.83,0.0,0,120426.73999999999,0.0,0,333489.53,0.0,0,2979895.29,0.0,428074982.555,28.887143294080698,0.0,0.0,41.22303636363636,37.12303636363636,1171723585.6,58269.2,1171723585.6,0.0,0.0,,,,,,,,,,,,,,,,,
Micheal McRee South,11304 Ave. 18 Chowchilla Madera 93610,0.0,0,0,0,0,0,,5352.22,1.0,0.0,0.0,0.0,0.0,0.0,11500000.0,37096.46,4683.91,47867.25,0.0,19150.4,0,0,0,37096.46,37096.46,0,0,0,1.4,0,0,0,2023AR_Michael McRee South Dairy_11304 Ave 18_Madera.pdf,0.453592,0.46719976,0.0,0.0,56246.86,37096.46,0.0,0,4683.91,0.0,0,47867.25,0.0,0,0.0,0.0,43532215.0,0.0,0.0,0.0,0.0,0.0,138301364.8,0.0,138301364.8,0.0,0.0,,,,,,,,,,,,,,,,,
—Coderview Holsteins,40396 W Valeria Dos Palos Fresno 93620,0.0,0,0,0,0,0,,236.7,70.0,1660.75,2372.5,401.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.73,0,0,0,2023AR_Coderview Holsteins Dairy_40396 W Valeria Ave_Fresno.pdf,31.75144,32.703983199999996,0.0,0.0,0.0,1660.75,0.0,0,401.5,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6116327.999999999,0.0,6114667.249999999,368187.09920216765,-100.0,368187.09920216765,-100.0,,,,,,,,,,,,,,,
Capstone Ranch,14221 Ave 14,3600.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136947000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,624859.04,624859.04,0,0,0,1.23,0,0,0,2023AR_Capstone Dairy_14303 Ave 14_Madera.pdf,0.0,0.0,0.0,3600.0,624859.04,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,518400543.27000004,0.0,0.0,0.0,0.0,-4.1,0.0,190699.19999999998,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Medeiros Dairy Inc.,608 E Riverdale AVE Laton Fresno 93242,925.0,0,0,0,0,0,,36987.27,70.0,314248.61,448926.59,72795.25,177146.03,458531.25,38176000.0,94661.8,11998.36,73579.97,522641.37,102920.0,0,0,0,94661.8,94661.8,0,0,0,1.17,0,0,0,2023AR_Medeiros Dairy_608 E Riverdale Ave_Fresno.pdf,31.75144,32.703983199999996,11041682.327899998,925.0,197581.8,408910.41,0.0,0,84793.61,0.0,0,250726.0,0.0,0,981172.62,0.0,144511812.16,13.087843669877115,0.0,0.0,39.986237837837834,35.88623783783783,955751056.8,48999.09999999999,955436808.1899999,304038.5152984447,-84.40753644065443,304038.5152984447,-84.40753644065443,,,,,,,,,,,,,,,
Shein Ranch,13668 13 AVE Madera,7200.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172569751.0,0.0,0.0,0.0,0.0,8564.12,0,0,0,843277.53,843277.53,0,0,0,1.27,0,0,0,2023AR_South Point Ranch_13668 Ave 13_Madera.pdf,0.0,0.0,0.0,7200.0,851841.65,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,653247261.13291,0.0,0.0,0.0,0.0,-4.1,0.0,381398.39999999997,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Leonardo Bros Dairy,16508 S Clovis AVE Selma Kings 93662,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Leonardo Bros Dairy_16508 S Clovis Ave_Fresno.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Fred Rau Dairy Inc.,10255 W Manning AVE Fresno Fresno 93706,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181225.74,0.0,0,0,0,42040.28,42040.28,0,0,0,0.32,0,0,0,2023AR_Fred Rau Dairy_10255 W Manning Ave_Fresno.pdf,0.0,0.0,0.0,0.0,42040.28,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,181225.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Black Diamond Dairy,18541 S Fruit AVE Riverdale Fresno 93656,975.0,0,0,0,0,0,,34003.01,69.0,293513.15,419304.5,69155.87,186080.92,477474.75,44225000.0,141138.97,18224.91,110438.01,694792.18,0.0,0,0,0,71082.17,71082.17,0,0,0,1.35,0,0,0,2023AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno.pdf,31.297848,32.236783439999996,11472265.30671,975.0,71082.17,434652.12,0.0,0,87380.78,0.0,0,296518.93,0.0,0,1172266.9300000002,0.0,167409757.25,14.59256326229519,0.0,0.0,34.87488205128205,30.77488205128205,878637778.4000001,51647.7,878344265.2500001,299252.10003367823,-82.40361632860402,299252.10003367823,-82.40361632860402,,,,,,,,,,,,,,,
— Shady Acres Dairy #2,15391 West Elkhorn AVE Helm Fresno 93627,3000.0,0,0,0,0,0,,0.0,0.0,918232.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,135644.81,135644.81,0,0,0,0.89,0,0,0,2023AR_Shady Acres Dairy #2_15391 W Elkhorn Ave_Fresno.pdf,0.0,0.0,0.0,3000.0,135644.81,918232.45,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,158915.99999999997,-918232.45,-100.0,-82.6932711863973,-100.0,-82.6932711863973,,,,,,,,,,,,,,,
Redtop Jerseys LP,21463 Road 4 Chowchilla Madera 93610,6000.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109555182.0,0.0,0.0,0.0,0.0,78112.01,0,0,0,317601.16,317601.16,0,0,0,1.12,0,0,0,2023AR_Red Top Jerseys Dairy_21463 Road 4_Madera.pdf,0.0,0.0,0.0,6000.0,395713.17,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,414711281.49462,0.0,0.0,0.0,0.0,-4.1,0.0,317831.99999999994,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Green Valley Dairy LLC,2685 S Madera AVE Kerman Fresno 93630,1800.0,0,0,0,0,0,,68824.17,68.0,593346.33,847637.62,136998.18,342351.41,928012.5,27129800.0,94085.97,12181.73,88255.72,576255.77,10850.0,0,0,0,94085.97,94085.97,0,0,0,1.25,0,0,0,2023AR_Green Valley Dairy_2685 S Madera Ave_Fresno.pdf,30.844256,31.769583680000004,20872616.477760002,1800.0,104935.97,687432.2999999999,0.0,0,149179.91,0.0,0,430607.13,0.0,0,1504268.27,0.0,102697416.21800001,4.920198496792446,0.0,0.0,38.23565,34.13565,1778416552.8,95349.59999999999,1777823206.47,299626.5615176216,-83.93019469758917,299626.5615176216,-83.93019469758917,,,,,,,,,,,,,,,
_ Tri-lest Dairy,16500 Avenue 14 Madera Madera 93637,4225.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275157.45,0,0,0,249754.82,249754.82,0,0,0,1.27,0,0,0,2023AR_Tri-Iest Dairy_16500 Ave 14_Madera.pdf,0.0,0.0,0.0,4225.0,524912.27,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,223806.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ADAMSCOWS DAIRY,16661 S FOWLER AVE SELMA Fresno 93662,60.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.59,7.02,81.17,2233.26,14700.0,0,0,0,990.59,990.59,0,0,0,0.57,0,0,0,2023AR_Adams Dairy_16661 S Fowler Ave_Fresno.pdf,0.0,0.0,0.0,60.0,15690.59,990.59,0.0,0,7.02,0.0,0,81.17,0.0,0,2233.26,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,3178.3199999999997,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Maddox Dairy Ltd.,12840 W Kamm AVE Riverdale Fresno 93656,3350.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63281000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,193236.24,193236.24,0,0,0,0.93,0,0,0,2023AR_Maddox Dairy_12840 W Kamm Ave_Fresno.pdf,0.0,0.0,0.0,3350.0,193236.24,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,239544530.21,0.0,0.0,0.0,0.0,-4.1,0.0,177456.19999999998,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
. Please find the following,25500-2438 W West Whitesbridge RD Kerman Fresno 93630,6300.0,0,0,0,0,0,,249126.57,81.0,0.0,0.0,0.0,0.0,0.0,151276325.0,0.0,0.0,885435.35,4129571.15,0.0,0,0,0,404762.47,404762.47,0,0,0,0.6,0,0,0,2023AR_Bar 20 Dairy No. 2 & 3_25500 W Whitesbridge Rd_Fresno.pdf,36.740952,37.84318056,87020393.69772,6300.0,404762.47,0.0,0.0,0,0.0,0.0,0,885435.35,0.0,0,4129571.15,0.0,572642913.4182501,6.580559901940018,0.0,0.0,39.5439,35.4439,6437430568.8,333723.6,6437430568.8,0.0,0.0,,,,,,,,,,,,,,,,,
Generations Dairy,This owner is responsible for paying permit fees.,1437.0,0,0,0,0,0,,42926.28,80.0,385370.22,550528.89,92582.09,284639.85,708344.55,19895121.0,100056.5,8077.94,62610.44,925521.77,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Generations Dairy_6043 S Madera Ave_Fresno.pdf,36.28736,37.3759808,19603888.809504002,1437.0,0.0,485426.72,0.0,0,100660.03,0.0,0,347250.29,0.0,0,1633866.32,0.0,75311189.98461,3.841645436598222,0.0,0.0,29.8721503131524,25.7721503131524,1109215075.2,76120.764,1108829704.98,287731.0304309451,-80.24736732381656,287731.0304309451,-80.24736732381656,,,,,,,,,,,,,,,
Sid De Boer Dairy,21622 South Cedar AVE Laton Fresno 93242,0.0,0,0,0,0,0,,1.0,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Cedar Feedlot (former Sid De Boer)_21622 S Cedar Ave_Fresno.pdf,0.453592,0.46719976,0.0,0.0,0.0,0.7,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25840.0,0.0,25839.3,3691328.571428572,-100.0,3691328.571428572,-100.0,,,,,,,,,,,,,,,
John DeGroot & Son L.L.P.,6105 W Lincoln AVE Fresno Fresno 93706,2789.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54748750.0,0.0,0.0,0.0,0.0,264354.52,0,0,0,247313.91,247313.91,0,0,0,0.84,0,0,0,2023AR_John De Groot & Son Dairy_6105 W Lincoln Ave_Fresno.pdf,0.0,0.0,0.0,2789.0,511668.43000000005,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,207246465.7375,0.0,0.0,0.0,0.0,-4.1,0.0,147738.908,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Triangle M Dairy,11302 Avenue 18 1/2 Chowchilla Madera 93610,1655.0,0,0,0,0,0,,54201.53,78.0,481391.9,687702.72,113734.81,325646.45,820417.8,64360000.0,198461.46,38508.5,262385.83,1251245.96,196274.49,0,0,0,198461.46,198461.46,0,0,0,0.87,0,0,0,2023AR_Triangle M Dairy_11302 Ave 18.5_Madera.pdf,35.380176,36.44158128,22013448.211716,1655.0,394735.94999999995,679853.36,0.0,0,152243.31,0.0,0,588032.28,0.0,0,2071663.76,0.0,243628987.60000002,11.067279658183482,0.0,0.0,32.75016918429003,28.65016918429003,1400567535.2,87668.65999999999,1400086143.3,290841.2342002431,-81.78850537368825,290841.2342002431,-81.78850537368825,,,,,,,,,,,,,,,
JOHANN DAIRY,11511 W Floral AVE Fresno Fresno 93706,4225.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304908.24,0,0,0,395180.88,395180.88,0,0,0,0.94,0,0,0,2023AR_Johann Dairy_11511 W Floral Ave_Fresno.pdf,0.0,0.0,0.0,4225.0,700089.12,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,223806.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
AJF Dairy,23435 12 RD Chowchilla Madera 93610,780.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,10.0,172.0,818.0,67073.98,0,0,0,101980.64,101980.64,0,0,0,0.87,0,0,0,2023AR_AJF Dairy_23435 Road 12_Madera.pdf,0.0,0.0,0.0,780.0,169054.62,101.0,0.0,0,10.0,0.0,0,172.0,0.0,0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,41318.159999999996,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
FREA DAIRY LLC,6205 S. Brawley Avenue Fresno Fresno 93706,280.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4238250.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno.pdf,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,16043513.932500001,0.0,0.0,0.0,0.0,-4.1,0.0,14832.16,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
lest Family Farms,14576 Avenue 14 Madera Madera 93637,3690.0,0,0,0,0,0,,147839.77,74.0,1267588.14,1810840.2,295721.19,716366.37,1867358.25,135777000.0,246504.43,55261.44,391794.2,7218434.68,409926.82,0,0,0,246504.43,246504.43,0,0,0,1.24,0,0,0,2023AR_Iest Family Farms Dairy_14576 Ave 14_Madera.pdf,33.565808,34.572782239999995,46564351.75994399,3690.0,656431.25,1514092.5699999998,0.0,0,350982.63,0.0,0,1108160.57,0.0,0,9085792.93,0.0,513971613.57,11.037877563929351,0.0,0.0,40.064978319783194,35.96497831978319,3820179656.7999997,195466.67999999996,3818912068.66,301273.88764145423,-84.57963798872402,301273.88764145423,-84.57963798872402,,,,,,,,,,,,,,,
Double DJ Dairy,14768 Avenue 27 Chowchilla Madera 93610,2820.0,0,0,0,0,0,,85251.11,78.0,0.0,0.0,0.0,0.0,0.0,107291900.0,0.0,0.0,353334.69,2122432.63,168599.7,0,0,0,293811.47,293811.47,0,0,0,0.89,0,0,0,2023AR_Double DJ Farms Dairy_14768 Ave 27_Madera.pdf,35.380176,36.44158128,37509319.611504,2820.0,462411.17,0.0,0.0,0,0.0,0.0,0,353334.69,0.0,0,2122432.63,0.0,406143831.179,10.827811204936834,0.0,0.0,30.230890070921987,26.130890070921986,2202888682.3999996,149381.03999999998,2202888682.3999996,0.0,0.0,,,,,,,,,,,,,,,,,
Mt. Whitney Dairy,2792 W Mt. Whitney AVE Riverdale Fresno 93656,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7557.55,0,0,0,104428.4,104428.4,0,0,0,1.02,0,0,0,2023AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno.pdf,0.0,0.0,0.0,0.0,111985.95,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
_ Gerrit Visser & Sons,18565 S Marks AVE Riverdale Fresno 93656,955.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45271.73,11739.91,40470.31,260618.94,0.0,0,0,0,45271.73,45271.73,0,0,0,1.07,0,0,0,2023AR_Gerrit Visser & Sons Dairy_18565 S Marks Ave_Fresno.pdf,0.0,0.0,0.0,955.0,45271.73,45271.73,0.0,0,11739.91,0.0,0,40470.31,0.0,0,260618.94,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,50588.259999999995,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Kerman Cattle Co,4301 S Dickenson Fresno Fresno 93706,0.0,0,0,0,0,0,,0.0,0.0,200638.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,181482.88,181482.88,0,0,0,1.14,0,0,0,2023AR_Kerman Cattle Company_4301 S Dickenson Ave_Fresno.pdf,0.0,0.0,0.0,0.0,181482.88,200638.3,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200638.3,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
